Airport,Mode,Method,Total_Masked,Misclassification_Rate,F1_Score,Correct_Predictions
SGN,departure,1_Global_Mode,3648,0.0162,0.3306,3589
SGN,departure,2_Basic_FFill,3648,0.009,0.8503,3615
SGN,departure,3_AeroDelay_Proposed,3648,0.0082,0.8715,3618
SGN,arrival,1_Global_Mode,3578,0.0165,0.3306,3519
SGN,arrival,2_Basic_FFill,3578,0.0025,0.7173,3569
SGN,arrival,3_AeroDelay_Proposed,3578,0.0028,0.7131,3568
HAN,departure,1_Global_Mode,2817,0.0224,0.2472,2754
HAN,departure,2_Basic_FFill,2817,0.0202,0.4456,2760
HAN,departure,3_AeroDelay_Proposed,2817,0.0181,0.4599,2766
HAN,arrival,1_Global_Mode,2265,0.0433,0.2445,2167
HAN,arrival,2_Basic_FFill,2265,0.0609,0.431,2127
HAN,arrival,3_AeroDelay_Proposed,2265,0.0583,0.4419,2133
DAD,departure,1_Global_Mode,1176,0.0102,0.2487,1164
DAD,departure,2_Basic_FFill,1176,0.0077,0.5586,1167
DAD,departure,3_AeroDelay_Proposed,1176,0.0068,0.5706,1168
DAD,arrival,1_Global_Mode,1181,0.0491,0.2437,1123
DAD,arrival,2_Basic_FFill,1181,0.0144,0.7133,1164
DAD,arrival,3_AeroDelay_Proposed,1181,0.0093,0.9247,1170
