,corr_with_risk
Is_Thunderstorm_Risk,0.9864882356358767
Aviation_Operational_Risk_Score,0.921601976993779
Runway_Wet_Risk,0.7825496711231462
Is_Rain,0.7731757916740234
Precip_Cumsum_3H_Mm,0.4960371330291105
Precip_Cumsum_1H_Mm,0.48198345460479647
precipitation,0.48198345460479647
Precip_Cumsum_6H_Mm,0.47379630362953506
Visibility_Capped_Flag,-0.42386209619940624
Visibility_SM,-0.4104005550243394
visibility,-0.4103978067879181
cloudcover,0.3557553331247596
Headwind_Kt,0.22060839755158207
Headwind_Kmh,0.22059094393518777
Is_Low_Visibility,0.21038762847475218
humidity,0.2088871937303342
Visibility_Severity_Score,0.20788379491658882
Is_Below_3SM_Visibility,0.20140931078585128
Visibility_Deficit_5KM_M,0.19484066429886715
Is_Heavy_Rain,0.1938037640558083
Wind_Kt,0.18664293264790774
wind_speed,0.18662856571451245
Visibility_Deficit_3SM_M,0.185428440839828
Wind_Gust_Estimate_Kmh,0.18525572765529116
Wind_Gust_Estimate_Kt,0.18524106162184134
Wind_Runway_Relative_Angle_Deg,-0.16771684003288576
Tailwind_Default_Runway_Kmh,-0.1312890816991165
Tailwind_Default_Runway_Kt,-0.13127694756971164
pressure,0.10846182342575254
Crosswind_Kt,0.1036521117465251
Crosswind_Kmh,0.10361214915562088
Crosswind_Max_3H_Kt,0.09501789926955624
Crosswind_Max_3H_Kmh,0.09499559571680717
temperature,-0.08286582573725496
_hour,-0.07225707178650004
Is_Crosswind_10kt,0.07199148295552041
wind_direction,-0.06294270592133318
Pressure_Change_3H_Hpa,0.042288464376618096
Is_Tailwind_Default_Runway_5kt,-0.03158591166280615
Forced_Runway_Swap_Risk,-0.020275386119542833
Is_Extreme_Heat,-0.01866180225233901
Temp_Change_3H_C,0.014958115698862748
Gust_Variation_Kt,-0.008284633741020576
Gust_Variation_Kmh,-0.008247031071520819
Temp_Change_1H_C,0.0011464383126543187
Is_Strong_Wind,
Is_Gale_Wind,
Is_Fog,
Is_Dewpoint_Spread_Le_1_5C,
Is_Radiation_Fog_Risk,
Is_WMO_Fog_Code,
Is_WMO_Rain_Code,
Is_WMO_Thunderstorm_Code,
Is_Below_1SM_Visibility,
Is_Crosswind_15kt,
Is_Crosswind_20kt,
Is_Low_Ceiling_Risk,
Is_Severe_Convection_Risk,
Is_Freezing,
Convective_Severity_Score,
Runway_Ice_Risk,
