,Airport,_cluster_id,start_time,end_time,duration_hours,risk_max,risk_mean,precip_sum,precip_max,crosswind_max,headwind_max,visibility_min
10,SGN,SGN_C4,2025-12-25 18:00:00,2025-12-25 18:00:00,1,3,3.0,13.9,13.9,2.87,-4.1,4400.0
4,DAD,DAD_C5,2026-03-10 05:00:00,2026-03-10 07:00:00,3,2,2.0,4.2,1.9,9.81,10.82,4380.0
2,DAD,DAD_C3,2026-03-09 23:00:00,2026-03-10 00:00:00,2,2,2.0,4.0,2.2,9.52,13.11,3960.0
12,SGN,SGN_C6,2026-01-06 15:00:00,2026-01-06 15:00:00,1,2,2.0,12.5,12.5,3.99,8.95,9180.0
15,SGN,SGN_C9,2026-02-27 12:00:00,2026-02-27 12:00:00,1,2,2.0,7.0,7.0,8.34,3.37,23620.0
5,HAN,HAN_C1,2026-01-01 05:00:00,2026-01-01 05:00:00,1,2,2.0,6.6,6.6,2.9,8.94,24140.0
13,SGN,SGN_C7,2026-01-06 17:00:00,2026-01-06 17:00:00,1,2,2.0,6.4,6.4,4.74,7.89,23340.0
8,SGN,SGN_C2,2025-12-25 14:00:00,2025-12-25 14:00:00,1,2,2.0,6.1,6.1,16.63,-7.4,24140.0
0,DAD,DAD_C1,2026-03-03 16:00:00,2026-03-03 16:00:00,1,2,2.0,6.0,6.0,0.86,-1.23,21300.0
7,SGN,SGN_C10,2026-02-27 15:00:00,2026-02-27 15:00:00,1,2,2.0,5.4,5.4,2.5,-0.04,24140.0
14,SGN,SGN_C8,2026-02-26 10:00:00,2026-02-26 10:00:00,1,2,2.0,5.1,5.1,5.21,-2.32,24140.0
1,DAD,DAD_C2,2026-03-04 05:00:00,2026-03-04 05:00:00,1,2,2.0,1.9,1.9,0.91,3.17,4940.0
3,DAD,DAD_C4,2026-03-10 02:00:00,2026-03-10 02:00:00,1,2,2.0,0.5,0.5,7.88,10.46,4240.0
11,SGN,SGN_C5,2025-12-27 16:00:00,2025-12-27 16:00:00,1,2,2.0,0.2,0.2,8.31,-5.0,3600.0
6,SGN,SGN_C1,2025-12-24 16:00:00,2025-12-24 16:00:00,1,2,2.0,0.1,0.1,7.8,2.84,4160.0
9,SGN,SGN_C3,2025-12-25 16:00:00,2025-12-25 16:00:00,1,2,2.0,0.1,0.1,0.35,-1.66,4560.0
