,Airport,_tailwind_bin_kt,hours,runway_swap_pressure_rate_pct,forced_swap_rate_pct,wet_runway_rate_pct,risk_mean,risk_ge2_rate_pct
0,DAD,0,1339,0.0,0.0,54.742345033607165,0.9410007468259896,37.789395070948466
1,DAD,0-3,641,0.0,0.0,21.37285491419657,0.3073322932917317,9.048361934477379
2,DAD,3-5,179,0.0,0.0,10.05586592178771,0.16759776536312848,6.70391061452514
3,DAD,5-8,49,100.0,6.122448979591836,6.122448979591836,1.183673469387755,6.122448979591836
4,DAD,8-10,0,,,,,
5,DAD,>10,0,,,,,
6,HAN,0,1931,0.0,0.0,18.073537027446918,0.3640600725012947,14.70740548938374
7,HAN,0-3,263,0.0,0.0,11.02661596958175,0.21292775665399238,9.505703422053232
8,HAN,3-5,13,0.0,0.0,23.076923076923077,0.46153846153846156,23.076923076923077
9,HAN,5-8,1,100.0,0.0,0.0,1.0,0.0
10,HAN,8-10,0,,,,,
11,HAN,>10,0,,,,,
12,SGN,0,763,0.0,0.0,12.319790301441676,0.21231979030144169,7.601572739187418
13,SGN,0-3,1274,0.0,0.0,9.262166405023548,0.14992150706436422,4.78806907378336
14,SGN,3-5,151,0.0,0.0,17.880794701986755,0.2847682119205298,9.271523178807946
15,SGN,5-8,20,100.0,0.0,0.0,1.0,0.0
16,SGN,8-10,0,,,,,
17,SGN,>10,0,,,,,
