,Airport,_month,Wind_Sector,hours,rate_pct
1,DAD,2025-12,N,153,37.5
2,DAD,2025-12,NE,108,26.47058823529412
3,DAD,2025-12,NW,48,11.76470588235294
0,DAD,2025-12,E,37,9.068627450980392
7,DAD,2025-12,W,29,7.107843137254902
5,DAD,2025-12,SE,14,3.431372549019608
6,DAD,2025-12,SW,12,2.941176470588235
4,DAD,2025-12,S,7,1.715686274509804
10,DAD,2026-01,NE,190,25.537634408602152
9,DAD,2026-01,N,126,16.93548387096774
8,DAD,2026-01,E,124,16.666666666666664
15,DAD,2026-01,W,85,11.424731182795698
11,DAD,2026-01,NW,79,10.618279569892474
14,DAD,2026-01,SW,73,9.811827956989246
13,DAD,2026-01,SE,41,5.510752688172043
12,DAD,2026-01,S,26,3.494623655913978
16,DAD,2026-02,E,229,34.077380952380956
21,DAD,2026-02,SE,136,20.238095238095237
20,DAD,2026-02,S,95,14.136904761904761
18,DAD,2026-02,NE,94,13.988095238095239
22,DAD,2026-02,SW,62,9.226190476190476
23,DAD,2026-02,W,30,4.464285714285714
17,DAD,2026-02,N,16,2.380952380952381
19,DAD,2026-02,NW,10,1.488095238095238
26,DAD,2026-03,NE,153,39.84375
24,DAD,2026-03,E,81,21.09375
29,DAD,2026-03,SE,57,14.84375
25,DAD,2026-03,N,48,12.5
27,DAD,2026-03,NW,23,5.989583333333334
28,DAD,2026-03,S,12,3.125
31,DAD,2026-03,W,8,2.083333333333333
30,DAD,2026-03,SW,2,0.5208333333333333
37,HAN,2025-12,SE,131,32.1078431372549
34,HAN,2025-12,NE,126,30.88235294117647
33,HAN,2025-12,N,49,12.009803921568627
36,HAN,2025-12,S,43,10.53921568627451
32,HAN,2025-12,E,30,7.352941176470589
35,HAN,2025-12,NW,14,3.431372549019608
38,HAN,2025-12,SW,11,2.696078431372549
39,HAN,2025-12,W,4,0.9803921568627451
42,HAN,2026-01,NE,250,33.60215053763441
45,HAN,2026-01,SE,213,28.62903225806452
40,HAN,2026-01,E,108,14.516129032258066
41,HAN,2026-01,N,86,11.559139784946236
44,HAN,2026-01,S,55,7.39247311827957
43,HAN,2026-01,NW,18,2.4193548387096775
46,HAN,2026-01,SW,9,1.2096774193548387
47,HAN,2026-01,W,5,0.6720430107526881
53,HAN,2026-02,SE,296,44.047619047619044
50,HAN,2026-02,NE,143,21.279761904761905
52,HAN,2026-02,S,107,15.922619047619047
49,HAN,2026-02,N,60,8.928571428571429
48,HAN,2026-02,E,49,7.291666666666667
51,HAN,2026-02,NW,7,1.0416666666666665
55,HAN,2026-02,W,7,1.0416666666666665
54,HAN,2026-02,SW,3,0.4464285714285714
61,HAN,2026-03,SE,172,44.79166666666667
58,HAN,2026-03,NE,87,22.65625
56,HAN,2026-03,E,57,14.84375
57,HAN,2026-03,N,29,7.552083333333333
60,HAN,2026-03,S,27,7.03125
59,HAN,2026-03,NW,8,2.083333333333333
62,HAN,2026-03,SW,3,0.78125
63,HAN,2026-03,W,1,0.26041666666666663
65,SGN,2025-12,N,98,24.019607843137255
67,SGN,2025-12,NW,81,19.852941176470587
69,SGN,2025-12,SE,62,15.196078431372548
71,SGN,2025-12,W,48,11.76470588235294
68,SGN,2025-12,S,39,9.558823529411764
66,SGN,2025-12,NE,35,8.57843137254902
64,SGN,2025-12,E,23,5.637254901960785
70,SGN,2025-12,SW,22,5.392156862745098
77,SGN,2026-01,SE,215,28.897849462365592
73,SGN,2026-01,N,163,21.908602150537636
75,SGN,2026-01,NW,97,13.03763440860215
76,SGN,2026-01,S,94,12.634408602150538
72,SGN,2026-01,E,57,7.661290322580645
74,SGN,2026-01,NE,50,6.720430107526881
79,SGN,2026-01,W,35,4.704301075268817
78,SGN,2026-01,SW,33,4.435483870967742
85,SGN,2026-02,SE,261,38.839285714285715
80,SGN,2026-02,E,109,16.220238095238095
84,SGN,2026-02,S,105,15.625
81,SGN,2026-02,N,52,7.738095238095238
82,SGN,2026-02,NE,45,6.696428571428571
83,SGN,2026-02,NW,40,5.952380952380952
86,SGN,2026-02,SW,33,4.910714285714286
87,SGN,2026-02,W,27,4.017857142857143
93,SGN,2026-03,SE,133,34.63541666666667
88,SGN,2026-03,E,67,17.447916666666664
89,SGN,2026-03,N,49,12.760416666666666
91,SGN,2026-03,NW,45,11.71875
92,SGN,2026-03,S,38,9.895833333333332
90,SGN,2026-03,NE,26,6.770833333333333
94,SGN,2026-03,SW,18,4.6875
95,SGN,2026-03,W,8,2.083333333333333
