,Airport,weather_code,hours,risk_mean,risk_ge2_rate_pct
8,DAD,63,9,4.333333333333333,88.88888888888889
7,DAD,61,23,4.130434782608695,100.0
6,DAD,55,31,4.064516129032258,90.32258064516128
5,DAD,53,127,3.2283464566929134,85.03937007874016
4,DAD,51,701,2.268188302425107,64.05135520684736
3,DAD,3,470,1.1531914893617021,21.914893617021278
2,DAD,2,230,0.8695652173913043,22.608695652173914
1,DAD,1,284,0.5105633802816901,13.028169014084506
0,DAD,0,333,0.13513513513513514,3.6036036036036037
15,HAN,55,15,5.0,100.0
17,HAN,63,5,5.0,100.0
16,HAN,61,12,4.75,100.0
14,HAN,53,47,4.0,89.36170212765957
13,HAN,51,302,2.880794701986755,79.13907284768213
12,HAN,3,1022,0.9608610567514677,5.968688845401174
11,HAN,2,184,0.03260869565217391,0.5434782608695652
9,HAN,0,389,0.0,0.0
10,HAN,1,232,0.0,0.0
27,SGN,65,2,5.0,100.0
26,SGN,63,16,3.6875,93.75
25,SGN,61,10,2.9,90.0
24,SGN,55,6,2.0,50.0
23,SGN,53,24,1.8333333333333333,66.66666666666666
22,SGN,51,181,1.5966850828729282,54.14364640883977
19,SGN,1,286,0.07342657342657342,1.3986013986013985
21,SGN,3,971,0.06694129763130793,1.544799176107106
20,SGN,2,210,0.05714285714285714,0.9523809523809524
18,SGN,0,502,0.02390438247011952,0.0
