,feature,airport,corr_with_risk_score,auc_for_risk_gt_0,auc_for_risk_ge_2
0,Precip_Cumsum_1H_Mm,ALL,0.48198345460479647,0.965711143133171,0.9706641698872465
1,Precip_Cumsum_1H_Mm,DAD,0.5195075063732559,0.9325925570125579,0.9833238636363637
2,Precip_Cumsum_1H_Mm,HAN,0.5356413577482584,0.9824744434858221,1.0
3,Precip_Cumsum_1H_Mm,SGN,0.5625031676406491,0.9761029078720899,0.9796860782529572
4,Precip_Cumsum_3H_Mm,ALL,0.4960371330291105,0.9439929614600657,0.9821028726244073
5,Precip_Cumsum_3H_Mm,DAD,0.5287036043830057,0.9143239882372406,0.981875
6,Precip_Cumsum_3H_Mm,HAN,0.5039918058470395,0.9500370359698085,0.9995468962392388
7,Precip_Cumsum_3H_Mm,SGN,0.5746984326656062,0.96225020382281,0.9876023657870792
8,Precip_Cumsum_6H_Mm,ALL,0.47379630362953506,0.915091211137083,0.9741583330013148
9,Precip_Cumsum_6H_Mm,DAD,0.5317507728168821,0.8940278911891382,0.9720738636363636
10,Precip_Cumsum_6H_Mm,HAN,0.4461138950543063,0.9049811260629832,0.9981875849569553
11,Precip_Cumsum_6H_Mm,SGN,0.5210410257683222,0.9340737385632756,0.9788444040036397
