,airport,lag_h,corr_precip_lag_with_risk
0,ALL,0,0.48198345460479647
1,DAD,0,0.5195075063732559
2,HAN,0,0.5356413577482584
3,SGN,0,0.5625031676406491
4,ALL,1,0.3462434951364147
5,DAD,1,0.40568891391807155
6,HAN,1,0.39881482225192855
7,SGN,1,0.34861112849426235
8,ALL,2,0.31638638170930633
9,DAD,2,0.3626517516016821
10,HAN,2,0.2959291063149131
11,SGN,2,0.3635602366950992
12,ALL,3,0.26600006097603435
13,DAD,3,0.35323675718799763
14,HAN,3,0.2080137667067969
15,SGN,3,0.272908643561102
16,ALL,4,0.2375626791886675
17,DAD,4,0.3326745730785206
18,HAN,4,0.18600781773704356
19,SGN,4,0.22084538755139488
20,ALL,6,0.18694690141046477
21,DAD,6,0.29587256691730784
22,HAN,6,0.19842484028662763
23,SGN,6,0.09758586070256832
