,feature,dtype,missing_count,missing_rate_pct,nunique,top_value_rate_pct,min,max,mean,std
34,Is_Strong_Wind,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
35,Is_Gale_Wind,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
37,Is_Fog,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
38,Is_Dewpoint_Spread_Le_1_5C,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
39,Is_Radiation_Fog_Risk,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
40,Is_WMO_Fog_Code,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
41,Is_WMO_Rain_Code,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
42,Is_WMO_Thunderstorm_Code,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
44,Is_Below_1SM_Visibility,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
46,Is_Crosswind_15kt,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
47,Is_Crosswind_20kt,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
49,Is_Low_Ceiling_Risk,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
50,Is_Severe_Convection_Risk,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
51,Is_Freezing,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
54,Convective_Severity_Score,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
57,Runway_Ice_Risk,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
64,Visibility_Below_3000m,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
33,Is_Heavy_Rain,int64,0,0.0,2,99.86413043478261,0.0,1.0,0.001358695652173913,0.03683822020174913
43,Is_Below_3SM_Visibility,int64,0,0.0,2,99.80374396135265,0.0,1.0,0.00196256038647343,0.04426064263692777
52,Is_Extreme_Heat,int64,0,0.0,2,99.80374396135265,0.0,1.0,0.00196256038647343,0.04426064263692776
36,Is_Low_Visibility,int64,0,0.0,2,99.78864734299518,0.0,1.0,0.002113526570048309,0.045927965557331626
63,Visibility_Below_5000m,int64,0,0.0,2,99.78864734299518,0.0,1.0,0.002113526570048309,0.045927965557331626
48,Is_Tailwind_Default_Runway_5kt,int64,0,0.0,2,98.94323671497585,0.0,1.0,0.010567632850241546,0.10226209816247828
45,Is_Crosswind_10kt,int64,0,0.0,2,98.73188405797102,0.0,1.0,0.012681159420289856,0.11190280626747193
62,Visibility_Below_10000m,int64,0,0.0,2,97.64492753623189,0.0,1.0,0.02355072463768116,0.15165605877294489
53,Is_Thunderstorm_Risk,int64,0,0.0,2,84.69202898550725,0.0,1.0,0.15307971014492755,0.3600914989986171
71,_risk_bin,int64,0,0.0,2,84.64673913043478,0.0,1.0,0.15353260869565216,0.3605273489524377
61,Visibility_Capped_Flag,int64,0,0.0,2,83.74094202898551,0.0,1.0,0.8374094202898551,0.36901956721329326
32,Is_Rain,int64,0,0.0,2,77.18900966183575,0.0,1.0,0.22810990338164253,0.4196455181009302
11,Visibility_Severity_Score,int64,0,0.0,3,99.78864734299518,0.0,2.0,0.004076086956521739,0.08936329688503922
56,Forced_Runway_Swap_Risk,int64,0,0.0,3,98.94323671497585,0.0,2.0,0.011020531400966184,0.1086584501834764
72,_risk_bin_next,float64,3,0.04528985507246377,3,84.60144927536231,0.0,1.0,0.15360217489805164,0.36059421170885103
55,Runway_Wet_Risk,int64,0,0.0,3,77.18900966183575,0.0,2.0,0.22946859903381642,0.4237419727497114
58,Weather_Delay_Risk_Score,int64,0,0.0,4,84.64673913043478,0.0,3.0,0.15655193236714976,0.3720280890051146
59,Aviation_Operational_Risk_Score,int64,0,0.0,6,75.49818840579711,0.0,6.0,0.4116847826086957,0.7795064581249511
10,Visibility_Deficit_3SM_M,float64,0,0.0,12,99.80374396135265,0.0,1228.03,1.0121361714975845,26.315454968053018
9,Visibility_Deficit_5KM_M,float64,0,0.0,13,99.78864734299518,0.0,1400.0,1.358695652173913,33.14272991847239
60,_hour,int32,0,0.0,24,4.166666666666666,0.0,23.0,11.5,6.922709119642863
1,precipitation,float64,0,0.0,43,77.18900966183575,0.0,13.9,0.09210446859903382,0.4120884128304118
23,Precip_Cumsum_1H_Mm,float64,0,0.0,43,77.18900966183575,0.0,13.9,0.09210446859903382,0.4120884128304118
65,precipitation_lag_0h_AUTO,float64,0,0.0,43,77.18900966183575,0.0,13.9,0.09210446859903382,0.4120884128304118
66,precipitation_lag_1h_AUTO,float64,3,0.04528985507246377,44,77.14371980676329,0.0,13.9,0.09214620148013897,0.41217711018770053
67,precipitation_lag_2h_AUTO,float64,6,0.09057971014492754,44,77.09842995169082,0.0,13.9,0.09218797219703838,0.4122658646320198
68,precipitation_lag_3h_AUTO,float64,9,0.1358695652173913,44,77.05314009661835,0.0,13.9,0.09222978080120937,0.4123546762243758
69,precipitation_lag_4h_AUTO,float64,12,0.18115942028985507,44,77.0078502415459,0.0,13.9,0.09227162734422263,0.4124435450258656
70,precipitation_lag_6h_AUTO,float64,18,0.2717391304347826,44,76.93236714975845,0.0,13.9,0.09234029669996972,0.4126230083403154
20,Temp_Change_1H_C,float64,3,0.04528985507246377,78,8.303140096618357,-5.5,3.8,0.0007702763932940648,0.8857009506352881
6,humidity,int64,0,0.0,79,3.125,22.0,100.0,76.56567028985508,16.278664927351635
24,Precip_Cumsum_3H_Mm,float64,0,0.0,82,67.58756038647343,0.0,20.8,0.27631340579710145,0.9507908588859164
22,Pressure_Change_3H_Hpa,float64,9,0.1358695652173913,82,2.566425120772947,-4.6,3.9,-0.0032653061224489767,1.626181014361803
30,Gust_Variation_Kmh,float64,0,0.0,96,36.92632850241546,0.0,16.5,1.3110054347826086,1.6295422911003958
31,Gust_Variation_Kt,float64,0,0.0,96,36.92632850241546,0.0,8.91,0.7078910024154589,0.8799831025672179
2,cloudcover,int64,0,0.0,101,30.676328502415455,0.0,100.0,66.03321256038647,37.20742364146488
25,Precip_Cumsum_6H_Mm,float64,0,0.0,119,58.40881642512077,0.0,25.1,0.5526268115942028,1.6204516500889643
21,Temp_Change_3H_C,float64,9,0.1358695652173913,151,3.774154589371981,-7.7,8.5,0.003099017384731664,2.2688902769689068
12,Wind_Runway_Relative_Angle_Deg,float64,0,0.0,181,1.0416666666666665,0.0,180.0,77.92889492753623,45.56929557284284
26,Wind_Gust_Estimate_Kmh,float64,0,0.0,239,1.2228260869565217,0.6,27.5,9.38485809178744,4.633713924705734
28,Wind_Gust_Estimate_Kt,float64,0,0.0,239,1.2228260869565217,0.32,14.85,5.067844202898551,2.5021196695782644
3,wind_speed,float64,0,0.0,245,1.328502415458937,0.0,27.5,8.073852657004831,4.671637096051951
16,Wind_Kt,float64,0,0.0,245,1.328502415458937,0.0,14.85,4.3598626207729465,2.522656137261216
5,pressure,float64,0,0.0,254,1.0265700483091789,1000.9,1028.6,1013.7930555555556,4.396367911831232
0,temperature,float64,0,0.0,264,1.8568840579710144,8.6,35.7,23.058333333333337,4.593531811251712
4,wind_direction,int64,0,0.0,356,0.981280193236715,1.0,360.0,142.4213466183575,99.62097808942
19,Tailwind_Default_Runway_Kt,float64,0,0.0,509,60.88466183574879,-0.0,7.34,0.6617119565217392,1.1693770941081534
7,visibility,float64,0,0.0,572,83.74094202898551,3600.0,24140.0,23092.934782608696,3370.1003557229537
8,Visibility_SM,float64,0,0.0,572,83.74094202898551,2.24,15.0,14.349388586956522,2.09408555131034
15,Tailwind_Default_Runway_Kmh,float64,0,0.0,789,60.88466183574879,-0.0,13.59,1.22556461352657,2.165734174087559
29,Crosswind_Max_3H_Kt,float64,0,0.0,912,0.5132850241545894,0.04,14.41,3.8510129830917874,2.427998229886275
17,Crosswind_Kt,float64,0,0.0,970,0.5132850241545894,0.0,14.41,3.11563556763285,2.4307495298989714
18,Headwind_Kt,float64,0,0.0,1314,0.6944444444444444,-7.34,13.2,1.071417572463768,2.9336623087186844
27,Crosswind_Max_3H_Kmh,float64,0,0.0,1411,0.3472222222222222,0.08,26.68,7.132050120772947,4.496657485942141
13,Crosswind_Kmh,float64,0,0.0,1563,0.5132850241545894,0.0,26.68,5.77014190821256,4.501677900591217
14,Headwind_Kmh,float64,0,0.0,2074,0.6944444444444444,-13.59,24.44,1.9842225241545894,5.433164039266442
