,feature_1,feature_2,abs_corr
138,precipitation,precipitation_lag_0h_AUTO,1.0
1744,Precip_Cumsum_1H_Mm,precipitation_lag_0h_AUTO,1.0
96,precipitation,Precip_Cumsum_1H_Mm,1.0
2691,Is_Low_Visibility,Visibility_Below_5000m,1.0
519,visibility,Visibility_SM,0.999999853148633
1040,Headwind_Kmh,Headwind_Kt,0.9999993916863125
235,wind_speed,Wind_Kt,0.999999377089043
1926,Wind_Gust_Estimate_Kmh,Wind_Gust_Estimate_Kt,0.9999993584974651
966,Crosswind_Kmh,Crosswind_Kt,0.999999108776084
2000,Crosswind_Max_3H_Kmh,Crosswind_Max_3H_Kt,0.9999990877872005
1114,Tailwind_Default_Runway_Kmh,Tailwind_Default_Runway_Kt,0.999998464633782
2221,Gust_Variation_Kmh,Gust_Variation_Kt,0.9999966882894239
3940,Is_Thunderstorm_Risk,_risk_bin,0.9982569637100361
2391,Is_Rain,Runway_Wet_Risk,0.9962314058417849
667,Visibility_Deficit_5KM_M,Visibility_Deficit_3SM_M,0.9932004611084738
839,Visibility_Severity_Score,Is_Low_Visibility,0.9911827924190122
866,Visibility_Severity_Score,Visibility_Below_5000m,0.9911827924190122
846,Visibility_Severity_Score,Is_Below_3SM_Visibility,0.9905027383678815
4305,Weather_Delay_Risk_Score,_risk_bin,0.988144111996376
3927,Is_Thunderstorm_Risk,Weather_Delay_Risk_Score,0.9864882356358767
3560,Is_Tailwind_Default_Runway_5kt,Forced_Runway_Swap_Risk,0.9814677029924742
2671,Is_Low_Visibility,Is_Below_3SM_Visibility,0.9635512285438219
3202,Is_Below_3SM_Visibility,Visibility_Below_5000m,0.9635512285438219
1194,Wind_Kt,Wind_Gust_Estimate_Kmh,0.9387031133005302
1196,Wind_Kt,Wind_Gust_Estimate_Kt,0.9387015464223446
245,wind_speed,Wind_Gust_Estimate_Kmh,0.9386989825315933
247,wind_speed,Wind_Gust_Estimate_Kt,0.9386969544434214
1268,Crosswind_Kt,Crosswind_Max_3H_Kmh,0.926802790596698
1270,Crosswind_Kt,Crosswind_Max_3H_Kt,0.9268025444861469
976,Crosswind_Kmh,Crosswind_Max_3H_Kmh,0.926801123014182
978,Crosswind_Kmh,Crosswind_Max_3H_Kt,0.9268002297765334
4074,Runway_Wet_Risk,Aviation_Operational_Risk_Score,0.9262212514412
4293,Weather_Delay_Risk_Score,Aviation_Operational_Risk_Score,0.921601976993779
2395,Is_Rain,Aviation_Operational_Risk_Score,0.9194330842078375
700,Visibility_Deficit_5KM_M,Is_Below_3SM_Visibility,0.9183703892174104
668,Visibility_Deficit_5KM_M,Visibility_Severity_Score,0.9127067082587462
4378,Aviation_Operational_Risk_Score,_risk_bin,0.9108316654093506
3928,Is_Thunderstorm_Risk,Aviation_Operational_Risk_Score,0.9082951665322836
