layer,mode,airport,rows,columns,has_file
Bronze,arrival,SGN,36721,12,True
Bronze,arrival,HAN,24921,12,True
Bronze,arrival,DAD,12575,14,True
Bronze,departure,SGN,36789,14,True
Bronze,departure,HAN,28503,14,True
Bronze,departure,DAD,12529,17,True
Silver_layer,arrival,SGN,36699,22,True
Silver_layer,arrival,HAN,24899,22,True
Silver_layer,arrival,DAD,12573,23,True
Silver_layer,departure,SGN,36735,22,True
Silver_layer,departure,HAN,28502,22,True
Silver_layer,departure,DAD,12521,27,True
Gold,arrival,SGN,36699,63,True
Gold,arrival,HAN,24899,63,True
Gold,arrival,DAD,12573,64,True
Gold,departure,SGN,36735,73,True
Gold,departure,HAN,28502,73,True
Gold,departure,DAD,12521,78,True
