feature,missing_rate_pct,zero_rate_pct,nunique,mean,p95,max
Prev_Departure_Delay_Airport_1,90.32379695527172,96.83474841602758,276,-5.814209171247652,13.0,67.0
Rolling_Departure_Delay_Airport_3,78.08563214134219,85.97687837919727,569,-3.2955827982097685,18.0,71.5
Prev_Turnaround_Buffer_Tail_2,54.0099246561046,54.0099246561046,2226,225.90541549543218,873.8499999999985,4320.0
Prev_Departure_Delay_Tail_2,53.3770090022152,59.421353496858984,646,33.60169834209462,114.0,1466.0
Prev_Departure_Delay_Tail_1,52.60067735441256,58.846342892155214,608,31.7158827790957,105.0,1466.0
Prev_Turnaround_Buffer_Tail_1,52.57172482981976,52.57172482981976,2267,227.40937677455992,883.0,4320.0
Rolling_Turnaround_Buffer_Tail_3,51.98190130555687,51.98190130555687,4626,225.49074541477367,735.8333333333333,4320.0
Rolling_Departure_Delay_Tail_3,51.72738841495027,53.12518936971027,1396,33.047014626979475,94.0,1466.0
Turnaround_Buffer_Model,50.804274200607324,50.804274200607324,2316,230.21038116745365,894.0,4320.0
Tail_Stagnation_Duration_Model,50.5194621563571,74.0672910536699,2582,175.41719056172437,822.6499999999942,4320.0
Is_Fixed_Flight,49.687918717470495,85.15139477103939,2,0.2951300135165879,1.0,1.0
Is_Airport_Congested,49.687918717470495,82.56452036439782,2,0.3465465786973221,1.0,1.0
Destination_Congestion_Risk,49.687918717470495,97.27576943017392,2,0.05414664828767582,1.0,1.0
Taxi_Out_Congestion,49.687918717470495,52.79728519583353,14,3.616249347590434,7.0,13.0
Ground_Handling_Pressure,49.687918717470495,64.18168719153779,15,2.496594087496487,7.0,14.0
Departure_Delay_Reg_Target,49.687918717470495,57.282233249617896,241,34.04215569503366,113.0,240.0
A_CDM_TOBT_Deficit,49.687918717470495,71.73964273931281,352,25.170931306291237,83.0,327.0
Departure_Delay,49.687918717470495,56.20021680727718,689,33.277130200875234,113.0,1466.0
Turnaround_Buffer,49.687918717470495,49.972730761720726,2315,296.50198733990874,1166.8999999999942,4320.0
Terminal,0.23633339842040413,4.279587123533016,4,1.7306503428540576,3.0,3.0
Is_First_Flight,0.0,53.16289498313347,2,0.4683710501686653,1.0,1.0
Is_Imputed_Link,0.0,98.97454197779409,2,0.01025458022205913,0.0,1.0
Is_Long_Ground_Turnaround,0.0,99.16845656111339,2,0.008315434388866071,0.0,1.0
Is_Diverted_Prev,0.0,99.96027444300056,2,0.0003972555699944115,0.0,1.0
Is_Parallel_Usage,0.0,82.69447006780277,2,0.17305529932197228,1.0,1.0
Is_Wide_Body,0.0,85.61194190642276,2,0.14388058093577252,1.0,1.0
Peak_Hour_Indicator,0.0,75.02272436523273,2,0.24977275634767268,1.0,1.0
Is_Special_Days,0.0,87.11275998357112,2,0.12887240016428875,1.0,1.0
Is_Rain,0.0,81.65285249698691,2,0.18347147503013084,1.0,1.0
Is_Heavy_Rain,0.0,99.791945811647,2,0.0020805418835300534,0.0,1.0
Is_Low_Visibility,0.0,95.31844410479468,2,0.04681555895205327,0.0,1.0
Is_Fog,0.0,91.59164820662676,2,0.08408351793373238,1.0,1.0
Is_Dewpoint_Spread_Le_1_5C,0.0,85.4160073795272,2,0.14583992620472802,1.0,1.0
Is_Radiation_Fog_Risk,0.0,91.61656084406708,2,0.0838343915593291,1.0,1.0
Is_WMO_Rain_Code,0.0,81.65285249698691,2,0.18347147503013084,1.0,1.0
Is_Below_3SM_Visibility,0.0,95.55679744679132,2,0.044432025532086805,0.0,1.0
Is_Below_1SM_Visibility,0.0,98.99070152640404,2,0.010092984735959709,0.0,1.0
Is_Crosswind_10kt,0.0,98.67559032851015,2,0.01324409671489843,0.0,1.0
Is_Tailwind_Default_Runway_5kt,0.0,99.07621247113164,2,0.009237875288683603,0.0,1.0
Is_Low_Ceiling_Risk,0.0,79.7864246325386,2,0.20213575367461403,1.0,1.0
Is_Severe_Convection_Risk,0.0,99.1118981409786,2,0.008881018590214047,0.0,1.0
Is_Thunderstorm_Risk,0.0,87.48510291612521,2,0.1251489708387479,1.0,1.0
Runway_Wet_Risk,0.0,81.65285249698691,3,0.18555201691366088,1.0,2.0
Forced_Runway_Swap_Risk,0.0,99.07621247113164,3,0.009547599970374162,0.0,2.0
Visibility_Severity_Score,0.0,95.31844410479468,4,0.1114335539560595,0.0,4.0
Convective_Severity_Score,0.0,90.4268140776601,5,0.15092345087160566,1.0,4.0
Previous_Station_Disruption,0.0,99.9952867983221,6,1.156069366279474e-06,0.0,0.027027027027027
Weather_Delay_Risk_Score,0.0,66.90793770494011,6,0.5442737966186144,3.0,5.0
