Crawl_Date,Scheduled_Time,Actual_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Actual_Tail,Aircraft_Type,Category
2026-03-12,2026-03-12 19:20,2026-03-12 19:35,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,,Landed,VN-A289,A321,passenger
2026-02-12,2026-02-12 06:31,2026-02-12 06:31,Ho Chi Minh City,SGN,Vietjet Air,VJ246,1,,Landed,VN-A550,A21N,passenger
2026-03-12,2026-03-12 19:05,2026-03-12 19:01,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,,Landed,VN-A895,A359,passenger
2026-02-12,2026-02-12 00:05,2026-02-12 01:03,Ho Chi Minh City,SGN,Vietnam Airlines,VN7112,1,,Landed,VN-A356,A321,passenger
2026-03-02,2026-03-02 11:55,2026-03-02 11:44,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G964,1,,Landed,VN-A285,A21N,passenger
2026-03-12,2026-03-12 18:45,2026-03-12 18:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN252,1,,Landed,VN-A866,B789,passenger
2026-03-02,2026-03-02 01:40,2026-03-02 01:40,Ho Chi Minh City,SGN,Vietravel Airlines,VU670,1,,Landed,9H-MLW,A320,passenger
2026-03-12,2026-03-13 12:30,2026-03-12 18:08,Ho Chi Minh City,SGN,Bamboo Airways,QH224,1,,Landed,JU-1410,A320,passenger
2026-03-08,2026-03-08 22:45,2026-03-08 22:52,Ho Chi Minh City,SGN,Vietjet Air,VJ640,1,,Landed,VN-A633,A321,passenger
2026-03-12,2026-03-12 18:05,2026-03-12 18:03,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,,Landed,VN-A874,B78X,passenger
2026-03-08,2026-03-08 22:15,2026-03-08 22:19,Ho Chi Minh City,SGN,Vietnam Airlines,VN148,1,,Landed,VN-A604,A321,passenger
2026-03-12,2026-03-12 17:30,2026-03-12 17:27,Ho Chi Minh City,SGN,Vietjet Air,VJ194,1,,Landed,VN-A629,A321,passenger
