airport,mode,row_index,airline_before,flight_no_before,flight_no_after,converted_by_rule
SGN,arrival,1,Sun PhuQuoc Airways,SPQ895,9G895,airline_match
SGN,arrival,15,Sun PhuQuoc Airways,SPQ885,9G885,airline_match
SGN,arrival,59,Sun PhuQuoc Airways,SPQ869,9G869,airline_match
SGN,arrival,106,Sun PhuQuoc Airways,SPQ1978,9G1978,airline_match
SGN,arrival,121,Sun PhuQuoc Airways,SPQ853,9G853,airline_match
SGN,arrival,179,Sun PhuQuoc Airways,SPQ87,9G87,airline_match
SGN,arrival,205,Sun PhuQuoc Airways,SPQ1964,9G1964,airline_match
SGN,arrival,263,Sun PhuQuoc Airways,SPQ1952,9G1952,airline_match
SGN,arrival,289,Sun PhuQuoc Airways,SPQ805,9G805,airline_match
SGN,arrival,345,Sun PhuQuoc Airways,SPQ895,9G895,airline_match
SGN,arrival,360,Sun PhuQuoc Airways,SPQ885,9G885,airline_match
SGN,arrival,414,Sun PhuQuoc Airways,SPQ869,9G869,airline_match
SGN,arrival,459,Sun PhuQuoc Airways,SPQ1978,9G1978,airline_match
SGN,arrival,471,Sun PhuQuoc Airways,SPQ853,9G853,airline_match
SGN,arrival,529,Sun PhuQuoc Airways,SPQ837,9G837,airline_match
SGN,arrival,548,Sun PhuQuoc Airways,SPQ1964,9G1964,airline_match
SGN,arrival,623,Sun PhuQuoc Airways,SPQ1952,9G1952,airline_match
SGN,arrival,641,Sun PhuQuoc Airways,SPQ805,9G805,airline_match
SGN,arrival,714,Sun PhuQuoc Airways,SPQ885,9G885,airline_match
SGN,arrival,750,Sun PhuQuoc Airways,SPQ873,9G873,airline_match
SGN,arrival,765,Sun PhuQuoc Airways,SPQ869,9G869,airline_match
SGN,arrival,823,Sun PhuQuoc Airways,SPQ1978,9G1978,airline_match
SGN,arrival,830,Sun PhuQuoc Airways,SPQ853,9G853,airline_match
SGN,arrival,888,Sun PhuQuoc Airways,SPQ837,9G837,airline_match
SGN,arrival,907,Sun PhuQuoc Airways,SPQ1964,9G1964,airline_match
SGN,arrival,976,Sun PhuQuoc Airways,SPQ1952,9G1952,airline_match
SGN,arrival,998,Sun PhuQuoc Airways,SPQ805,9G805,airline_match
