airport,mode,row_index,action,rule,crawl_date,scheduled_time,actual_time,flight_no,iata,airline,tail_number,aircraft_type,category
SGN,arrival,29986,update,manual_sgn_arr_han_sgn_swap_tail_override,2026-02-27,,02:12,VJ161,HAN,VietJet Air,VN-A532,A321,passenger
SGN,arrival,31163,update,manual_sgn_arr_han_sgn_swap_tail_override,2026-03-02,,13:51,VJ129,HAN,VietJet Air,VN-A532,A321,passenger
SGN,arrival,36205,update,manual_sgn_arr_han_sgn_swap_tail_override,2026-03-15,,01:21,VJ171,HAN,VietJet Air,VN-A632,A321,passenger
SGN,arrival,36205,drop,manual_sgn_arr_drop_remaining_swap_true_vj171,2026-03-15,,01:21,VJ171,HAN,VietJet Air,VN-A532,A321,passenger
SGN,arrival,14231,drop,manual_sgn_arr_drop_vj191_20260124,2026-01-24,,17:48,VJ191,HAN,VietJet Air,VN-A672,A320,passenger
SGN,arrival,35907,update,manual_sgn_arr_20260315_unknown_to_general_aviation,2026-03-15,,21:09,,,,,,unknown
HAN,arrival,11192,update,manual_han_arr_vj641_to_vj164,2026-01-22,,00:56,VJ641,SGN,VietJet Air,VN-A699,A320,passenger
HAN,arrival,21727,insert,manual_han_arr_vu774_inserted,2026-03-05,,09:12,VU774,SGN,Vietravel Airlines,9H-MLW,A320,passenger
HAN,arrival,443,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-17,,14:01,,,,VN-B469,C208,passenger
HAN,arrival,1341,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-20,,13:38,,,,VN-B469,C208,passenger
HAN,arrival,2235,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-23,,15:47,,,,VN-B469,C208,passenger
HAN,arrival,2544,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-24,,13:40,,,,VN-B469,C208,passenger
HAN,arrival,3108,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-26,,16:41,,,,VN-B469,C208,passenger
HAN,arrival,3439,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-27,,15:46,,,,VN-B469,C208,passenger
HAN,arrival,3800,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-28,,13:31,,,,VN-B469,C208,passenger
HAN,arrival,4059,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-29,,16:17,,,,VN-B469,C208,passenger
HAN,arrival,4415,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2025-12-30,,14:29,,,,VN-B469,C208,passenger
HAN,arrival,5018,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-01,,16:02,,,,VN-B469,C208,passenger
HAN,arrival,7802,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-10,,15:50,,,,VN-B469,C208,passenger
HAN,arrival,8431,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-12,,13:25,,,,VN-B469,C208,passenger
HAN,arrival,9023,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-14,,13:59,,,,VN-B469,C208,passenger
HAN,arrival,9511,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-16,,15:24,,,,VN-B469,C208,passenger
HAN,arrival,10051,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-18,,13:57,,,,VN-B469,C208,passenger
HAN,arrival,11078,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-22,,13:34,,,,VN-B469,C208,passenger
HAN,arrival,12474,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-27,,14:43,,,,VN-B469,C208,passenger
HAN,arrival,13282,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-30,,15:08,,,,VN-B469,C208,passenger
HAN,arrival,13550,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-01-31,,16:11,,,,VN-B469,C208,passenger
HAN,arrival,14687,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-05,,13:51,,,,VN-B469,C208,passenger
HAN,arrival,15228,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-07,,13:28,,,,VN-B469,C208,passenger
HAN,arrival,15532,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-08,,13:13,,,,VN-B469,C208,passenger
HAN,arrival,16139,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-10,,13:31,,,,VN-B469,C208,passenger
HAN,arrival,17005,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-13,,15:25,,,,VN-B469,C208,passenger
HAN,arrival,18670,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-19,,16:39,,,,VN-B469,C208,passenger
HAN,arrival,18950,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-20,,16:28,,,,VN-B469,C208,passenger
HAN,arrival,20106,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-24,,15:48,,,,VN-B469,C208,passenger
HAN,arrival,20876,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-27,,16:31,,,,VN-B469,C208,passenger
HAN,arrival,21090,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-02-28,,15:49,,,,VN-B469,C208,passenger
HAN,arrival,22010,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-03-07,,13:28,,,,VN-B469,C208,passenger
HAN,arrival,22787,update,manual_han_arr_vnb469_c208_passenger_to_unknown,2026-03-11,,16:21,,,,VN-B469,C208,passenger
HAN,arrival,11453,drop,manual_han_arr_drop_20260123_0744_empty_unknown,2026-01-23,,07:44,,,,,,unknown
HAN,arrival,11451,drop,manual_han_arr_drop_20260123_0818_vietjet_no_flight,2026-01-23,,08:18,,,VietJet Air,,A321,unknown
DAD,arrival,5096,update,manual_dad_arr_targeted_time_status_fixes,2026-01-22,23:35,23:50,TW13,ICN,T'WAY AIR,HL8378,B738,passenger
DAD,arrival,7395,update,manual_dad_arr_targeted_time_status_fixes,2026-02-09,00:20,23:50,ZE593,ICN,EASTAR JET,HL8759,B38M,passenger
DAD,arrival,7955,update,manual_dad_arr_targeted_time_status_fixes,2026-02-12,22:45,23:50,VJ640,SGN,VIETJET AIR,VN-A643,A321,passenger
DAD,arrival,8104,update,manual_dad_arr_targeted_time_status_fixes,2026-02-13,22:00,00:28,VJ646,SGN,VIETJET AIR,LY-MLN,A320,passenger
