airport,mode,side,column
SGN,arrival,bronze_cleaned_only,Tail_Number
SGN,arrival,silver_only,Actual_Tail
SGN,arrival,silver_only,Arrival_Flight_Duration_Minutes
SGN,arrival,silver_only,Is_Military_Active
SGN,arrival,silver_only,Is_Return_Emergency
SGN,arrival,silver_only,Is_Same_Origin_Unmatched
SGN,arrival,silver_only,Military_Count_1h
SGN,arrival,silver_only,Military_Count_3h
SGN,arrival,silver_only,Same_Origin_Action
SGN,arrival,silver_only,Scheduled_Time
HAN,arrival,bronze_cleaned_only,Tail_Number
HAN,arrival,silver_only,Actual_Tail
HAN,arrival,silver_only,Arrival_Flight_Duration_Minutes
HAN,arrival,silver_only,Is_Military_Active
HAN,arrival,silver_only,Is_Return_Emergency
HAN,arrival,silver_only,Is_Same_Origin_Unmatched
HAN,arrival,silver_only,Military_Count_1h
HAN,arrival,silver_only,Military_Count_3h
HAN,arrival,silver_only,Same_Origin_Action
HAN,arrival,silver_only,Scheduled_Time
DAD,arrival,bronze_cleaned_only,Tail_Number
DAD,arrival,silver_only,Actual_Tail
DAD,arrival,silver_only,Arrival_Flight_Duration_Minutes
DAD,arrival,silver_only,Is_Military_Active
DAD,arrival,silver_only,Is_Return_Emergency
DAD,arrival,silver_only,Is_Same_Origin_Unmatched
DAD,arrival,silver_only,Military_Count_1h
DAD,arrival,silver_only,Military_Count_3h
DAD,arrival,silver_only,Same_Origin_Action
SGN,departure,bronze_cleaned_only,Tail_Number
SGN,departure,silver_only,Is_Aircraft_Swapped
SGN,departure,silver_only,Is_Military_Active
SGN,departure,silver_only,Matched_Actual_Tail
SGN,departure,silver_only,Military_Count_1h
SGN,departure,silver_only,Military_Count_3h
SGN,departure,silver_only,Scheduled_Tail
SGN,departure,silver_only,Swap_Match_Gap_Minutes
HAN,departure,bronze_cleaned_only,Tail_Number
HAN,departure,silver_only,Is_Aircraft_Swapped
HAN,departure,silver_only,Is_Military_Active
HAN,departure,silver_only,Matched_Actual_Tail
HAN,departure,silver_only,Military_Count_1h
HAN,departure,silver_only,Military_Count_3h
HAN,departure,silver_only,Scheduled_Tail
HAN,departure,silver_only,Swap_Match_Gap_Minutes
DAD,departure,bronze_cleaned_only,Tail_Number
DAD,departure,silver_only,Is_Aircraft_Swapped
DAD,departure,silver_only,Is_Jet_Bridge
DAD,departure,silver_only,Is_Military_Active
DAD,departure,silver_only,Is_Remote_Stand
DAD,departure,silver_only,Matched_Actual_Tail
DAD,departure,silver_only,Military_Count_1h
DAD,departure,silver_only,Military_Count_3h
DAD,departure,silver_only,Scheduled_Tail
DAD,departure,silver_only,Swap_Match_Gap_Minutes
