airport,mode,column,compared_rows,mismatch_count,mismatch_pct,examples
DAD,arrival,Category,12499,1000,8.0,3: general aviation -> passenger || 49: general aviation -> passenger || 64: general aviation -> passenger || 73: general aviation -> passenger || 85: general aviation -> passenger
DAD,arrival,Arrival_Runway,12499,637,5.1,45: Unknown -> 35L || 49: Unknown -> 35L || 50: Unknown -> 35L || 58: Unknown -> 35L || 60: Unknown -> 35L
DAD,arrival,Terminal,12499,573,4.58,3: 0 -> 2 || 64: 0 -> 2 || 73: 0 -> 2 || 110: 0 -> 2 || 113: 0 -> 2
DAD,arrival,Flight_No,12499,315,2.52,20: BL6081 -> VN6081 || 53: BL6036 -> VN6036 || 90: BL6071 -> VN6071 || 138: BL6081 -> VN6081 || 173: BL6036 -> VN6036
DAD,arrival,Airline,12499,313,2.5,20: Pacific Airlines -> Vietnam Airlines || 53: Pacific Airlines -> Vietnam Airlines || 90: Pacific Airlines -> Vietnam Airlines || 138: Pacific Airlines -> Vietnam Airlines || 173: Pacific Airlines -> Vietnam Airlines
DAD,arrival,Status,12499,112,0.9,49: Cancelled -> N/A || 85: Cancelled -> N/A || 106: Cancelled -> N/A || 153: Cancelled -> N/A || 205: Cancelled -> N/A
DAD,arrival,Actual_Time,12499,26,0.21,5096: 23:50 -> 23:55 || 5903: 23:45 -> 00:20 || 7395: 23:50 -> 02:25 || 7396: 02:25 -> 00:32 || 7955: 23:50 -> 00:59
DAD,arrival,Belt,12499,22,0.18,5096: 2.0 -> 3.0 || 5903: N/A -> 5.0 || 7395: 3.0 -> 1.0 || 7396: 1.0 -> 2.0 || 8108: 4.0 -> 3.0
DAD,arrival,Aircraft_Type,12499,20,0.16,7395: B38M -> A321 || 7396: A321 -> B38M || 8108: A21N -> A320 || 8109: A320 -> A21N || 9880: A321 -> A320
DAD,arrival,IATA,12499,18,0.14,7395: ICN -> SGN || 7396: SGN -> ICN || 9880: HPH -> SGN || 9881: SGN -> HPH || 9883: CXR -> SGN
DAD,arrival,Origin,12499,18,0.14,7395: Seoul -> Ho Chi Minh City || 7396: Ho Chi Minh City -> Seoul || 9880: Haiphong -> Ho Chi Minh City || 9881: Ho Chi Minh City -> Haiphong || 9883: Nha Trang -> Ho Chi Minh City
DAD,arrival,Scheduled_Time,12499,9,0.07,9880: 20:15 -> 20:00 || 9882: 20:30 -> 20:15 || 9887: 20:45 -> 20:30 || 9888: 21:05 -> 20:45 || 9889: 21:10 -> 21:05
DAD,departure,Flight_No,12524,5131,40.97,34: BL6080 -> VN6080 || 63: BL6037 -> VN6037 || 102: BL6070 -> VN6070 || 152: BL6080 -> VN6080 || 182: BL6037 -> VN6037
DAD,departure,Checkin_Time,12524,4893,39.07,7566: 02:25 -> 03:00 || 7567: 03:00 -> 03:20 || 7568: 03:20 -> 03:25 || 7569: 03:25 -> 03:45 || 7570: 03:45 -> 04:00
DAD,departure,Scheduled_Time,12524,4871,38.89,7566: 04:25 -> 05:00 || 7567: 05:00 -> 05:20 || 7568: 05:20 -> 05:25 || 7569: 05:25 -> 05:45 || 7570: 05:45 -> 06:00
DAD,departure,Actual_Time,12524,4838,38.63,7566: 04:25 -> 05:00 || 7567: 05:00 -> 05:20 || 7568: 05:20 -> 05:25 || 7569: 05:25 -> 05:45 || 7570: 05:45 -> 06:00
DAD,departure,Gate,12524,4470,35.69,7567: N/A -> 1.0 || 7568: 1.0 -> 8.0 || 7569: 8.0 -> 3.0 || 7570: 3.0 -> 4.0 || 7571: 4.0 -> 5.0
DAD,departure,Checkin_Counter,12524,4466,35.66,7566: 43-45 -> 27-34 || 7570: 27-34 -> 3-16 || 7572: 3-16 -> 27-34 || 7574: 27-34 -> 3-16 || 7575: 3-16 -> 27-34
DAD,departure,Airline,12524,4428,35.36,34: Pacific Airlines -> Vietnam Airlines || 63: Pacific Airlines -> Vietnam Airlines || 102: Pacific Airlines -> Vietnam Airlines || 152: Pacific Airlines -> Vietnam Airlines || 182: Pacific Airlines -> Vietnam Airlines
DAD,departure,IATA,12524,4162,33.23,7567: SGN -> PQC || 7568: PQC -> SGN || 7569: SGN -> HAN || 7570: HAN -> SGN || 7571: SGN -> HPH
DAD,departure,Destination,12524,4161,33.22,7567: Ho Chi Minh City -> Phu Quoc Island || 7568: Phu Quoc Island -> Ho Chi Minh City || 7569: Ho Chi Minh City -> Hanoi || 7570: Hanoi -> Ho Chi Minh City || 7571: Ho Chi Minh City -> Haiphong
DAD,departure,Aircraft_Type,12524,3525,28.15,7566: B739 -> N/A || 7567: N/A -> A321 || 7568: A321 -> A21N || 7570: A21N -> A321 || 7572: A321 -> A320
DAD,departure,Terminal,12524,2753,21.98,1: 0 -> 2 || 3: 0 -> 2 || 8: 0 -> 2 || 78: 0 -> 2 || 90: 0 -> 2
DAD,departure,Is_Fixed_Flight,12524,1893,15.11,7583: 0.0 -> 1.0 || 7584: 1.0 -> 0.0 || 7588: 0.0 -> 1.0 || 7589: 1.0 -> 0.0 || 7590: 0.0 -> 1.0
DAD,departure,Departure_Runway,12524,782,6.24,32: N/A -> 35R || 34: Unknown -> 35R || 60: N/A -> 35R || 63: Unknown -> 35R || 102: Unknown -> 35R
DAD,departure,Category,12524,714,5.7,1: general aviation -> passenger || 3: general aviation -> passenger || 8: general aviation -> passenger || 78: general aviation -> passenger || 90: general aviation -> passenger
DAD,departure,Status,12524,693,5.53,32: Cancelled -> N/A || 60: Cancelled -> N/A || 111: Cancelled -> N/A || 137: Cancelled -> N/A || 151: Cancelled -> N/A
DAD,departure,Crawl_Date,12524,115,0.92,7688: 2026-02-11 -> 2026-02-12 || 7839: 2026-02-12 -> 2026-02-13 || 7997: 2026-02-13 -> 2026-02-14 || 7998: 2026-02-13 -> 2026-02-14 || 8145: 2026-02-14 -> 2026-02-15
HAN,arrival,Flight_No,23510,23235,98.83,6: SPQ882 -> 9G882 || 36: SPQ878 -> 9G878 || 52: SPQ868 -> 9G868 || 86: SPQ1216 -> 9G1216 || 94: SPQ854 -> 9G854
