Aircraft_Type,Tail_Number
A320,9H-MLE
A320,9H-MLO
A320,9H-MLW
A320,9M-AFD
A320,9M-AFE
A320,9M-AFF
A20N,9M-AGA
A20N,9M-AGB
A320,9M-AGC
A20N,9M-AGE
A20N,9M-AGF
A20N,9M-AGG
A20N,9M-AGH
A20N,9M-AGI
A20N,9M-AGJ
A20N,9M-AGK
A20N,9M-AGL
A320,9M-AGM
A20N,9M-AGO
A320,9M-AGP
A20N,9M-AGQ
A20N,9M-AGS
A320,9M-AGU
A20N,9M-AGV
A20N,9M-AGW
A320,9M-AGY
A320,9M-AGZ
A320,9M-AHE
A320,9M-AHJ
A320,9M-AHL
A320,9M-AHR
A320,9M-AHV
A320,9M-AHX
A320,9M-AHY
A320,9M-AHZ
A320,9M-AJA
A320,9M-AJD
A320,9M-AJE
A320,9M-AJG
A320,9M-AJH
A320,9M-AJI
A320,9M-AJJ
A320,9M-AJK
A320,9M-AJN
A320,9M-AJP
A320,9M-AJS
A320,9M-AJT
A320,9M-AJY
A320,9M-AJZ
A320,9M-AQD
A320,9M-AQE
A320,9M-AQF
A320,9M-AQG
A320,9M-AQH
A320,9M-AQI
A320,9M-AQN
A320,9M-AQO
A320,9M-AQP
A320,9M-AQQ
A320,9M-AQS
A320,9M-DAB
A320,9M-DAF
A320,9M-DAG
B738,9M-LCW
B738,9M-LDH
B38M,9M-LRD
B38M,9M-LRF
B38M,9M-LRJ
B38M,9M-LRK
B38M,9M-LRL
B38M,9M-LRM
B38M,9M-LRP
B38M,9M-LRQ
B38M,9M-LRR
B38M,9M-LRS
B38M,9M-LRT
B38M,9M-LRU
B38M,9M-LRV
B38M,9M-LRW
B738,9M-MLM
B738,9M-MLO
B738,9M-MLQ
B738,9M-MLR
B738,9M-MLS
B738,9M-MLT
B738,9M-MLU
B738,9M-MLV
B738,9M-MSA
B38M,9M-MVJ
B738,9M-MXA
B738,9M-MXC
B738,9M-MXD
B738,9M-MXE
B738,9M-MXF
B738,9M-MXG
B738,9M-MXH
B738,9M-MXI
B738,9M-MXJ
B738,9M-MXK
B738,9M-MXL
B738,9M-MXM
B738,9M-MXN
B738,9M-MXO
B738,9M-MXQ
B738,9M-MXR
B738,9M-MXS
B738,9M-MXT
B738,9M-MXU
B738,9M-MXV
B738,9M-MXX
B738,9M-MXY
A20N,9M-NEO
A320,9M-RAA
A20N,9M-RAB
A320,9M-RAC
A320,9M-RAD
A320,9M-RAE
A320,9M-RAG
A20N,9M-RAH
A20N,9M-RAJ
A20N,9M-RAK
A20N,9M-RAL
A20N,9M-RAM
A320,9M-RAN
A320,9M-RAO
A20N,9M-RAP
A20N,9M-RAQ
A20N,9M-RAR
A320,9M-RAV
A320,9M-RCB
B38M,9V-MBA
B38M,9V-MBB
B38M,9V-MBC
B38M,9V-MBD
B38M,9V-MBE
B38M,9V-MBF
B38M,9V-MBG
B38M,9V-MBH
B38M,9V-MBI
B38M,9V-MBJ
B38M,9V-MBK
B38M,9V-MBL
B38M,9V-MBM
B38M,9V-MBN
B38M,9V-MBO
B38M,9V-MBP
B38M,9V-MBQ
B38M,9V-MBR
B38M,9V-MBS
B38M,9V-MBT
A21N,9V-NCA
A21N,9V-NCB
A21N,9V-NCC
A21N,9V-NCD
A21N,9V-NCE
A21N,9V-NCH
A21N,9V-NCI
A21N,9V-NCJ
A21N,9V-NCK
A21N,9V-NCL
A21N,9V-NCM
A20N,9V-TNH
A20N,9V-TNI
B77W,A6-ECY
B77W,A6-ECZ
B77W,A6-ENB
B77W,A6-ENC
B77W,A6-END
B77W,A6-ENF
B77W,A6-ENI
B77W,A6-ENO
B77W,A6-ENW
B77W,A6-ENY
B77W,A6-EPE
B77W,A6-EPG
B77W,A6-EPQ
B77W,A6-EPR
B77W,A6-EPT
A321,B-16208
A321,B-16211
A321,B-16212
A321,B-16213
A321,B-16215
A321,B-16216
A321,B-16217
A321,B-16218
A321,B-16219
A321,B-16220
A321,B-16221
A321,B-16222
A321,B-16223
A321,B-16225
A321,B-16226
A321,B-16227
A333,B-16332
A333,B-16335
A333,B-16336
A333,B-16337
A333,B-16338
A333,B-16339
A333,B-16340
B77W,B-16713
A21N,B-18102
A21N,B-18103
A21N,B-18105
A21N,B-18106
A21N,B-18107
A21N,B-18108
A21N,B-18109
A21N,B-18110
A21N,B-18111
A21N,B-18112
A21N,B-18116
A21N,B-18117
A21N,B-18120
B738,B-18651
B738,B-18661
A320,B-50001
A320,B-50005
A320,B-50006
A320,B-50008
A320,B-50011
A320,B-50015
A320,B-50016
A320,B-50017
A320,B-50018
A20N,B-50021
A20N,B-50022
A20N,B-50023
A20N,B-50025
A20N,B-50026
A20N,B-50027
A20N,B-50028
A20N,B-50029
A21N,B-58201
A21N,B-58202
A21N,B-58203
A21N,B-58204
A21N,B-58205
A21N,B-58206
A21N,B-58207
A21N,B-58208
A21N,B-58209
A21N,B-58210
A21N,B-58211
A21N,B-58212
A21N,B-58213
A339,B-58301
A339,B-58302
A320,B-HSL
A320,B-HSM
A320,B-HSN
A321,B-HTH
A321,B-HTI
B738,B-KJA
B738,B-KJC
B738,B-KJD
B738,B-KJH
A21N,B-KKD
A21N,B-KKG
A21N,B-KKI
A21N,B-KKL
A320,B-LCH
A320,B-LCI
A320,B-LCJ
A20N,B-LCL
A20N,B-LCM
A20N,B-LCN
A20N,B-LCR
A20N,B-LCS
A321,B-LED
A321,B-LEE
A321,B-LEF
A321,B-LEG
A321,B-LEH
A321,B-LEI
A321,B-LEJ
A321,B-LEK
A321,B-LEL
A320,B-LPC
A320,B-LPD
A320,B-LPE
A320,B-LPL
A320,B-LPM
A320,B-LPN
A320,B-LPP
A320,B-LPQ
A321,B-LPR
A320,B-LPS
A320,B-LPT
A320,B-LPV
A321,B-LPW
A321,B-LPX
A321,B-MBA
A321,B-MBB
A320,B-MBC
A321,B-MBM
A20N,B-MBO
A20N,B-MBP
A21N,B-MBR
A21N,B-MBS
A21N,B-MBT
A21N,B-MBU
A321,B-MCA
A320,B-MCB
A321,B-MCC
A321,B-MCD
A321,B-MCE
A320,B-MCF
A321,B-MCG
A320,B-MCH
A320,B-MCI
A320,B-MCJ
A20N,B-MCL
A320,ER-00005
A320,ER-00011
B789,HL7206
B789,HL7207
B789,HL7208
B789,HL7209
A321,HL7211
A321,HL7212
B738,HL7213
B38M,HL7215
B38M,HL7216
B38M,HL7217
B38M,HL7218
A333,HL7553
A333,HL7554
B738,HL7560
B738,HL7561
B738,HL7562
A333,HL7584
A333,HL7585
A333,HL7586
A333,HL7587
A333,HL7701
A333,HL7702
A333,HL7709
A333,HL7710
A333,HL7720
A333,HL7741
A333,HL7747
A320,HL7753
A333,HL7754
B738,HL7757
B738,HL7786
A321,HL7789
A321,HL7790
A333,HL7792
A333,HL7794
B738,HL8000
A333,HL8001
A333,HL8002
A333,HL8003
B738,HL8012
B738,HL8013
B738,HL8014
B738,HL8015
B738,HL8016
B738,HL8017
A333,HL8025
A333,HL8026
A333,HL8027
B738,HL8030
B738,HL8047
B738,HL8051
A320,HL8055
B738,HL8056
B738,HL8062
B738,HL8063
B738,HL8067
B738,HL8069
B738,HL8070
A321,HL8072
A321,HL8073
B789,HL8083
B789,HL8084
B789,HL8085
B738,HL8086
B738,HL8087
B738,HL8089
B738,HL8090
B738,HL8095
B738,HL8098
A321,HL8099
B77W,HL8218
B738,HL8220
B738,HL8224
B738,HL8225
B738,HL8240
B738,HL8242
B738,HL8243
B738,HL8244
B738,HL8245
B738,HL8246
B738,HL8247
A321,HL8255
A321,HL8256
A321,HL8257
A333,HL8258
A333,HL8259
B738,HL8261
B77W,HL8274
B738,HL8300
B738,HL8301
B738,HL8302
B738,HL8306
A320,HL8309
B738,HL8321
B738,HL8322
B738,HL8323
B738,HL8324
B738,HL8326
B738,HL8327
A320,HL8328
B738,HL8329
B738,HL8331
B738,HL8332
B738,HL8337
B738,HL8339
B789,HL8345
B738,HL8354
A21N,HL8356
A21N,HL8357
B738,HL8363
A21N,HL8364
A321,HL8365
A21N,HL8371
B738,HL8374
B738,HL8375
B738,HL8378
B738,HL8379
A320,HL8385
A320,HL8386
B789,HL8387
B789,HL8388
B789,HL8389
B789,HL8392
A21N,HL8394
A21N,HL8395
A21N,HL8396
A21N,HL8399
A21N,HL8504
B738,HL8507
A21N,HL8510
A21N,HL8511
B38M,HL8513
B38M,HL8514
B78X,HL8515
B789,HL8516
B789,HL8517
B38M,HL8523
B38M,HL8524
A21N,HL8525
A21N,HL8528
A21N,HL8532
A21N,HL8533
A21N,HL8534
B78X,HL8535
B78X,HL8536
B78X,HL8537
B78X,HL8538
B738,HL8539
A320,HL8540
B38M,HL8541
B38M,HL8542
B38M,HL8543
B38M,HL8544
B738,HL8547
B38M,HL8554
B38M,HL8555
A21N,HL8557
A320,HL8562
A320,HL8563
B738,HL8564
B738,HL8565
B78X,HL8572
B78X,HL8575
B78X,HL8576
B38M,HL8579
B38M,HL8580
B38M,HL8581
A21N,HL8582
A21N,HL8584
A21N,HL8586
A21N,HL8589
B38M,HL8592
B38M,HL8593
A320,HL8595
B789,HL8701
B789,HL8702
B789,HL8703
B789,HL8704
A21N,HL8705
A332,HL8709
A21N,HL8710
A332,HL8714
B38M,HL8715
B38M,HL8716
B38M,HL8717
B38M,HL8718
A320,HL8742
A320,HL8743
A320,HL8744
B38M,HL8751
B38M,HL8759
A320,HS-ABA
A320,HS-ABC
A320,HS-ABD
A320,HS-ABJ
A320,HS-ABM
A320,HS-ABO
A320,HS-ABR
A320,HS-ABS
A320,HS-ABT
A320,HS-ABU
A320,HS-ABV
A320,HS-ABW
A320,HS-ABX
A320,HS-ABY
A320,HS-ABZ
A320,HS-BBB
A320,HS-BBC
A320,HS-BBD
A320,HS-BBE
A320,HS-BBF
A320,HS-BBG
A320,HS-BBH
A320,HS-BBI
A320,HS-BBJ
A320,HS-BBL
A320,HS-BBM
A320,HS-BBO
A320,HS-BBP
A320,HS-BBR
A320,HS-BBT
A320,HS-BBU
A320,HS-BBV
A320,HS-BBW
A20N,HS-BBX
A20N,HS-BBY
A320,HS-CBA
A20N,HS-CBB
A20N,HS-CBC
A320,HS-CBD
A20N,HS-CBE
A20N,HS-CBF
A20N,HS-CBG
A20N,HS-CBH
A320,HS-CBI
A20N,HS-CBJ
A20N,HS-CBK
A320,HS-CBL
A320,HS-CBM
A320,HS-CBR
A21N,HS-EAA
A21N,HS-EAB
A21N,HS-EAC
A21N,HS-EAD
A21N,HS-EAE
A21N,HS-EAF
A21N,HS-EAG
B739,HS-LVP
B739,HS-LVQ
A320,HS-VKA
A320,HS-VKB
A320,HS-VKC
A320,HS-VKD
A321,HS-VKG
A321,HS-VKH
A321,HS-VKJ
A321,HS-VKL
A321,HS-VKM
A320,HS-VKN
A321,HS-VKR
A320,HS-VKS
A320,HS-VKT
B38M,HS-VZA
B38M,HS-VZB
B38M,HS-VZC
B38M,HS-VZD
B38M,HS-VZE
B38M,HS-VZF
A320,JU-1410
A320,LY-MLI
A320,LY-MLN
A320,LY-NVE
A320,LY-NVG
PNR4,PH-JMM
B739,PK-BBK
A20N,RP-C3239
A20N,RP-C3281
A20N,RP-C3287
A320,RP-C4103
A320,RP-C4104
A20N,RP-C4110
A321,RP-C4111
A321,RP-C4112
A321,RP-C4113
A321,RP-C4114
A321,RP-C4116
A321,RP-C4117
A21N,RP-C4118
A21N,RP-C4120
A21N,RP-C4121
A21N,RP-C4122
A21N,RP-C4123
A21N,RP-C4124
A21N,RP-C4125
A21N,RP-C4126
A21N,RP-C4127
A20N,RP-C4130
A21N,RP-C4133
A20N,RP-C4135
A20N,RP-C4136
A20N,RP-C4138
A21N,RP-C4140
A21N,RP-C4141
A21N,RP-C4142
A21N,RP-C4143
A20N,RP-C4144
A21N,RP-C4145
A21N,RP-C4146
A21N,RP-C4147
A21N,RP-C4149
A20N,RP-C4265
A20N,RP-C4266
A20N,RP-C4267
A20N,RP-C4350
B77W,RP-C7773
B77W,RP-C7783
A333,RP-C8764
A333,RP-C8765
A333,RP-C8766
A333,RP-C8771
A333,RP-C8780
A333,RP-C8782
A333,RP-C8786
A333,RP-C8789
A321,RP-C9901
A321,RP-C9902
A321,RP-C9903
A321,RP-C9905
A321,RP-C9906
A321,RP-C9907
A321,RP-C9909
A321,RP-C9912
A321,RP-C9914
A321,RP-C9915
A321,RP-C9916
A321,RP-C9918
A321,RP-C9919
A321,RP-C9925
A321,RP-C9926
A321,RP-C9928
A321,RP-C9929
A21N,RP-C9930
A21N,RP-C9933
A21N,RP-C9936
A21N,RP-C9938
DH8D,S2-AKF
TAIL,VH-TW8
A321,VN-A129
A320,VN-A136
A321,VN-A227
A321,VN-A279
A321,VN-A280
A21N,VN-A281
A21N,VN-A282
A21N,VN-A284
A21N,VN-A285
A21N,VN-A286
A321,VN-A289
A321,VN-A323
A321,VN-A324
A321,VN-A325
A321,VN-A326
A321,VN-A327
A321,VN-A329
A321,VN-A331
A321,VN-A332
A321,VN-A334
A321,VN-A335
A321,VN-A336
A321,VN-A338
A321,VN-A339
A321,VN-A353
A321,VN-A354
A321,VN-A356
A321,VN-A357
A321,VN-A358
A321,VN-A359
A321,VN-A363
