feature,count,mean,std,min,25%,50%,75%,max,null_count
Tail_Sequence_Day,74723.0,2.192604686642667,1.443557392270856,1.0,1.0,2.0,3.0,10.0,0
Arrival_Delay,74723.0,1.5432731555210577,13.777609608163909,-680.0,0.0,0.0,0.0,430.0,0
Accumulated_Delay,74723.0,3.085569369538161,19.642415355608993,0.0,0.0,0.0,0.0,1260.0,0
Turnaround_Buffer,74301.0,567.4418984939638,3529.837624840732,1.0,48.0,80.0,226.0,121045.0,422
Tail_Stagnation_Duration,74723.0,497.45251127497556,3519.9868107458046,-655.0,-19.0,5.0,173.0,121015.0,0
Airport_Load_Factor,74723.0,31.312407157100225,11.803865611446884,1.0,23.0,32.0,41.0,62.0,0
Number_of_Flights_in_Last_Hour,74723.0,28.807515758200285,11.390344569024945,0.0,20.0,30.0,38.0,55.0,0
Flight_Density_Disruption,74723.0,8.557259536635823e-06,0.0004688221820360637,0.0,0.0,0.0,0.0,0.027777777777777776,0
Previous_Station_Disruption,74723.0,2.0443353756014533e-06,0.00022876678939723197,0.0,0.0,0.0,0.0,0.027777777777777776,0
Departure_Delay,74723.0,31.205726483144414,119.06923233932001,-27256.0,10.0,23.0,43.0,692.0,0
Standard_Turnaround,74723.0,98.28879996788137,30.24861335670869,37.5,87.0,99.0,102.0,451.0,0
