Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Actual_Tail,Aircraft_Type,Category,Scheduled_Time,Arrival_Planned_Landing_Time,Arrival_Actual_Landing_Time,Arrival_Flight_Duration_Minutes,Arrival_Planned_Landing_DateTime,Arrival_Actual_Landing_DateTime,Scheduled_DateTime,Actual_DateTime,Is_Return_Emergency,Is_Same_Origin_Unmatched,Same_Origin_Action,Military_Count_1h,Military_Count_3h,Is_Military_Active
2025-12-16,23:55,01:41,Ho Chi Minh City,SGN,Vietnam Airlines,VN224,1,11L,Landed,VN-A503,A21N,passenger,N/A,N/A,23:55,101,N/A,2025-12-16 23:55:00,N/A,2025-12-16 23:55:00,False,False,N/A,0,0,False
2025-12-16,23:52,01:40,Phu Quoc,PQC,VietJet Air,VJ3523,1,11L,Landed,VN-A516,A21N,passenger,N/A,N/A,23:52,100,N/A,2025-12-16 23:52:00,N/A,2025-12-16 23:52:00,False,False,N/A,0,0,False
2025-12-16,23:47,01:20,Bangkok,BKK,Vietnam Airlines,VN616,2,11L,Landed,VN-A614,A321,passenger,N/A,N/A,23:47,80,N/A,2025-12-16 23:47:00,N/A,2025-12-16 23:47:00,False,False,N/A,0,0,False
2025-12-16,23:43,04:24,Seoul,ICN,Atlas Air,5Y8242,0,11L,Landed,N498MC,B744,cargo,N/A,N/A,23:43,264,N/A,2025-12-16 23:43:00,N/A,2025-12-16 23:43:00,False,False,N/A,0,0,False
2025-12-16,23:34,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN220,1,11L,Landed,VN-A872,B78X,passenger,N/A,N/A,23:34,98,N/A,2025-12-16 23:34:00,N/A,2025-12-16 23:34:00,False,False,N/A,0,0,False
2025-12-16,23:30,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN256,1,11L,Landed,VN-A508,A21N,passenger,N/A,N/A,23:30,99,N/A,2025-12-16 23:30:00,N/A,2025-12-16 23:30:00,False,False,N/A,0,0,False
2025-12-16,23:22,01:42,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G882,1,11L,Landed,VN-A279,A321,passenger,N/A,N/A,23:22,102,N/A,2025-12-16 23:22:00,N/A,2025-12-16 23:22:00,False,False,N/A,0,0,False
2025-12-16,23:10,01:41,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,11L,Landed,VN-A603,A321,passenger,N/A,N/A,23:10,101,N/A,2025-12-16 23:10:00,N/A,2025-12-16 23:10:00,False,False,N/A,0,0,False
2025-12-16,23:06,00:57,Da Nang,DAD,VietJet Air,VJ518,1,11L,Landed,VN-A648,A321,passenger,N/A,N/A,23:06,57,N/A,2025-12-16 23:06:00,N/A,2025-12-16 23:06:00,False,False,N/A,0,0,False
2025-12-16,23:01,01:40,Ho Chi Minh City,SGN,Vietravel Airlines,VU794,1,11L,Landed,VN-A136,A320,passenger,N/A,N/A,23:01,100,N/A,2025-12-16 23:01:00,N/A,2025-12-16 23:01:00,False,False,N/A,0,0,False
