Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Actual_Tail,Aircraft_Type,Category,Scheduled_Time,Arrival_Planned_Landing_Time,Arrival_Actual_Landing_Time,Arrival_Flight_Duration_Minutes,Arrival_Planned_Landing_DateTime,Arrival_Actual_Landing_DateTime,Scheduled_DateTime,Actual_DateTime,Is_Return_Emergency,Is_Same_Origin_Unmatched,Same_Origin_Action,Military_Count_1h,Military_Count_3h,Is_Military_Active
2025-12-16,23:57,00:57,Da Nang,DAD,VietJet Air,VJ647,1,25R,Landed,VN-A546,A21N,passenger,N/A,N/A,23:57,57,N/A,2025-12-16 23:57:00,N/A,2025-12-16 23:57:00,False,False,N/A,0,0,False
2025-12-16,23:53,01:38,Hanoi,HAN,Sun PhuQuoc Airways,9G895,3,25R,Landed,VN-A282,A21N,passenger,N/A,N/A,23:53,98,N/A,2025-12-16 23:53:00,N/A,2025-12-16 23:53:00,False,False,N/A,0,0,False
2025-12-16,23:49,01:41,Hanoi,HAN,Vietnam Airlines,VN267,3,25R,Landed,VN-A612,A321,passenger,N/A,N/A,23:49,101,N/A,2025-12-16 23:49:00,N/A,2025-12-16 23:49:00,False,False,N/A,0,0,False
2025-12-16,23:46,01:46,Hanoi,HAN,Bamboo Airways,QH281,3,25R,Landed,ER-00005,A320,passenger,N/A,N/A,23:46,106,N/A,2025-12-16 23:46:00,N/A,2025-12-16 23:46:00,False,False,N/A,0,0,False
2025-12-16,23:43,01:39,Hanoi,HAN,VietJet Air,VJ161,1,25R,Landed,VN-A666,A320,passenger,N/A,N/A,23:43,99,N/A,2025-12-16 23:43:00,N/A,2025-12-16 23:43:00,False,False,N/A,0,0,False
2025-12-16,23:39,01:31,Sao Vang,THD,Vietnam Airlines,VN1269,3,25R,Landed,VN-A395,A321,passenger,N/A,N/A,23:39,91,N/A,2025-12-16 23:39:00,N/A,2025-12-16 23:39:00,False,False,N/A,0,0,False
2025-12-16,23:34,05:15,Seoul,ICN,Korean Air,KE479,2,25R,Landed,HL8559,A21N,passenger,N/A,N/A,23:34,315,N/A,2025-12-16 23:34:00,N/A,2025-12-16 23:34:00,False,False,N/A,0,0,False
2025-12-16,23:31,01:50,Hanoi,HAN,Vietnam Airlines,VN7225,3,25R,Landed,VN-A329,A321,passenger,N/A,N/A,23:31,110,N/A,2025-12-16 23:31:00,N/A,2025-12-16 23:31:00,False,False,N/A,0,0,False
2025-12-16,23:29,02:09,Manila,MNL,Cebu Pacific,5J751,2,25R,Landed,RP-C4142,A21N,passenger,N/A,N/A,23:29,129,N/A,2025-12-16 23:29:00,N/A,2025-12-16 23:29:00,False,False,N/A,0,0,False
2025-12-16,23:26,04:08,Shanghai,PVG,Juneyao Air,HO1327,2,25R,Landed,B-6963,A320,passenger,N/A,N/A,23:26,248,N/A,2025-12-16 23:26:00,N/A,2025-12-16 23:26:00,False,False,N/A,0,0,False
2025-12-16,23:24,01:39,Haiphong,HPH,Vietnam Airlines,VN1187,3,25R,Landed,VN-A332,A321,passenger,N/A,N/A,23:24,99,N/A,2025-12-16 23:24:00,N/A,2025-12-16 23:24:00,False,False,N/A,0,0,False
2025-12-16,23:21,01:44,Hanoi,HAN,Vietravel Airlines,VU791,3,25R,Landed,VN-A129,A321,passenger,N/A,N/A,23:21,104,N/A,2025-12-16 23:21:00,N/A,2025-12-16 23:21:00,False,False,N/A,0,0,False
2025-12-16,23:18,05:08,Seoul,ICN,Asiana Airlines,OZ735,2,25R,Landed,HL8398,A21N,passenger,N/A,N/A,23:18,308,N/A,2025-12-16 23:18:00,N/A,2025-12-16 23:18:00,False,False,N/A,0,0,False
2025-12-16,23:13,01:34,Sao Vang,THD,VietJet Air,VJ1245,1,25R,Landed,VN-A543,A21N,passenger,N/A,N/A,23:13,94,N/A,2025-12-16 23:13:00,N/A,2025-12-16 23:13:00,False,False,N/A,0,0,False
2025-12-16,23:08,01:09,Bangkok,BKK,Vietnam Airlines,VN608,2,25R,Landed,VN-A608,A321,passenger,N/A,N/A,23:08,69,N/A,2025-12-16 23:08:00,N/A,2025-12-16 23:08:00,False,False,N/A,0,0,False
2025-12-16,23:06,01:42,Hanoi,HAN,Sun PhuQuoc Airways,9G885,3,25R,Landed,VN-A280,A321,passenger,N/A,N/A,23:06,102,N/A,2025-12-16 23:06:00,N/A,2025-12-16 23:06:00,False,False,N/A,0,0,False
