Route,Origin,Destination,Arr_Index,Flight_No,Arr_Event_Time,Arr_Service_Date,Reason,Action,Drop_Reason
SGN->DAD,SGN,DAD,0,VJ636,2025-12-16 00:06:00,2025-12-16,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,215,VU684,2025-12-17 20:38:00,2025-12-17,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,1014,VJ642,2025-12-24 01:38:00,2025-12-24,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,1421,VJ642,2025-12-27 03:28:00,2025-12-27,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,1671,VN142,2025-12-28 21:16:00,2025-12-28,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,1704,VJ644,2025-12-29 01:37:00,2025-12-29,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,1987,VJ642,2025-12-31 01:03:00,2025-12-31,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,2280,VJ636,2026-01-02 01:46:00,2026-01-02,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,2686,VN7128,2026-01-04 23:55:00,2026-01-04,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,2703,VN7142,2026-01-05 00:00:00,2026-01-04,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,2715,VN7138,2026-01-05 00:39:00,2026-01-05,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3127,VN106,2026-01-08 07:23:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3132,VN110,2026-01-08 08:11:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3150,VN122,2026-01-08 11:15:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3151,QH154,2026-01-08 11:28:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3179,VN132,2026-01-08 14:58:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3212,VJ648,2026-01-08 19:52:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3260,VN106,2026-01-09 07:19:00,2026-01-09,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3274,VJ626,2026-01-09 11:02:00,2026-01-09,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3326,VN134,2026-01-09 17:12:00,2026-01-09,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3422,VN126,2026-01-10 13:10:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3439,VJ630,2026-01-10 15:32:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3462,QH170,2026-01-10 18:10:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3463,VN140,2026-01-10 18:45:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,3475,VN142,2026-01-10 20:38:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4093,VN7138,2026-01-15 14:37:00,2026-01-15,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4127,QH170,2026-01-15 18:54:00,2026-01-15,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4228,VN7138,2026-01-16 14:49:00,2026-01-16,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4261,QH170,2026-01-16 19:04:00,2026-01-16,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4356,VN7138,2026-01-17 14:33:00,2026-01-17,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4387,QH170,2026-01-17 18:48:00,2026-01-17,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4488,VN7138,2026-01-18 14:50:00,2026-01-18,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4522,QH170,2026-01-18 19:13:00,2026-01-18,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4622,VN7138,2026-01-19 14:36:00,2026-01-19,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4656,QH170,2026-01-19 18:59:00,2026-01-19,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4752,VN7138,2026-01-20 14:14:00,2026-01-20,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4788,QH170,2026-01-20 19:00:00,2026-01-20,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4879,VJ634,2026-01-21 13:25:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4894,VN7138,2026-01-21 15:13:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4913,VN136,2026-01-21 17:33:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4925,QH170,2026-01-21 19:39:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4931,VJ648,2026-01-21 19:57:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4935,VU684,2026-01-21 21:37:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4951,VN148,2026-01-21 22:09:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4957,VJ640,2026-01-21 23:22:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4982,VN110,2026-01-22 08:10:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,4992,VU672,2026-01-22 10:21:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5031,VN7138,2026-01-22 14:58:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5036,VJ632,2026-01-22 15:47:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5062,QH170,2026-01-22 19:05:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5113,QH150,2026-01-23 07:36:00,2026-01-23,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5258,VN112,2026-01-24 09:22:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5268,VN118,2026-01-24 11:20:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5292,VN6036,2026-01-24 13:55:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5297,VN7138,2026-01-24 15:59:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5321,VN140,2026-01-24 18:11:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,5327,QH170,2026-01-24 18:51:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,6563,VN7120,2026-02-02 23:35:00,2026-02-02,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,6659,VN136,2026-02-03 17:35:00,2026-02-03,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7099,VJ640,2026-02-07 00:10:00,2026-02-06,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7366,VJ1624,2026-02-08 23:30:00,2026-02-08,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7411,VN110,2026-02-09 09:41:00,2026-02-09,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7513,VJ646,2026-02-10 00:35:00,2026-02-09,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7803,VN7122,2026-02-11 22:40:00,2026-02-11,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7810,VN7120,2026-02-12 01:24:00,2026-02-11,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7814,VN7112,2026-02-11 23:55:00,2026-02-11,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,7961,VN7120,2026-02-13 01:20:00,2026-02-12,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8091,VU684,2026-02-13 22:48:00,2026-02-13,no_departure_match,mark_missing_departure,
