Airport,Mode,Dropped_Index,Kept_Index,Flight_No,Crawl_Date,Scheduled_Time,Actual_Time,Reason,Cluster_Span_Minutes
SGN,departure,5850,6232,QH282,2026-01-01,23:25,23:56,near_duplicate_cluster,7.0
SGN,departure,6454,6455,VN1895,2026-01-02,11:25,11:37,near_duplicate_cluster,1.0
SGN,departure,8057,8058,VN1853,2026-01-06,06:20,06:41,near_duplicate_cluster,0.0
SGN,departure,8751,8750,VN1404,2026-01-08,07:05,07:16,near_duplicate_cluster,0.0
SGN,departure,9680,9681,VN1895,2026-01-11,11:25,11:40,near_duplicate_cluster,0.0
SGN,departure,10790,10791,VN1895,2026-01-14,11:15,11:33,near_duplicate_cluster,0.0
SGN,departure,14059,14060,VN1893,2026-01-23,08:15,08:49,near_duplicate_cluster,0.0
SGN,departure,14112,14113,0V8073,2026-01-23,05:51,05:49,near_duplicate_cluster,0.0
SGN,departure,14388,14387,VN1893,2026-01-24,08:15,08:39,near_duplicate_cluster,0.0
SGN,departure,15091,15092,VN1895,2026-01-26,11:15,11:23,near_duplicate_cluster,1.0
SGN,departure,15910,15911,VN1893,2026-01-28,08:15,08:42,near_duplicate_cluster,0.0
SGN,departure,16717,16718,VN8059,2026-01-30,08:10,06:51,near_duplicate_cluster,0.0
SGN,departure,18968,18969,VN8093,2026-02-05,15:43,15:41,near_duplicate_cluster,0.0
SGN,departure,19989,19988,VN1857,2026-02-07,09:10,09:38,near_duplicate_cluster,0.0
SGN,departure,25707,25708,VN1859,2026-02-19,12:10,12:40,near_duplicate_cluster,1.0
SGN,departure,25778,25779,VN1857,2026-02-19,09:10,09:29,near_duplicate_cluster,1.0
SGN,departure,26436,26960,NH892,2026-02-21,23:05,23:54,near_duplicate_cluster,8.0
SGN,departure,28266,28267,VN8346,2026-02-24,11:30,12:16,near_duplicate_cluster,0.0
SGN,departure,28340,28341,VN8057,2026-02-24,08:50,09:06,near_duplicate_cluster,0.0
SGN,departure,29702,29700,TR303,2026-02-27,17:35,18:00,near_duplicate_cluster,2.0
SGN,departure,31719,31717,BSF968,2026-03-03,,08:10,near_duplicate_cluster,2.0
SGN,departure,31720,31718,VN112,2026-03-03,08:05,08:08,near_duplicate_cluster,2.0
SGN,departure,32072,32073,VN8067,2026-03-04,09:30,10:11,near_duplicate_cluster,0.0
SGN,departure,32099,32100,VN8055,2026-03-04,08:25,08:54,near_duplicate_cluster,0.0
SGN,departure,32145,32146,VN8059,2026-03-04,06:40,06:58,near_duplicate_cluster,1.0
SGN,departure,32613,33001,EK393,2026-03-06,23:55,23:53,near_duplicate_cluster,9.0
SGN,departure,33275,33276,VN8057,2026-03-07,08:50,08:56,near_duplicate_cluster,1.0
SGN,departure,33281,33282,VN8055,2026-03-07,08:25,08:39,near_duplicate_cluster,0.0
SGN,departure,33669,33670,VN8055,2026-03-08,08:25,08:43,near_duplicate_cluster,1.0
SGN,departure,34034,34035,VN1857,2026-03-09,09:10,09:30,near_duplicate_cluster,0.0
SGN,departure,34112,34113,VN8073,2026-03-09,05:40,05:51,near_duplicate_cluster,0.0
SGN,departure,34416,34417,VN8067,2026-03-10,09:30,09:41,near_duplicate_cluster,0.0
SGN,departure,34428,34429,VN8057,2026-03-10,08:50,09:09,near_duplicate_cluster,0.0
SGN,departure,34485,34484,VJ260,2026-03-10,05:30,06:35,near_duplicate_cluster,0.0
SGN,departure,34753,34754,VN8346,2026-03-11,11:30,11:45,near_duplicate_cluster,1.0
SGN,departure,34816,34815,VN8057,2026-03-11,08:50,09:03,near_duplicate_cluster,1.0
SGN,departure,34869,34870,VN1853,2026-03-11,06:20,06:45,near_duplicate_cluster,0.0
SGN,departure,35194,35195,VN8055,2026-03-12,08:25,08:46,near_duplicate_cluster,1.0
SGN,departure,35564,35565,VN1857,2026-03-13,09:10,09:29,near_duplicate_cluster,0.0
SGN,departure,36048,36044,VN408,2026-03-14,23:50,00:20,near_duplicate_cluster,8.0
SGN,departure,36625,36626,VN8346,2026-03-16,11:30,11:41,near_duplicate_cluster,0.0
HAN,departure,12999,13297,NX981,2026-01-28,23:00,23:57,near_duplicate_cluster,5.0
HAN,departure,14818,15132,VJ7526,2026-02-03,23:40,23:55,near_duplicate_cluster,5.0
HAN,departure,21020,21362,QH283,2026-02-22,23:10,23:59,near_duplicate_cluster,1.0
HAN,departure,26267,26576,VN416,2026-03-10,23:40,23:59,near_duplicate_cluster,2.0
HAN,departure,27082,27081,,2026-03-12,,09:49,near_duplicate_cluster,1.0
HAN,departure,27504,27815,VN416,2026-03-14,23:40,23:56,near_duplicate_cluster,4.0
DAD,departure,7427,7426,QH195,2026-02-11,04:25,04:25,near_duplicate_cluster,0.0
DAD,departure,7726,7725,QH195,2026-02-13,04:25,04:25,near_duplicate_cluster,0.0
DAD,departure,12001,12000,QH146,2026-03-14,18:15,18:15,near_duplicate_cluster,0.0
