Airport,Mode,Metric,Value
SGN,arrival,rows_input,36571
SGN,arrival,rows_after_basic_clean,36568
SGN,arrival,header_rows_removed,3
SGN,arrival,invalid_iata_fixed,0
SGN,arrival,invalid_runway_fixed,0
SGN,arrival,exact_duplicate_removed,0
SGN,arrival,cluster_duplicate_removed,0
SGN,arrival,runway_missing_before,778
SGN,arrival,runway_filled_orientation,700
SGN,arrival,runway_filled_nearest,78
SGN,arrival,runway_filled_default,0
SGN,arrival,runway_marked_unknown_dad,0
SGN,departure,rows_input,36788
SGN,departure,rows_after_basic_clean,36788
SGN,departure,header_rows_removed,0
SGN,departure,invalid_iata_fixed,1
SGN,departure,invalid_runway_fixed,0
SGN,departure,exact_duplicate_removed,3
SGN,departure,cluster_duplicate_removed,41
SGN,departure,runway_missing_before,192
SGN,departure,runway_filled_orientation,189
SGN,departure,runway_filled_nearest,3
SGN,departure,runway_filled_default,0
SGN,departure,runway_marked_unknown_dad,0
HAN,arrival,rows_input,23561
HAN,arrival,rows_after_basic_clean,23549
HAN,arrival,header_rows_removed,12
HAN,arrival,invalid_iata_fixed,0
HAN,arrival,invalid_runway_fixed,0
HAN,arrival,exact_duplicate_removed,0
HAN,arrival,cluster_duplicate_removed,0
HAN,arrival,runway_missing_before,894
HAN,arrival,runway_filled_orientation,834
HAN,arrival,runway_filled_nearest,60
HAN,arrival,runway_filled_default,0
HAN,arrival,runway_marked_unknown_dad,0
HAN,departure,rows_input,28392
HAN,departure,rows_after_basic_clean,28392
HAN,departure,header_rows_removed,0
HAN,departure,invalid_iata_fixed,0
HAN,departure,invalid_runway_fixed,0
HAN,departure,exact_duplicate_removed,0
HAN,departure,cluster_duplicate_removed,6
HAN,departure,runway_missing_before,180
HAN,departure,runway_filled_orientation,180
HAN,departure,runway_filled_nearest,0
HAN,departure,runway_filled_default,0
HAN,departure,runway_marked_unknown_dad,0
DAD,arrival,rows_input,12499
DAD,arrival,rows_after_basic_clean,12499
DAD,arrival,header_rows_removed,0
DAD,arrival,invalid_iata_fixed,0
DAD,arrival,invalid_runway_fixed,0
DAD,arrival,exact_duplicate_removed,0
DAD,arrival,cluster_duplicate_removed,0
DAD,arrival,runway_missing_before,12499
DAD,arrival,runway_filled_orientation,0
DAD,arrival,runway_filled_nearest,0
DAD,arrival,runway_filled_default,0
DAD,arrival,runway_marked_unknown_dad,12499
DAD,departure,rows_input,12318
DAD,departure,rows_after_basic_clean,12318
DAD,departure,header_rows_removed,0
DAD,departure,invalid_iata_fixed,0
DAD,departure,invalid_runway_fixed,0
DAD,departure,exact_duplicate_removed,0
DAD,departure,cluster_duplicate_removed,3
DAD,departure,runway_missing_before,12315
DAD,departure,runway_filled_orientation,0
DAD,departure,runway_filled_nearest,0
DAD,departure,runway_filled_default,0
DAD,departure,runway_marked_unknown_dad,12315
SGN,arrival,same_origin_rows,60
SGN,arrival,same_origin_return_matched,1
SGN,arrival,same_origin_dropped,42
SGN,arrival,same_origin_kept_noncommercial,17
SGN,arrival,emergency_runway_remapped,0
HAN,arrival,same_origin_rows,24
HAN,arrival,same_origin_return_matched,3
HAN,arrival,same_origin_dropped,21
HAN,arrival,same_origin_kept_noncommercial,0
HAN,arrival,emergency_runway_remapped,2
DAD,arrival,same_origin_rows,0
DAD,arrival,same_origin_return_matched,0
DAD,arrival,same_origin_dropped,0
DAD,arrival,same_origin_kept_noncommercial,0
DAD,arrival,emergency_runway_remapped,0
SGN,arrival,airline_values_changed,4379
SGN,arrival,category_unknown_assigned,2
SGN,arrival,terminal_values_changed,1444
SGN,departure,airline_values_changed,3579
SGN,departure,category_unknown_assigned,23
SGN,departure,terminal_values_changed,13811
HAN,arrival,airline_values_changed,931
HAN,arrival,category_unknown_assigned,35
HAN,arrival,terminal_values_changed,189
HAN,departure,airline_values_changed,1044
HAN,departure,category_unknown_assigned,42
HAN,departure,terminal_values_changed,1366
DAD,arrival,airline_values_changed,12381
DAD,arrival,category_unknown_assigned,0
DAD,arrival,terminal_values_changed,0
DAD,departure,airline_values_changed,12211
DAD,departure,category_unknown_assigned,0
DAD,departure,terminal_values_changed,214
ALL,departure,swap_matched_rows,21548
ALL,departure,swap_true_rows,433
ALL,departure,swap_true_sgn->dad,150
ALL,departure,swap_true_sgn->han,114
ALL,departure,swap_true_dad->sgn,12
ALL,departure,swap_true_dad->han,2
ALL,departure,swap_true_han->sgn,85
ALL,departure,swap_true_han->dad,70
SGN,arrival,rows_output,36526
SGN,departure,rows_output,36744
HAN,arrival,rows_output,23528
HAN,departure,rows_output,28386
DAD,arrival,rows_output,12499
DAD,departure,rows_output,12315
