Route,Dep_Index,Arr_Index,Flight_No,Dep_Tail_Before,Arr_Tail_After,Dep_AC_Before,Arr_AC_After,Gap_Hours
SGN->DAD,1409,374,VJ636,VN-A630,VN-A685,A321,A321,0.9833
SGN->DAD,1781,497,VJ636,VN-A685,VN-A552,A321,A21N,1.0167
SGN->DAD,2161,622,VJ636,VN-A552,VN-A642,A21N,A321,1.0
SGN->DAD,2175,624,VJ644,VN-A647,VN-A643,A321,A321,1.0333
SGN->DAD,2897,892,VJ642,VN-A642,VN-A675,A321,A320,1.0
SGN->DAD,3249,1018,VJ636,VN-A629,VN-A644,A321,A321,1.05
SGN->DAD,3610,1151,VJ636,VN-A644,VN-A655,A321,A320,1.0167
SGN->DAD,4342,1428,VJ636,VN-A637,VN-A639,A321,A321,1.0333
SGN->DAD,4722,1563,VJ636,VN-A639,VN-A642,A321,A321,1.05
SGN->DAD,5389,1860,VN148,VN-A872,VN-A619,B78X,A21N,1.1167
SGN->DAD,5848,1986,VJ636,VN-A643,VN-A661,A321,A321,0.95
SGN->DAD,6218,2141,VJ636,VN-A661,VN-A632,A321,A321,0.9667
SGN->DAD,6592,2281,VJ644,VN-A668,VN-A553,A320,A21N,0.9833
SGN->DAD,7363,2569,VJ644,VN-A663,VN-A553,A320,A21N,1.0333
SGN->DAD,7734,2718,VJ636,VN-A685,VN-A663,A321,A320,1.0667
SGN->DAD,8112,2855,VJ636,VN-A663,VN-A685,A320,A321,0.9833
SGN->DAD,8117,2851,VJ642,VN-A657,VN-A651,A321,A321,1.05
SGN->DAD,8480,2984,VJ636,VN-A685,VN-A635,A321,A321,0.9833
SGN->DAD,9140,3250,VJ636,VN-A650,VN-A630,A320,A321,0.9833
SGN->DAD,9827,3503,VJ644,VN-A657,VN-A553,A321,A21N,1.0
SGN->DAD,9830,3511,VJ636,VN-A522,VN-A668,A321,A320,1.05
SGN->DAD,10564,3775,VJ642,VN-A630,VN-A643,A321,A321,1.0667
SGN->DAD,12767,4568,VJ636,VN-A669,VN-A632,A320,A321,1.0667
SGN->DAD,13127,4697,VJ636,VN-A632,VN-A643,A321,A321,1.0333
SGN->DAD,14470,5240,VJ636,VN-A636,VN-A676,A321,A320,1.0
SGN->DAD,15612,5638,VJ636,VN-A636,VN-A542,A321,A321,1.0667
SGN->DAD,16005,5765,VJ642,VN-A662,VN-A667,A320,A321,1.0167
SGN->DAD,16769,6039,VJ636,VN-A632,VN-A578,A321,A21N,1.0167
SGN->DAD,17155,6174,VJ636,VN-A578,VN-A675,A21N,A320,1.1
SGN->DAD,17550,6302,VJ644,VN-A655,VN-A553,A320,A21N,1.15
SGN->DAD,19221,6839,VJ636,VN-A642,VN-A635,A321,A321,1.1
SGN->DAD,19652,6972,VJ636,VN-A635,VN-A685,A321,A321,0.9333
SGN->DAD,20129,7109,VN7120,VN-A605,VN-A334,A321,A321,1.05
SGN->DAD,20130,7113,VJ636,VN-A685,VN-A635,A321,A321,1.0667
SGN->DAD,20135,7237,VJ640,VN-A673,VN-A649,A321,A321,2.5333
SGN->DAD,20136,7116,VN7118,VN-A326,VN-A618,A321,A21N,1.0333
SGN->DAD,20598,7251,VJ644,VN-A667,VN-A643,A321,A321,1.1
SGN->DAD,20604,7250,VJ636,VN-A635,VN-A673,A321,A321,1.0333
SGN->DAD,21049,7396,VJ636,VN-A673,VN-A644,A321,A321,1.0333
SGN->DAD,21556,7532,VJ636,VN-A644,VN-A641,A321,A321,0.7
SGN->DAD,21564,7536,QH190,ER-00005,VN-A227,A320,A321,0.75
SGN->DAD,22041,7675,VJ636,VN-A641,VN-A673,A321,A321,1.0167
SGN->DAD,22512,7825,VN7146,VN-A621,VN-A606,A21N,A321,1.0167
SGN->DAD,22541,7828,VN7120,VN-A507,VN-A621,A21N,A21N,0.95
SGN->DAD,22554,7815,VJ644,VN-A630,VN-A637,A321,A321,1.0667
SGN->DAD,22584,7960,VN7140,VN-A323,VN-A602,A321,A321,0.6833
SGN->DAD,23032,7978,VN7146,VN-A606,VN-A396,A321,A321,0.9833
SGN->DAD,23074,7975,VN7120,VN-A621,VN-A614,A21N,A321,0.9833
SGN->DAD,23103,7966,VJ644,VN-A637,VN-A553,A321,A21N,1.1667
SGN->DAD,23581,8134,VN7146,VN-A396,VN-A604,A321,A321,1.0333
SGN->DAD,23588,8130,VN7120,VN-A614,VN-A358,A321,A321,1.0333
