,Aviation_Operational_Risk_Score,precipitation,Precip_Cumsum_1H_Mm,Precip_Cumsum_3H_Mm,Precip_Cumsum_6H_Mm,cloudcover,visibility,humidity,temperature,Headwind_Kmh,Crosswind_Kmh,wind_speed,Is_Rain,Is_Thunderstorm_Risk,Is_Low_Visibility
Aviation_Operational_Risk_Score,1.0,0.5023665340222604,0.5023665340222604,0.5238873122351378,0.5043473296821184,0.30656745009561603,-0.43923191007680407,0.19660147209005163,-0.07039903178807137,0.23788396376071905,0.18095633355396482,0.24867797352125415,0.9294096007449504,0.9160659300809236,0.20096121622303464
precipitation,0.5023665340222604,1.0,1.0,0.7546488190866518,0.6051893357065591,0.14103109325650492,-0.30482805609857705,0.12341302604348071,-0.014310431938419394,0.11303947985717111,0.06161864074806013,0.11430814349533897,0.41117693665825594,0.40284143301924485,0.20191984335173704
Precip_Cumsum_1H_Mm,0.5023665340222604,1.0,1.0,0.7546488190866518,0.6051893357065591,0.14103109325650492,-0.30482805609857705,0.12341302604348071,-0.014310431938419394,0.11303947985717111,0.06161864074806013,0.11430814349533897,0.41117693665825594,0.40284143301924485,0.20191984335173704
Precip_Cumsum_3H_Mm,0.5238873122351378,0.7546488190866518,0.7546488190866518,1.0,0.8521598808741808,0.16697855570786677,-0.37703511172736603,0.1539765232954408,-0.017677512896603322,0.15254173955741823,0.08268822540071905,0.146371950558108,0.4548988122192463,0.4468823728314424,0.16918917211144383
Precip_Cumsum_6H_Mm,0.5043473296821184,0.6051893357065591,0.6051893357065591,0.8521598808741808,1.0,0.182162996508048,-0.39586183050096974,0.1678327366046277,-0.020799332577711823,0.18161356866733677,0.10933521822997143,0.18207394954567324,0.44209487672028586,0.4408579778741421,0.14985119929840252
cloudcover,0.30656745009561603,0.14103109325650492,0.14103109325650492,0.16697855570786677,0.182162996508048,1.0,-0.14855602907997922,0.1311098050545719,-0.08373664519226857,0.1589618096467399,0.04872529001764186,0.09261622352329694,0.22430693878352212,0.3606373499849992,0.028321348523336447
visibility,-0.43923191007680407,-0.30482805609857705,-0.30482805609857705,-0.37703511172736603,-0.39586183050096974,-0.14855602907997922,1.0,-0.14266161001825045,0.034196719103583066,-0.2172690463921895,-0.18336544620359319,-0.23329525318364688,-0.40580148380894343,-0.38770406392411294,-0.2558734904190641
humidity,0.19660147209005163,0.12341302604348071,0.12341302604348071,0.1539765232954408,0.1678327366046277,0.1311098050545719,-0.14266161001825045,1.0,-0.5473114727665803,0.17502734823871105,-0.17149629783101847,-0.07859995645829612,0.17587660997282759,0.20944956813418802,0.03010720441565981
temperature,-0.07039903178807137,-0.014310431938419394,-0.014310431938419394,-0.017677512896603322,-0.020799332577711823,-0.08373664519226857,0.034196719103583066,-0.5473114727665803,1.0,-0.28731123036243644,-0.07649519819770122,-0.10377289803636384,-0.02294547621900141,-0.08853907803165066,0.01208313154280881
Headwind_Kmh,0.23788396376071905,0.11303947985717111,0.11303947985717111,0.15254173955741823,0.18161356866733677,0.1589618096467399,-0.2172690463921895,0.17502734823871105,-0.28731123036243644,1.0,0.07875030367891196,0.42340987687889203,0.2237143694230086,0.22389068458497038,0.03375813667835892
Crosswind_Kmh,0.18095633355396482,0.06161864074806013,0.06161864074806013,0.08268822540071905,0.10933521822997143,0.04872529001764186,-0.18336544620359319,-0.17149629783101847,-0.07649519819770122,0.07875030367891196,1.0,0.8043797137313959,0.1382029408788685,0.10595168719877329,0.01142754197928518
wind_speed,0.24867797352125415,0.11430814349533897,0.11430814349533897,0.146371950558108,0.18207394954567324,0.09261622352329694,-0.23329525318364688,-0.07859995645829612,-0.10377289803636384,0.42340987687889203,0.8043797137313959,1.0,0.20211961714792645,0.18994275771468874,0.024184032500439198
Is_Rain,0.9294096007449504,0.41117693665825594,0.41117693665825594,0.4548988122192463,0.44209487672028586,0.22430693878352212,-0.40580148380894343,0.17587660997282759,-0.02294547621900141,0.2237143694230086,0.1382029408788685,0.20211961714792645,1.0,0.7820656498238244,0.07682415087663454
Is_Thunderstorm_Risk,0.9160659300809236,0.40284143301924485,0.40284143301924485,0.4468823728314424,0.4408579778741421,0.3606373499849992,-0.38770406392411294,0.20944956813418802,-0.08853907803165066,0.22389068458497038,0.10595168719877329,0.18994275771468874,0.7820656498238244,1.0,0.08086044510089482
Is_Low_Visibility,0.20096121622303464,0.20191984335173704,0.20191984335173704,0.16918917211144383,0.14985119929840252,0.028321348523336447,-0.2558734904190641,0.03010720441565981,0.01208313154280881,0.03375813667835892,0.01142754197928518,0.024184032500439198,0.07682415087663454,0.08086044510089482,1.0
