,corr_with_risk
Runway_Wet_Risk,0.9362327209303516
Weather_Delay_Risk_Score,0.9294884732318288
Is_Rain,0.9294096007449504
Is_Thunderstorm_Risk,0.9160659300809236
Precip_Cumsum_3H_Mm,0.5238873122351378
Precip_Cumsum_6H_Mm,0.5043473296821184
precipitation,0.5023665340222604
Precip_Cumsum_1H_Mm,0.5023665340222604
Visibility_Capped_Flag,-0.48264002228674857
Visibility_SM,-0.43923653686916075
visibility,-0.4392319100768042
cloudcover,0.30656745009561603
Wind_Kt,0.2486890056021743
wind_speed,0.24867797352125418
Wind_Gust_Estimate_Kmh,0.2420881366003342
Wind_Gust_Estimate_Kt,0.24206271654983286
Headwind_Kt,0.23790603893853043
Headwind_Kmh,0.23788396376071905
Is_Crosswind_10kt,0.21467135397684176
Is_Low_Visibility,0.20096121622303464
Visibility_Severity_Score,0.20090168597115066
Is_Below_3SM_Visibility,0.19709377612641293
humidity,0.1966014720900517
Visibility_Deficit_5KM_M,0.1882432961429051
Is_Heavy_Rain,0.18183632788391088
Crosswind_Kt,0.1809992652482866
Crosswind_Kmh,0.18095633355396487
Visibility_Deficit_3SM_M,0.17891928371496535
Crosswind_Max_3H_Kt,0.16546552350182786
Crosswind_Max_3H_Kmh,0.16544161339892965
Wind_Runway_Relative_Angle_Deg,-0.16467019099726385
pressure,0.13589115770421703
wind_direction,-0.08715023908336693
temperature,-0.07039903178807139
_hour,-0.06414386041786153
Is_Tailwind_Default_Runway_5kt,-0.041987617918909724
Pressure_Change_3H_Hpa,0.029152076429838247
Is_Extreme_Heat,-0.02291936401294744
Temp_Change_3H_C,0.020278715863087805
Temp_Change_1H_C,-0.006234460193411501
Is_Strong_Wind,
Is_Gale_Wind,
Is_Fog,
Is_Below_1SM_Visibility,
Is_Crosswind_15kt,
Is_Crosswind_20kt,
Is_Freezing,
Runway_Ice_Risk,
