,Airport,_lifted_index_bin,hours,cape_mean,severe_convection_rate_pct,risk_mean,risk_ge2_rate_pct
0,DAD,<=-5,2,3075.0,100.0,1.0,0.0
1,DAD,-5 to -3,20,2533.0,90.0,1.65,30.0
2,DAD,-3 to 0,280,613.75,0.0,1.7535714285714286,49.642857142857146
3,DAD,0 to 3,522,121.36015325670498,0.0,1.5747126436781609,39.6551724137931
4,DAD,>3,1384,38.76445086705202,0.0,1.3323699421965318,33.81502890173411
5,HAN,<=-5,0,,,,
6,HAN,-5 to -3,10,506.0,0.0,2.2,60.0
7,HAN,-3 to 0,89,581.2359550561798,0.0,0.9775280898876404,20.224719101123593
8,HAN,0 to 3,316,269.746835443038,0.0,0.9177215189873418,17.72151898734177
9,HAN,>3,1793,19.51477969882878,0.0,1.0061349693251533,16.45287228109314
10,SGN,<=-5,0,,,,
11,SGN,-5 to -3,53,1420.188679245283,52.83018867924528,1.3018867924528301,39.62264150943396
12,SGN,-3 to 0,624,901.6987179487179,0.0,0.5192307692307693,15.384615384615385
13,SGN,0 to 3,758,315.15831134564644,0.0,0.17546174142480211,5.540897097625329
14,SGN,>3,773,35.98965071151358,0.0,0.03492884864165589,0.646830530401035
