,feature,missing_rate_pct,nunique,corr_with_risk_score,mean_when_risk_0,mean_when_risk_ge1,mean_when_risk_ge2,abs_corr_with_risk_score
0,weather_code,0.0,10,0.6779216915059918,1.5303750660327522,28.94573643410853,41.70713760117734,0.6779216915059918
3,cloud_cover_low,0.0,101,0.5833531371114025,11.335974643423137,69.11486962649754,66.49448123620309,0.5833531371114025
4,Is_Low_Ceiling_Risk,0.0,2,0.5196102032757186,0.0,0.5736434108527132,0.5091979396615158,0.5196102032757186
1,Dew_Point_Spread_C,0.0,220,-0.31048785771124676,5.64527205493925,3.666138125440451,2.6409860191317147,0.31048785771124676
2,Is_Radiation_Fog_Risk,0.0,2,0.2279414868363303,0.11701003697834125,0.19767441860465115,0.2788815305371597,0.2279414868363303
9,Tailwind_Default_Runway_Kt,0.0,509,-0.14206065002287324,0.8081035393555204,0.4664200140944328,0.3814937454010301,0.14206065002287324
11,Gust_Variation_Kt,0.0,96,-0.08736060887579158,0.7834970945589012,0.6070295983086681,0.6102501839587932,0.08736060887579158
6,lifted_index,0.0,248,0.058873806790346976,4.917089276281035,5.8890063424947146,5.1299484915378954,0.058873806790346976
10,Forced_Runway_Swap_Risk,0.0,3,0.04138754193657361,0.0,0.025722339675828047,0.010301692420897719,0.04138754193657361
7,Is_Severe_Convection_Risk,0.0,2,0.04080062735728527,0.0,0.016913319238900635,0.01177336276674025,0.04080062735728527
5,cape,0.0,258,-0.0406995960389877,239.39249867934495,183.57293868921775,214.55481972038262,0.0406995960389877
8,Convective_Severity_Score,0.0,5,-0.03799564157175231,0.1405176967776017,0.10606060606060606,0.11626195732155997,0.03799564157175231
