,time,Airport,visibility,humidity,wind_speed,Dew_Point_Spread_C,Is_Radiation_Fog_Risk,Is_Fog,Aviation_Operational_Risk_Score
24,2025-12-16 00:00:00,DAD,8800.0,95,4.0,0.8,1,1,3
25,2025-12-16 01:00:00,DAD,7100.0,93,3.3,1.1,1,1,3
26,2025-12-16 02:00:00,DAD,5640.0,94,2.7,0.9,1,1,3
27,2025-12-16 03:00:00,DAD,5400.0,96,3.5,0.7,1,1,3
28,2025-12-16 04:00:00,DAD,9500.0,95,2.4,0.9,1,1,2
29,2025-12-16 05:00:00,DAD,9180.0,96,2.5,0.8,1,1,3
30,2025-12-16 06:00:00,DAD,6220.0,96,2.0,0.8,1,1,3
31,2025-12-16 07:00:00,DAD,9740.0,95,4.9,0.8,1,1,2
48,2025-12-17 00:00:00,DAD,7480.0,96,2.5,0.7,1,1,1
49,2025-12-17 01:00:00,DAD,6220.0,96,5.6,0.7,1,1,3
2233,2025-12-16 01:00:00,HAN,12840.0,92,6.5,1.4,1,1,1
2281,2025-12-18 01:00:00,HAN,11020.0,93,9.1,1.2,1,1,0
2282,2025-12-18 02:00:00,HAN,12880.0,91,6.7,1.5,1,1,0
2305,2025-12-19 01:00:00,HAN,11060.0,94,4.6,1.0,1,1,0
2306,2025-12-19 02:00:00,HAN,11080.0,94,2.7,1.0,1,1,0
2307,2025-12-19 03:00:00,HAN,11080.0,95,3.1,0.8,1,1,0
2308,2025-12-19 04:00:00,HAN,7560.0,97,4.0,0.5,1,1,0
2309,2025-12-19 05:00:00,HAN,400.0,99,6.4,0.2,1,1,4
2310,2025-12-19 06:00:00,HAN,180.0,100,7.0,0.1,1,1,5
2311,2025-12-19 07:00:00,HAN,180.0,99,8.6,0.1,1,1,5
4416,2025-12-15 00:00:00,SGN,22380.0,93,5.9,1.4,1,1,0
4417,2025-12-15 01:00:00,SGN,22880.0,96,0.8,0.6,1,1,0
4418,2025-12-15 02:00:00,SGN,22780.0,96,0.9,0.6,1,1,0
4419,2025-12-15 03:00:00,SGN,16420.0,97,1.3,0.5,1,1,0
4420,2025-12-15 04:00:00,SGN,16620.0,95,3.1,0.7,1,1,0
4421,2025-12-15 05:00:00,SGN,23180.0,92,5.0,1.4,1,1,0
4445,2025-12-16 05:00:00,SGN,23100.0,93,5.3,1.3,1,1,0
4446,2025-12-16 06:00:00,SGN,16740.0,96,5.8,0.8,1,1,0
4447,2025-12-16 07:00:00,SGN,23100.0,93,5.1,1.2,1,1,0
4465,2025-12-17 01:00:00,SGN,6280.0,93,4.7,1.2,1,1,0
