,time,Airport,visibility,precipitation,wind_direction,Wind_Kt,Crosswind_Kt,Runway_Wet_Risk,Weather_Delay_Risk_Score,Aviation_Operational_Risk_Score
1061,2026-01-28 05:00:00,DAD,580.0,0.2,3,2.16,0.49,1,5,7
1036,2026-01-27 04:00:00,DAD,460.0,0.1,290,1.13,0.98,1,5,7
1037,2026-01-27 05:00:00,DAD,680.0,0.1,275,2.16,2.09,1,5,7
1038,2026-01-27 06:00:00,DAD,1100.0,0.1,281,2.05,1.92,1,5,7
1127,2026-01-30 23:00:00,DAD,1440.0,0.1,278,0.7,0.67,1,3,7
2621,2026-01-01 05:00:00,HAN,4540.0,6.6,92,5.08,1.57,2,5,7
3029,2026-01-18 05:00:00,HAN,300.0,1.4,72,3.19,1.96,1,5,7
2354,2025-12-21 02:00:00,HAN,860.0,0.4,328,4.59,2.83,1,5,7
3028,2026-01-18 04:00:00,HAN,1060.0,0.1,70,4.05,2.6,1,5,7
3245,2026-01-27 05:00:00,HAN,180.0,0.1,77,4.0,2.18,1,5,7
4674,2025-12-25 18:00:00,SGN,4480.0,13.9,35,2.7,1.55,2,3,6
4961,2026-01-06 17:00:00,SGN,3560.0,6.4,219,4.97,2.56,2,3,6
6178,2026-02-26 10:00:00,SGN,1640.0,5.1,136,3.08,2.81,2,3,6
4670,2025-12-25 14:00:00,SGN,4880.0,6.1,136,9.83,8.98,2,3,5
4959,2026-01-06 15:00:00,SGN,7260.0,12.5,226,5.29,2.15,2,2,4
