,feature,airport,corr_with_risk_score,auc_for_risk_gt_0,auc_for_risk_ge_2
0,Precip_Cumsum_1H_Mm,ALL,0.5023665340222604,0.9855398457583547,0.9661213902064731
1,Precip_Cumsum_1H_Mm,DAD,0.5610186657770189,0.9977653631284916,0.9332855169313533
2,Precip_Cumsum_1H_Mm,HAN,0.5531593429991749,0.9535714285714285,0.9828442808070973
3,Precip_Cumsum_1H_Mm,SGN,0.5690120985674999,0.995850622406639,0.9761029078720899
4,Precip_Cumsum_3H_Mm,ALL,0.5238873122351378,0.9647105914828258,0.9444358607700893
5,Precip_Cumsum_3H_Mm,DAD,0.5777383030550092,0.9647559642083676,0.9146434815429749
6,Precip_Cumsum_3H_Mm,HAN,0.5483247150718028,0.9447880046873336,0.9506864992426701
7,Precip_Cumsum_3H_Mm,SGN,0.574357337549356,0.9732305024607265,0.96225020382281
8,Precip_Cumsum_6H_Mm,ALL,0.5043473296821184,0.9362578317909844,0.9156625802176339
9,Precip_Cumsum_6H_Mm,DAD,0.5783677668034608,0.9316380671156932,0.8944752441446112
10,Precip_Cumsum_6H_Mm,HAN,0.5190852648538365,0.9201555342494939,0.9057200381369686
11,Precip_Cumsum_6H_Mm,SGN,0.5125519738808824,0.9357416036806477,0.9340737385632756
