,airport,lag_h,corr_precip_lag_with_risk
0,ALL,0,0.5023665340222604
1,DAD,0,0.5610186657770189
2,HAN,0,0.5531593429991749
3,SGN,0,0.5690120985674999
4,ALL,1,0.37162160245688125
5,DAD,1,0.4544817850598354
6,HAN,1,0.43379943603178156
7,SGN,1,0.3523851235411476
8,ALL,2,0.3349611984737823
9,DAD,2,0.3920237849825824
10,HAN,2,0.3516644895570759
11,SGN,2,0.35251733760673015
12,ALL,3,0.2877253298182687
13,DAD,3,0.37516746651771465
14,HAN,3,0.28154793552913765
15,SGN,3,0.2701556410919238
16,ALL,4,0.2542713457432187
17,DAD,4,0.3622989106809038
18,HAN,4,0.2445028767258349
19,SGN,4,0.20505289196396273
20,ALL,6,0.2053486380455092
21,DAD,6,0.3292434930036292
22,HAN,6,0.23980626406643776
23,SGN,6,0.09325843662723983
