,feature_1,feature_2,abs_corr
883,Precip_Cumsum_1H_Mm,precipitation_lag_0h_AUTO,1.0
93,precipitation,precipitation_lag_0h_AUTO,1.0
70,precipitation,Precip_Cumsum_1H_Mm,1.0
1106,Is_Low_Visibility,Visibility_Below_5000m,1.0
1127,Is_Below_3SM_Visibility,Visibility_Below_3SM_4828m,1.0
336,visibility,Visibility_SM,0.999999853148633
625,Headwind_Kmh,Headwind_Kt,0.9999993916863124
161,wind_speed,Wind_Kt,0.9999993770890434
949,Wind_Gust_Estimate_Kmh,Wind_Gust_Estimate_Kt,0.9999993584974651
587,Crosswind_Kmh,Crosswind_Kt,0.999999108776084
976,Crosswind_Max_3H_Kmh,Crosswind_Max_3H_Kt,0.9999990877872004
1057,Is_Rain,Runway_Wet_Risk,0.9962314058417847
423,Visibility_Deficit_5KM_M,Visibility_Deficit_3SM_M,0.9932004611084738
524,Visibility_Severity_Score,Is_Low_Visibility,0.991182792419012
536,Visibility_Severity_Score,Visibility_Below_5000m,0.991182792419012
525,Visibility_Severity_Score,Is_Below_3SM_Visibility,0.9905027383678815
537,Visibility_Severity_Score,Visibility_Below_3SM_4828m,0.9905027383678815
1191,Is_Thunderstorm_Risk,Weather_Delay_Risk_Score,0.9864882356358767
1071,Is_Rain,_risk_bin,0.9810877262808088
1219,Runway_Wet_Risk,_risk_bin,0.9773904048068469
1126,Is_Below_3SM_Visibility,Visibility_Below_5000m,0.9635512285438217
1281,Visibility_Below_5000m,Visibility_Below_3SM_4828m,0.9635512285438217
1095,Is_Low_Visibility,Is_Below_3SM_Visibility,0.9635512285438217
1107,Is_Low_Visibility,Visibility_Below_3SM_4828m,0.9635512285438217
668,Wind_Kt,Wind_Gust_Estimate_Kmh,0.9387031133005302
670,Wind_Kt,Wind_Gust_Estimate_Kt,0.9387015464223448
170,wind_speed,Wind_Gust_Estimate_Kmh,0.9386989825315935
172,wind_speed,Wind_Gust_Estimate_Kt,0.9386969544434216
1207,Runway_Wet_Risk,Aviation_Operational_Risk_Score,0.9362327209303516
1246,Aviation_Operational_Risk_Score,_risk_bin,0.9327773062095713
1221,Weather_Delay_Risk_Score,Aviation_Operational_Risk_Score,0.9294884732318288
1059,Is_Rain,Aviation_Operational_Risk_Score,0.9294096007449504
704,Crosswind_Kt,Crosswind_Max_3H_Kmh,0.926802790596698
706,Crosswind_Kt,Crosswind_Max_3H_Kt,0.9268025444861472
596,Crosswind_Kmh,Crosswind_Max_3H_Kmh,0.9268011230141818
598,Crosswind_Kmh,Crosswind_Max_3H_Kt,0.9268002297765334
456,Visibility_Deficit_5KM_M,Visibility_Below_3SM_4828m,0.9183703892174101
444,Visibility_Deficit_5KM_M,Is_Below_3SM_Visibility,0.9183703892174101
1192,Is_Thunderstorm_Risk,Aviation_Operational_Risk_Score,0.9160659300809236
424,Visibility_Deficit_5KM_M,Visibility_Severity_Score,0.912706708258746
