,mapped_column
datetime,time
airport,Airport
risk,Weather_Delay_Risk_Score
precip,precipitation
visibility,visibility
temperature,temperature
humidity,humidity
cloudcover,cloudcover
wind_speed,wind_speed
headwind,Headwind_Kmh
crosswind,Crosswind_Kmh
is_rain,Is_Rain
is_thunderstorm,Is_Thunderstorm_Risk
is_low_visibility,Is_Low_Visibility
is_fog,Is_Fog
is_strong_wind,Is_Strong_Wind
is_gale_wind,Is_Gale_Wind
is_freezing,Is_Freezing
runway_ice_risk,Runway_Ice_Risk
runway_wet_risk,Runway_Wet_Risk
is_heavy_rain,Is_Heavy_Rain
precip_cumsum_1h,Precip_Cumsum_1H_Mm
precip_cumsum_3h,Precip_Cumsum_3H_Mm
precip_cumsum_6h,Precip_Cumsum_6H_Mm
temp_change,Temp_Change_1H_C
