mode,column,SGN,HAN,DAD
arrival,Actual_Tail,True,True,True
arrival,Actual_Time,True,True,True
arrival,Aircraft_Type,True,True,True
arrival,Airline,True,True,True
arrival,Arrival_Flight_Duration_Minutes,True,True,True
arrival,Arrival_Runway,True,True,True
arrival,Belt,False,False,True
arrival,Category,True,True,True
arrival,Crawl_Date,True,True,True
arrival,Data_Completeness,True,True,True
arrival,Exclude_From_Propagation_Training,True,True,True
arrival,Flight_No,True,True,True
arrival,Has_Matched_Arrival,True,True,True
arrival,Has_Matched_Departure,True,True,True
arrival,IATA,True,True,True
arrival,Is_Return_Emergency,True,True,True
arrival,Is_Same_Origin_Unmatched,True,True,True
arrival,Match_Status,True,True,True
arrival,Origin,True,True,True
arrival,Same_Origin_Action,True,True,True
arrival,Scheduled_Time,True,True,True
arrival,Status,True,True,True
arrival,Terminal,True,True,True
departure,Actual_Time,True,True,True
departure,Aircraft_Type,True,True,True
departure,Airline,True,True,True
departure,Category,True,True,True
departure,Checkin_Counter,False,False,True
departure,Checkin_Time,False,False,True
departure,Crawl_Date,True,True,True
departure,Data_Completeness,True,True,True
departure,Departure_Runway,True,True,True
departure,Destination,True,True,True
departure,Exclude_From_Propagation_Training,True,True,True
departure,Flight_No,True,True,True
departure,Gate,False,False,True
departure,Has_Matched_Arrival,True,True,True
departure,Has_Matched_Departure,True,True,True
departure,IATA,True,True,True
departure,Is_Aircraft_Swapped,True,True,True
departure,Is_Fixed_Flight,True,True,True
departure,Is_Jet_Bridge,False,False,True
departure,Is_Remote_Stand,False,False,True
departure,Match_Status,True,True,True
departure,Matched_Actual_Tail,True,True,True
departure,Scheduled_Tail,True,True,True
departure,Scheduled_Time,True,True,True
departure,Status,True,True,True
departure,Swap_Match_Gap_Minutes,True,True,True
departure,Terminal,True,True,True
