feature,flag_value,rows,delay_a15_rate_pct,departure_delay_median,departure_delay_p95
Is_First_Flight,False,43486,69.1394931702157,28.0,132.0
Is_First_Flight,True,34272,59.281629318394025,18.0,82.0
Is_Fixed_Flight,False,55644,64.76169937459564,24.0,121.0
Is_Fixed_Flight,True,22114,64.87745319706974,20.0,89.0
Is_Aircraft_Swapped,False,77758,64.7946192031688,23.0,113.0
Has_Matched_Departure,True,77758,64.7946192031688,23.0,113.0
Has_Matched_Arrival,False,619,56.058158319870756,20.0,192.5000000000001
Has_Matched_Arrival,True,77139,64.86472471771737,23.0,112.84999999999127
Is_Imputed_Link,False,76707,64.908026646851,23.0,112.0
Is_Imputed_Link,True,1051,56.51760228353948,18.0,177.5
Is_Diverted_Prev,False,77729,64.79692264148515,23.0,113.0
Is_Diverted_Prev,True,29,58.620689655172406,16.0,548.9999999999998
Is_Airport_Congested,False,51863,55.066232188650865,18.0,93.0
Is_Airport_Congested,True,25895,84.27881830469202,33.0,140.0
Is_Parallel_Usage,False,65480,62.55650580329871,21.0,104.0
Is_Parallel_Usage,True,12278,76.73073790519629,31.0,145.0
Is_Wide_Body,False,66835,62.42387970374803,22.0,113.0
Is_Wide_Body,True,10923,79.300558454637,26.0,112.0
Peak_Hour_Indicator,False,57333,62.949784591770886,22.0,112.0
Peak_Hour_Indicator,True,20425,69.97307221542228,23.0,115.0
Is_Special_Days,False,68230,64.28110801700132,22.0,109.0
Is_Special_Days,True,9528,68.4718723761545,25.0,132.64999999999964
Is_Long_Ground_Turnaround,False,76523,64.64200305790416,23.0,112.0
Is_Long_Ground_Turnaround,True,1235,74.25101214574899,28.0,155.0
Exclude_From_Propagation_Training,False,77139,64.86472471771737,23.0,112.84999999999127
Exclude_From_Propagation_Training,True,619,56.058158319870756,20.0,192.5000000000001
