time,Airport,temperature,precipitation,cloudcover,wind_speed,wind_direction,pressure,humidity,visibility,Crosswind_Kmh,Headwind_Kmh,Temp_Change_1H_C,Temp_Change_3H_C,Pressure_Change_3H_Hpa,Precip_Cumsum_1H_Mm,Precip_Cumsum_3H_Mm,Precip_Cumsum_6H_Mm,Wind_Gust_Estimate_Kmh,Crosswind_Max_3H_Kmh,Is_Rain,Is_Heavy_Rain,Is_Strong_Wind,Is_Gale_Wind,Is_Low_Visibility,Is_Fog,Is_Freezing,Is_Extreme_Heat,Is_Thunderstorm_Risk,Runway_Wet_Risk,Runway_Ice_Risk,Weather_Delay_Risk_Score
2025-12-15 00:00:00,DAD,22.9,0.2,33,15.8,38,1016.5,83,14780.0,11.74,10.57,N/A,N/A,N/A,0.2,0.2,0.2,15.8,11.74,1,0,0,0,0,0,0,0,0,1,0,0
2025-12-15 01:00:00,DAD,22.2,0.3,100,12.6,31,1016.4,87,14780.0,8.27,9.51,-0.7,N/A,N/A,0.3,0.5,0.5,15.8,11.74,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 02:00:00,DAD,22.0,0.3,100,14.2,33,1016.2,88,14780.0,9.68,10.39,-0.2,N/A,N/A,0.3,0.8,0.8,15.8,11.74,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 03:00:00,DAD,22.0,0.2,98,11.8,6,1015.7,88,14780.0,3.25,11.34,0.0,-0.9,-0.8,0.2,0.8,1.0,14.2,9.68,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 04:00:00,DAD,22.0,0.1,100,9.4,1,1015.6,90,14780.0,1.79,9.23,0.0,-0.2,-0.8,0.1,0.6,1.1,14.2,9.68,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 05:00:00,DAD,22.2,0.1,98,9.3,24,1015.6,91,14780.0,5.2,7.71,0.2,0.2,-0.6,0.1,0.4,1.2,11.8,5.2,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 06:00:00,DAD,22.0,0.2,100,10.4,37,1016.0,89,14780.0,7.61,7.09,-0.2,0.0,0.3,0.2,0.4,1.2,10.4,7.61,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 07:00:00,DAD,21.6,0.4,100,10.4,32,1016.5,93,14780.0,6.96,7.73,-0.4,-0.4,0.9,0.4,0.7,1.3,10.4,7.61,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 08:00:00,DAD,22.8,0.2,95,10.7,37,1017.5,90,14780.0,7.83,7.3,1.2,0.6,1.9,0.2,0.8,1.2,10.7,7.83,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 09:00:00,DAD,23.0,0.3,100,10.8,37,1017.8,85,15740.0,7.9,7.37,0.2,1.0,1.8,0.3,0.9,1.3,10.8,7.9,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 10:00:00,DAD,23.5,0.3,98,12.2,26,1017.7,84,14780.0,7.17,9.87,0.5,1.9,1.2,0.3,0.8,1.5,12.2,7.9,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 11:00:00,DAD,23.5,0.1,100,13.4,33,1017.3,81,14780.0,9.14,9.8,0.0,0.7,-0.2,0.1,0.7,1.5,13.4,9.14,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 12:00:00,DAD,24.0,0.1,91,13.7,28,1016.1,80,14780.0,8.43,10.8,0.5,1.0,-1.7,0.1,0.5,1.4,13.7,9.14,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 13:00:00,DAD,24.1,0.0,80,16.8,31,1015.3,75,24100.0,11.02,12.68,0.1,0.6,-2.4,0.0,0.2,1.0,16.8,11.02,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-15 14:00:00,DAD,23.9,0.4,88,15.9,28,1014.6,77,23040.0,9.79,12.53,-0.2,0.4,-2.7,0.4,0.5,1.2,16.8,11.02,1,0,0,0,0,0,0,0,1,1,0,1
2025-12-15 15:00:00,DAD,23.7,0.1,75,14.3,23,1014.4,81,21280.0,7.79,11.99,-0.2,-0.3,-1.7,0.1,0.5,1.0,16.8,11.02,1,0,0,0,0,0,0,0,0,1,0,0
