Route,Origin,Destination,Dep_Index,Flight_No,Dep_Event_Time,Scheduled_Time,Dep_Service_Date,Reason,Action,Drop_Reason
SGN->DAD,SGN,DAD,20128,VJ640,2026-02-07 00:48:00,21:25,2026-02-06,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,20147,VJ1624,2026-02-08 23:41:00,19:30,2026-02-08,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,22571,VN7122,2026-02-12 00:26:00,21:20,2026-02-11,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,23100,VN7112,2026-02-13 00:01:00,22:35,2026-02-12,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,24121,QH190,2026-02-15 00:52:00,23:25,2026-02-14,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,27465,VN7120,2026-02-23 23:47:00,23:47,2026-02-23,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,27975,VJ1622,2026-02-23 00:10:00,00:10,2026-02-23,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,29050,VJ640,2026-02-26 23:09:00,21:25,2026-02-26,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,30279,VU670,2026-02-28 12:35:00,12:35,2026-02-28,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,30396,VU684,2026-02-28 07:32:00,07:32,2026-02-28,no_arrival_match,mark_missing_arrival,
SGN->DAD,SGN,DAD,35411,VJ632,2026-03-13 15:34:00,14:00,2026-03-13,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,1384,9G806,2025-12-19 06:44:00,06:44,2025-12-19,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,1474,QH268,2025-12-20 20:35:00,19:35,2025-12-20,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,2576,9G882,2025-12-23 21:41:00,21:41,2025-12-23,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,3027,9G854,2025-12-24 15:57:00,15:58,2025-12-24,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,4006,QH284,2025-12-27 22:17:00,22:05,2025-12-27,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,4367,VN270,2025-12-28 23:36:00,23:00,2025-12-28,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,5475,VN7204,2025-12-31 22:48:00,21:30,2025-12-31,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,10953,VJ174,2026-01-15 22:50:00,21:45,2026-01-15,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,10960,QH284,2026-01-15 22:20:00,22:05,2026-01-15,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,13177,9G868,2026-01-21 19:01:00,18:25,2026-01-21,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,13451,VN260,2026-01-22 22:27:00,21:00,2026-01-22,no_arrival_match,mark_missing_arrival,
SGN->HAN,SGN,HAN,13764,QH282,2026-01-23 23:48:00,23:25,2026-01-23,no_arrival_match,mark_missing_arrival,
