Airport,Row_Index,Flight_No,Category,Arrival_Runway,Is_Emergency_Runway,Action,Gap_Minutes
SGN,1268,,helicopter,25R,False,keep_noncommercial_same_origin,
SGN,1333,0V5002,passenger,25R,False,drop_unmatched_same_origin,
SGN,1477,QH268,passenger,25R,False,keep_return_emergency,36.0
SGN,2328,HAI499,business jet,25R,False,keep_return_emergency,34.0
SGN,3044,VJ35,passenger,25R,False,drop_unmatched_same_origin,
SGN,3276,VN1415,passenger,25R,False,drop_unmatched_same_origin,
SGN,3545,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,3587,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,3890,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,4768,VN815,passenger,25R,False,keep_return_emergency,147.0
SGN,6194,,passenger,25R,False,drop_unmatched_same_origin,
SGN,6797,VJ386,passenger,25R,False,drop_unmatched_same_origin,153.0
SGN,7978,QR970,passenger,25L,True,keep_return_emergency,65.0
SGN,8449,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,8666,VN1423,passenger,25R,False,drop_unmatched_same_origin,
SGN,8808,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,9256,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,9385,VJ359,passenger,25R,False,drop_unmatched_same_origin,
SGN,9456,VN1395,passenger,25R,False,drop_unmatched_same_origin,
SGN,9523,VJ113,passenger,25R,False,keep_return_emergency,88.0
SGN,10369,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,10751,,military or government,25R,False,keep_noncommercial_same_origin,
SGN,12717,VJ35,passenger,25R,False,drop_unmatched_same_origin,
SGN,13024,9G868,passenger,25R,False,drop_unmatched_same_origin,294.0
SGN,13796,VN1415,passenger,25R,False,drop_unmatched_same_origin,
SGN,13930,,helicopter,25R,False,keep_noncommercial_same_origin,
SGN,13999,VN1272,passenger,25R,False,drop_unmatched_same_origin,260.0
SGN,14036,VN6171,passenger,25R,False,drop_unmatched_same_origin,
SGN,14075,VJ3949,passenger,25R,False,drop_unmatched_same_origin,
SGN,14338,,non-categorized,25R,False,keep_noncommercial_same_origin,
SGN,15235,VN31,passenger,25L,True,keep_return_emergency,94.0
SGN,15523,OK8902,military or government,25R,False,keep_return_emergency,17.0
SGN,15693,,passenger,25R,False,drop_unmatched_same_origin,
SGN,15932,,military or government,25R,False,keep_noncommercial_same_origin,
