,Airport,_daypart,lowvis_hours,total_hours,lowvis_rate,threshold_m,lowvis_rate_pct
0,DAD,afternoon_12_17,125,552,0.22644927536231885,10000,22.644927536231883
1,DAD,evening_18_23,162,552,0.29347826086956524,10000,29.347826086956523
2,DAD,morning_06_11,271,552,0.49094202898550726,10000,49.094202898550726
3,DAD,night_00_05,355,552,0.6431159420289855,10000,64.31159420289855
4,HAN,afternoon_12_17,56,552,0.10144927536231885,10000,10.144927536231885
5,HAN,evening_18_23,57,552,0.10326086956521739,10000,10.326086956521738
6,HAN,morning_06_11,211,552,0.3822463768115942,10000,38.224637681159415
7,HAN,night_00_05,292,552,0.5289855072463768,10000,52.89855072463768
8,SGN,afternoon_12_17,87,552,0.15760869565217392,10000,15.760869565217392
9,SGN,evening_18_23,29,552,0.05253623188405797,10000,5.253623188405797
10,SGN,morning_06_11,32,552,0.057971014492753624,10000,5.797101449275362
11,SGN,night_00_05,39,552,0.07065217391304347,10000,7.065217391304348
12,DAD,afternoon_12_17,23,552,0.041666666666666664,5000,4.166666666666666
13,DAD,evening_18_23,52,552,0.09420289855072464,5000,9.420289855072465
14,DAD,morning_06_11,125,552,0.22644927536231885,5000,22.644927536231883
15,DAD,night_00_05,208,552,0.37681159420289856,5000,37.68115942028986
16,HAN,afternoon_12_17,11,552,0.019927536231884056,5000,1.9927536231884055
17,HAN,evening_18_23,4,552,0.007246376811594203,5000,0.7246376811594203
18,HAN,morning_06_11,56,552,0.10144927536231885,5000,10.144927536231885
19,HAN,night_00_05,60,552,0.10869565217391304,5000,10.869565217391305
20,SGN,afternoon_12_17,18,552,0.03260869565217391,5000,3.260869565217391
21,SGN,evening_18_23,4,552,0.007246376811594203,5000,0.7246376811594203
22,SGN,morning_06_11,13,552,0.02355072463768116,5000,2.355072463768116
23,SGN,night_00_05,15,552,0.02717391304347826,5000,2.717391304347826
24,DAD,afternoon_12_17,0,552,0.0,3000,0.0
25,DAD,evening_18_23,24,552,0.043478260869565216,3000,4.3478260869565215
26,DAD,morning_06_11,77,552,0.13949275362318841,3000,13.949275362318842
27,DAD,night_00_05,145,552,0.26268115942028986,3000,26.268115942028984
28,HAN,afternoon_12_17,1,552,0.0018115942028985507,3000,0.18115942028985507
29,HAN,evening_18_23,0,552,0.0,3000,0.0
30,HAN,morning_06_11,14,552,0.025362318840579712,3000,2.536231884057971
31,HAN,night_00_05,26,552,0.04710144927536232,3000,4.710144927536232
32,SGN,afternoon_12_17,4,552,0.007246376811594203,3000,0.7246376811594203
33,SGN,evening_18_23,0,552,0.0,3000,0.0
34,SGN,morning_06_11,10,552,0.018115942028985508,3000,1.8115942028985508
35,SGN,night_00_05,11,552,0.019927536231884056,3000,1.9927536231884055
