,time,Airport,cape,lifted_index,cloud_cover_low,Is_Low_Ceiling_Risk,Is_Severe_Convection_Risk,Is_Thunderstorm_Risk,Aviation_Operational_Risk_Score
1036,2026-01-27 04:00:00,DAD,50.0,10.1,93,1,0,1,7
1037,2026-01-27 05:00:00,DAD,40.0,9.8,82,1,0,1,7
1038,2026-01-27 06:00:00,DAD,50.0,9.6,96,1,0,1,7
1061,2026-01-28 05:00:00,DAD,40.0,10.6,88,1,0,1,7
1127,2026-01-30 23:00:00,DAD,50.0,7.6,91,1,0,1,7
2167,2026-03-15 07:00:00,DAD,110.0,2.9,81,1,0,1,7
1888,2026-03-03 16:00:00,DAD,1920.0,-4.7,57,0,1,1,6
23,2025-12-15 23:00:00,DAD,80.0,1.5,100,1,0,1,5
142,2025-12-20 22:00:00,DAD,60.0,1.8,100,1,0,1,5
143,2025-12-20 23:00:00,DAD,90.0,1.8,98,1,0,1,5
2354,2025-12-21 02:00:00,HAN,110.0,4.6,100,1,0,1,7
2621,2026-01-01 05:00:00,HAN,110.0,4.0,100,1,0,1,7
3028,2026-01-18 04:00:00,HAN,20.0,8.6,100,1,0,1,7
3029,2026-01-18 05:00:00,HAN,30.0,8.7,100,1,0,1,7
3245,2026-01-27 05:00:00,HAN,50.0,8.0,100,1,0,1,7
3246,2026-01-27 06:00:00,HAN,40.0,7.7,100,1,0,1,7
2451,2025-12-25 03:00:00,HAN,40.0,16.2,100,1,0,1,6
2452,2025-12-25 04:00:00,HAN,40.0,17.5,100,1,0,1,6
3129,2026-01-22 09:00:00,HAN,20.0,20.0,100,1,0,1,6
3130,2026-01-22 10:00:00,HAN,10.0,20.0,100,1,0,1,6
4673,2025-12-25 17:00:00,SGN,1520.0,-3.7,40,0,1,1,4
4648,2025-12-24 16:00:00,SGN,1660.0,-3.5,24,0,1,1,2
4667,2025-12-25 11:00:00,SGN,1660.0,-3.2,10,0,1,1,2
4668,2025-12-25 12:00:00,SGN,1670.0,-3.2,40,0,1,1,2
4669,2025-12-25 13:00:00,SGN,1810.0,-3.8,2,0,1,1,2
4672,2025-12-25 16:00:00,SGN,1860.0,-4.4,17,0,1,1,2
6301,2026-03-03 13:00:00,SGN,1570.0,-3.4,7,0,1,1,2
6319,2026-03-04 07:00:00,SGN,1570.0,-3.1,7,0,1,1,2
6339,2026-03-05 03:00:00,SGN,1560.0,-3.1,27,0,1,1,2
6372,2026-03-06 12:00:00,SGN,1800.0,-3.1,9,0,1,1,2
