,corr_with_operational_risk
weather_code,0.6779216915059918
cloud_cover_low,0.5833531371113995
Is_Low_Ceiling_Risk,0.5196102032757202
Is_Radiation_Fog_Risk,0.22794148683632962
lifted_index,0.0588738067903474
Forced_Runway_Swap_Risk,0.04138754193657344
Is_Severe_Convection_Risk,0.04080062735728515
dew_point_2m,0.033540373123994195
Convective_Severity_Score,-0.03799564157175232
cape,-0.04069959603898773
Gust_Variation_Kt,-0.08736060887579097
Tailwind_Default_Runway_Kt,-0.14206065002287255
Dew_Point_Spread_C,-0.31048785771124543
