,logical_feature,mapped_column,present,missing_rate_pct,unique_values
0,dew_point_2m,dew_point_2m,True,0.0,211
1,weather_code,weather_code,True,0.0,10
2,cape,cape,True,0.0,258
3,lifted_index,lifted_index,True,0.0,248
4,cloud_cover_low,cloud_cover_low,True,0.0,101
5,Dew_Point_Spread_C,Dew_Point_Spread_C,True,0.0,220
6,Is_Radiation_Fog_Risk,Is_Radiation_Fog_Risk,True,0.0,2
7,Is_Low_Ceiling_Risk,Is_Low_Ceiling_Risk,True,0.0,2
8,Is_Severe_Convection_Risk,Is_Severe_Convection_Risk,True,0.0,2
9,Convective_Severity_Score,Convective_Severity_Score,True,0.0,5
10,Gust_Variation_Kt,Gust_Variation_Kt,True,0.0,96
11,Tailwind_Default_Runway_Kt,Tailwind_Default_Runway_Kt,True,0.0,509
12,Forced_Runway_Swap_Risk,Forced_Runway_Swap_Risk,True,0.0,3
