,airport,lag_h,corr_precip_lag_with_risk
0,ALL,0,0.25418190300875093
1,DAD,0,0.3152995845485462
2,HAN,0,0.3466354499852334
3,SGN,0,0.2368418258453745
4,ALL,1,0.17692430466577558
5,DAD,1,0.2205109609547534
6,HAN,1,0.25211526718581484
7,SGN,1,0.14414117248594815
8,ALL,2,0.1483044360782913
9,DAD,2,0.19043622988831377
10,HAN,2,0.18149447553408085
11,SGN,2,0.12980430013030214
12,ALL,3,0.11131211319784273
13,DAD,3,0.1530895432461309
14,HAN,3,0.09524582386524566
15,SGN,3,0.10587384739291947
16,ALL,4,0.10117721325283617
17,DAD,4,0.14930103494323474
18,HAN,4,0.08667085478572406
19,SGN,4,0.0813277507658016
20,ALL,6,0.07488119408531614
21,DAD,6,0.08087200690232027
22,HAN,6,0.0699742761930317
23,SGN,6,0.07905408869855189
