,feature,dtype,missing_count,missing_rate_pct,nunique,top_value_rate_pct,min,max,mean,std
40,Is_Strong_Wind,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
41,Is_Gale_Wind,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
46,Is_WMO_Fog_Code,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
48,Is_WMO_Thunderstorm_Code,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
52,Is_Crosswind_15kt,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
53,Is_Crosswind_20kt,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
57,Is_Freezing,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
63,Runway_Ice_Risk,int64,0,0.0,1,100.0,0.0,0.0,0.0,0.0
39,Is_Heavy_Rain,int64,0,0.0,2,99.86413043478261,0.0,1.0,0.001358695652173913,0.03683822020174913
58,Is_Extreme_Heat,int64,0,0.0,2,99.80374396135265,0.0,1.0,0.00196256038647343,0.04426064263692776
56,Is_Severe_Convection_Risk,int64,0,0.0,2,99.27536231884058,0.0,1.0,0.007246376811594203,0.08482306896887441
54,Is_Tailwind_Default_Runway_5kt,int64,0,0.0,2,98.94323671497585,0.0,1.0,0.010567632850241546,0.10226209816247828
51,Is_Crosswind_10kt,int64,0,0.0,2,98.73188405797102,0.0,1.0,0.012681159420289856,0.11190280626747193
50,Is_Below_1SM_Visibility,int64,0,0.0,2,96.78442028985508,0.0,1.0,0.03215579710144927,0.1764270411905813
70,Visibility_Below_3000m,int64,0,0.0,2,95.28985507246377,0.0,1.0,0.04710144927536232,0.21187184705649348
49,Is_Below_3SM_Visibility,int64,0,0.0,2,91.48550724637681,0.0,1.0,0.08514492753623189,0.2791183085684301
42,Is_Low_Visibility,int64,0,0.0,2,91.10809178743962,0.0,1.0,0.08891908212560387,0.28464839882024895
69,Visibility_Below_5000m,int64,0,0.0,2,91.10809178743962,0.0,1.0,0.08891908212560387,0.28464839882024895
45,Is_Radiation_Fog_Risk,int64,0,0.0,2,84.84299516908213,0.0,1.0,0.15157004830917875,0.3586307089879489
43,Is_Fog,int64,0,0.0,2,84.78260869565217,0.0,1.0,0.15217391304347827,0.35921649931407884
59,Is_Thunderstorm_Risk,int64,0,0.0,2,84.07306763285024,0.0,1.0,0.1592693236714976,0.3659546748251184
67,Visibility_Capped_Flag,int64,0,0.0,2,80.99335748792271,0.0,1.0,0.19006642512077296,0.3923830049630926
44,Is_Dewpoint_Spread_Le_1_5C,int64,0,0.0,2,77.64190821256038,0.0,1.0,0.22358091787439613,0.41667577514131404
38,Is_Rain,int64,0,0.0,2,77.18900966183575,0.0,1.0,0.22810990338164253,0.4196455181009302
47,Is_WMO_Rain_Code,int64,0,0.0,2,77.18900966183575,0.0,1.0,0.22810990338164253,0.4196455181009302
55,Is_Low_Ceiling_Risk,int64,0,0.0,2,75.42270531400966,0.0,1.0,0.2457729468599034,0.4305770477718903
68,Visibility_Below_10000m,int64,0,0.0,2,74.09420289855072,0.0,1.0,0.25905797101449274,0.43815056834427285
77,_risk_bin,int64,0,0.0,2,57.578502415458935,0.0,1.0,0.4242149758454106,0.4942605691058019
62,Forced_Runway_Swap_Risk,int64,0,0.0,3,98.94323671497585,0.0,2.0,0.011020531400966184,0.1086584501834764
61,Runway_Wet_Risk,int64,0,0.0,3,77.18900966183575,0.0,2.0,0.22946859903381642,0.4237419727497114
78,_risk_bin_next,float64,3,0.04528985507246377,3,57.54830917874396,0.0,1.0,0.424256154659417,0.49426689916229183
16,Visibility_Severity_Score,int64,0,0.0,4,91.10809178743962,0.0,4.0,0.2383756038647343,0.820671784264074
60,Convective_Severity_Score,int64,0,0.0,5,92.10446859903382,0.0,4.0,0.1257548309178744,0.4682661349713603
64,Weather_Delay_Risk_Score,int64,0,0.0,6,57.578502415458935,0.0,5.0,0.7995169082125604,1.139371212729433
65,Aviation_Operational_Risk_Score,int64,0,0.0,8,57.15579710144928,0.0,7.0,0.8979468599033816,1.3916671447721412
9,weather_code,int64,0,0.0,10,37.18297101449276,0.0,65.0,13.27626811594203,21.09043972861215
66,_hour,int32,0,0.0,24,4.166666666666666,0.0,23.0,11.5,6.922709119642863
1,precipitation,float64,0,0.0,43,77.18900966183575,0.0,13.9,0.09210446859903382,0.4120884128304118
29,Precip_Cumsum_1H_Mm,float64,0,0.0,43,77.18900966183575,0.0,13.9,0.09210446859903382,0.4120884128304118
71,precipitation_lag_0h_AUTO,float64,0,0.0,43,77.18900966183575,0.0,13.9,0.09210446859903382,0.4120884128304118
72,precipitation_lag_1h_AUTO,float64,3,0.04528985507246377,44,77.14371980676329,0.0,13.9,0.09214620148013897,0.41217711018770053
73,precipitation_lag_2h_AUTO,float64,6,0.09057971014492754,44,77.09842995169082,0.0,13.9,0.09218797219703838,0.4122658646320198
74,precipitation_lag_3h_AUTO,float64,9,0.1358695652173913,44,77.05314009661835,0.0,13.9,0.09222978080120937,0.4123546762243758
75,precipitation_lag_4h_AUTO,float64,12,0.18115942028985507,44,77.0078502415459,0.0,13.9,0.09227162734422263,0.4124435450258656
76,precipitation_lag_6h_AUTO,float64,18,0.2717391304347826,44,76.93236714975845,0.0,13.9,0.09234029669996972,0.4126230083403154
26,Temp_Change_1H_C,float64,3,0.04528985507246377,78,8.303140096618357,-5.5,3.8,0.0007702763932940648,0.8857009506352881
6,humidity,int64,0,0.0,79,3.125,22.0,100.0,76.56567028985508,16.278664927351635
30,Precip_Cumsum_3H_Mm,float64,0,0.0,82,67.58756038647343,0.0,20.8,0.27631340579710145,0.9507908588859164
28,Pressure_Change_3H_Hpa,float64,9,0.1358695652173913,82,2.566425120772947,-4.6,3.9,-0.0032653061224489767,1.626181014361803
36,Gust_Variation_Kmh,float64,0,0.0,96,36.92632850241546,0.0,16.5,1.3110054347826086,1.6295422911003958
37,Gust_Variation_Kt,float64,0,0.0,96,36.92632850241546,0.0,8.91,0.7078910024154589,0.8799831025672179
2,cloudcover,int64,0,0.0,101,30.676328502415455,0.0,100.0,66.03321256038647,37.20742364146488
12,cloud_cover_low,int64,0,0.0,101,20.048309178743963,0.0,100.0,36.09088164251208,39.09435132842864
31,Precip_Cumsum_6H_Mm,float64,0,0.0,119,58.40881642512077,0.0,25.1,0.5526268115942028,1.6204516500889643
27,Temp_Change_3H_C,float64,9,0.1358695652173913,151,3.774154589371981,-7.7,8.5,0.003099017384731664,2.2688902769689068
18,Wind_Runway_Relative_Angle_Deg,float64,0,0.0,181,1.0416666666666665,0.0,180.0,77.92889492753623,45.56929557284284
15,Visibility_Deficit_3SM_M,float64,0,0.0,204,91.48550724637681,0.0,4748.03,203.78153985507245,811.4945691407138
8,dew_point_2m,float64,0,0.0,211,2.4456521739130435,2.8,25.2,18.261005434782607,3.916128041954076
14,Visibility_Deficit_5KM_M,float64,0,0.0,212,91.10809178743962,0.0,4920.0,218.77113526570048,851.3795323557574
17,Dew_Point_Spread_C,float64,0,0.0,220,1.917270531400966,0.0,24.7,4.797327898550725,4.070664557004071
32,Wind_Gust_Estimate_Kmh,float64,0,0.0,239,1.2228260869565217,0.6,27.5,9.38485809178744,4.633713924705734
