layer,mode,airport,rows,columns,has_file
Bronze,arrival,SGN,36721,13,True
Bronze,arrival,HAN,24920,13,True
Bronze,arrival,DAD,12575,14,True
Bronze,departure,SGN,36789,14,True
Bronze,departure,HAN,28503,14,True
Bronze,departure,DAD,12529,17,True
Silver_layer_2,arrival,SGN,36699,22,True
Silver_layer_2,arrival,HAN,24899,22,True
Silver_layer_2,arrival,DAD,12573,23,True
Silver_layer_2,departure,SGN,36735,22,True
Silver_layer_2,departure,HAN,28502,22,True
Silver_layer_2,departure,DAD,12521,27,True
Gold,arrival,SGN,36699,49,True
Gold,arrival,HAN,24899,49,True
Gold,arrival,DAD,12573,50,True
Gold,departure,SGN,36735,52,True
Gold,departure,HAN,28502,52,True
Gold,departure,DAD,12521,57,True
