Airport,Mode,Metric,Value
SGN,departure,rows_input,36789
SGN,departure,same_origin_rows_restored_from_prior_audit,0
SGN,departure,rows_after_basic_clean,36789
SGN,departure,header_rows_removed,0
SGN,departure,invalid_iata_fixed,1
SGN,departure,invalid_runway_fixed,0
SGN,departure,exact_duplicate_removed,0
SGN,departure,cluster_duplicate_removed,54
SGN,departure,same_day_60m_duplicate_removed,54
SGN,departure,dual_runway_duplicate_removed,0
SGN,departure,dad_cancelled_cleared,0
SGN,departure,dad_bl_to_vn,0
SGN,departure,dad_airline_pacific_to_vietnam,0
SGN,departure,runway_missing_before,247
SGN,departure,runway_filled_orientation,0
SGN,departure,runway_filled_nearest,245
SGN,departure,runway_filled_default,2
SGN,departure,runway_marked_unknown_dad,0
SGN,arrival,rows_input,36721
SGN,arrival,same_origin_rows_restored_from_prior_audit,0
SGN,arrival,rows_after_basic_clean,36721
SGN,arrival,header_rows_removed,0
SGN,arrival,invalid_iata_fixed,0
SGN,arrival,invalid_runway_fixed,0
SGN,arrival,exact_duplicate_removed,0
SGN,arrival,cluster_duplicate_removed,1
SGN,arrival,same_day_60m_duplicate_removed,1
SGN,arrival,dual_runway_duplicate_removed,0
SGN,arrival,dad_cancelled_cleared,0
SGN,arrival,dad_bl_to_vn,0
SGN,arrival,dad_airline_pacific_to_vietnam,0
SGN,arrival,runway_missing_before,932
SGN,arrival,runway_filled_orientation,0
SGN,arrival,runway_filled_nearest,851
SGN,arrival,runway_filled_default,81
SGN,arrival,runway_marked_unknown_dad,0
HAN,departure,rows_input,28503
HAN,departure,same_origin_rows_restored_from_prior_audit,0
HAN,departure,rows_after_basic_clean,28503
HAN,departure,header_rows_removed,0
HAN,departure,invalid_iata_fixed,0
HAN,departure,invalid_runway_fixed,0
HAN,departure,exact_duplicate_removed,0
HAN,departure,cluster_duplicate_removed,1
HAN,departure,same_day_60m_duplicate_removed,1
HAN,departure,dual_runway_duplicate_removed,0
HAN,departure,dad_cancelled_cleared,0
HAN,departure,dad_bl_to_vn,0
HAN,departure,dad_airline_pacific_to_vietnam,0
HAN,departure,runway_missing_before,329
HAN,departure,runway_filled_orientation,0
HAN,departure,runway_filled_nearest,327
HAN,departure,runway_filled_default,2
HAN,departure,runway_marked_unknown_dad,0
HAN,arrival,rows_input,24921
HAN,arrival,same_origin_rows_restored_from_prior_audit,0
HAN,arrival,rows_after_basic_clean,24921
HAN,arrival,header_rows_removed,0
HAN,arrival,invalid_iata_fixed,0
HAN,arrival,invalid_runway_fixed,0
HAN,arrival,exact_duplicate_removed,0
HAN,arrival,cluster_duplicate_removed,5
HAN,arrival,same_day_60m_duplicate_removed,5
HAN,arrival,dual_runway_duplicate_removed,0
HAN,arrival,dad_cancelled_cleared,0
HAN,arrival,dad_bl_to_vn,0
HAN,arrival,dad_airline_pacific_to_vietnam,0
HAN,arrival,runway_missing_before,2263
HAN,arrival,runway_filled_orientation,0
HAN,arrival,runway_filled_nearest,2165
HAN,arrival,runway_filled_default,98
HAN,arrival,runway_marked_unknown_dad,0
DAD,departure,rows_input,12529
DAD,departure,same_origin_rows_restored_from_prior_audit,0
DAD,departure,rows_after_basic_clean,12529
DAD,departure,header_rows_removed,0
DAD,departure,invalid_iata_fixed,0
DAD,departure,invalid_runway_fixed,537
DAD,departure,exact_duplicate_removed,0
DAD,departure,cluster_duplicate_removed,8
DAD,departure,same_day_60m_duplicate_removed,8
DAD,departure,dual_runway_duplicate_removed,0
DAD,departure,dad_cancelled_cleared,0
DAD,departure,dad_bl_to_vn,0
DAD,departure,dad_airline_pacific_to_vietnam,0
DAD,departure,runway_missing_before,755
DAD,departure,runway_filled_orientation,0
DAD,departure,runway_filled_nearest,755
DAD,departure,runway_filled_default,0
DAD,departure,runway_marked_unknown_dad,0
DAD,arrival,rows_input,12575
DAD,arrival,same_origin_rows_restored_from_prior_audit,0
DAD,arrival,rows_after_basic_clean,12575
DAD,arrival,header_rows_removed,0
DAD,arrival,invalid_iata_fixed,0
DAD,arrival,invalid_runway_fixed,680
DAD,arrival,exact_duplicate_removed,0
DAD,arrival,cluster_duplicate_removed,2
DAD,arrival,same_day_60m_duplicate_removed,2
DAD,arrival,dual_runway_duplicate_removed,0
DAD,arrival,dad_cancelled_cleared,0
DAD,arrival,dad_bl_to_vn,0
DAD,arrival,dad_airline_pacific_to_vietnam,0
DAD,arrival,runway_missing_before,756
DAD,arrival,runway_filled_orientation,0
DAD,arrival,runway_filled_nearest,756
DAD,arrival,runway_filled_default,0
DAD,arrival,runway_marked_unknown_dad,0
ALL,arrival,arrivals_cross_corrected,1
ALL,arrival,same_origin_noncommercial_audit_carried_forward,0
SGN,arrival,same_origin_rows,60
SGN,arrival,same_origin_return_matched,25
SGN,arrival,same_origin_dropped,21
SGN,arrival,same_origin_kept_noncommercial,14
SGN,arrival,emergency_runway_remapped,20
HAN,arrival,same_origin_rows,24
HAN,arrival,same_origin_return_matched,5
HAN,arrival,same_origin_dropped,17
HAN,arrival,same_origin_kept_noncommercial,2
HAN,arrival,emergency_runway_remapped,5
DAD,arrival,same_origin_rows,0
DAD,arrival,same_origin_return_matched,0
DAD,arrival,same_origin_dropped,0
DAD,arrival,same_origin_kept_noncommercial,0
DAD,arrival,emergency_runway_remapped,0
SGN,arrival,airline_values_changed,0
SGN,arrival,category_unknown_assigned,15
SGN,arrival,terminal_values_changed,15
SGN,arrival,thd_route_name_changed,0
SGN,arrival,dad_belt_general_aviation_changed,0
SGN,departure,airline_values_changed,0
SGN,departure,category_unknown_assigned,0
SGN,departure,terminal_values_changed,0
SGN,departure,thd_route_name_changed,0
SGN,departure,dad_belt_general_aviation_changed,0
HAN,arrival,airline_values_changed,0
HAN,arrival,category_unknown_assigned,26
HAN,arrival,terminal_values_changed,26
HAN,arrival,thd_route_name_changed,0
HAN,arrival,dad_belt_general_aviation_changed,0
HAN,departure,airline_values_changed,0
