Airport,Mode,Metric,Value
SGN,departure,rows_input,36789
SGN,departure,rows_after_basic_clean,36789
SGN,departure,cluster_duplicate_removed,54
SGN,departure,same_day_60m_duplicate_removed,54
SGN,arrival,rows_input,36721
SGN,arrival,rows_after_basic_clean,36721
SGN,arrival,cluster_duplicate_removed,1
SGN,arrival,same_day_60m_duplicate_removed,1
HAN,departure,rows_input,28503
HAN,departure,rows_after_basic_clean,28503
HAN,departure,cluster_duplicate_removed,1
HAN,departure,same_day_60m_duplicate_removed,1
HAN,arrival,rows_input,24921
HAN,arrival,rows_after_basic_clean,24921
HAN,arrival,cluster_duplicate_removed,5
HAN,arrival,same_day_60m_duplicate_removed,5
DAD,departure,rows_input,12529
DAD,departure,rows_after_basic_clean,12529
DAD,departure,cluster_duplicate_removed,8
DAD,departure,same_day_60m_duplicate_removed,8
DAD,arrival,rows_input,12575
DAD,arrival,rows_after_basic_clean,12575
DAD,arrival,cluster_duplicate_removed,2
DAD,arrival,same_day_60m_duplicate_removed,2
SGN,arrival,same_origin_rows,60
SGN,arrival,same_origin_return_matched,25
SGN,arrival,same_origin_dropped,21
HAN,arrival,same_origin_rows,24
HAN,arrival,same_origin_return_matched,5
HAN,arrival,same_origin_dropped,17
DAD,arrival,same_origin_rows,0
DAD,arrival,same_origin_return_matched,0
DAD,arrival,same_origin_dropped,0
ALL,arrival,arrival_without_departure_rows,476
SGN,arrival,rows_output,36699
SGN,departure,rows_output,36735
HAN,arrival,rows_output,24899
HAN,departure,rows_output,28502
DAD,arrival,rows_output,12573
DAD,departure,rows_output,12521
