mode,airport,column,missing_count,missing_rate_pct,nunique
arrival,SGN,Scheduled_Time,36699,100.0,0
arrival,HAN,Scheduled_Time,24899,100.0,0
arrival,DAD,Arrival_Flight_Duration_Minutes,12573,100.0,0
arrival,DAD,Same_Origin_Action,12573,100.0,0
arrival,HAN,Same_Origin_Action,24892,99.9718864211414,2
arrival,SGN,Same_Origin_Action,36660,99.89373007438896,2
departure,SGN,Matched_Actual_Tail,27041,73.6109976861304,218
departure,SGN,Swap_Match_Gap_Minutes,27030,73.5810534912209,125
departure,HAN,Matched_Actual_Tail,19589,68.72851027998036,227
departure,HAN,Swap_Match_Gap_Minutes,19579,68.69342502280543,129
departure,DAD,Matched_Actual_Tail,7045,56.26547400367383,173
departure,DAD,Swap_Match_Gap_Minutes,7031,56.153661848095204,128
departure,DAD,Is_Jet_Bridge,986,7.874770385751936,2
departure,DAD,Is_Remote_Stand,986,7.874770385751936,2
departure,HAN,Scheduled_Time,1992,6.98898322924707,16856
arrival,HAN,Arrival_Flight_Duration_Minutes,1558,6.257279408811598,637
arrival,DAD,Belt,512,4.072218245446592,5
departure,DAD,Gate,335,2.6755051513457393,11
departure,SGN,Scheduled_Time,763,2.077038246903498,19331
departure,HAN,Destination,525,1.8419760016840925,125
departure,HAN,IATA,525,1.8419760016840925,130
departure,HAN,Terminal,525,1.8419760016840925,3
departure,DAD,Scheduled_Tail,213,1.7011420813034102,837
departure,DAD,Aircraft_Type,213,1.7011420813034102,20
arrival,SGN,Arrival_Flight_Duration_Minutes,450,1.2261914493582933,728
departure,SGN,IATA,347,0.9446032394174494,114
departure,DAD,Status,118,0.9424167398770066,6
departure,SGN,Destination,340,0.9255478426568666,110
departure,SGN,Terminal,340,0.9255478426568666,4
arrival,DAD,Status,99,0.7874015748031495,6
arrival,DAD,Actual_Tail,95,0.7555873697605981,836
arrival,DAD,Aircraft_Type,95,0.7555873697605981,19
arrival,HAN,Airline,175,0.7028394714647174,99
departure,DAD,Checkin_Counter,80,0.6389266033064451,382
arrival,HAN,Flight_No,158,0.6345636370938592,835
arrival,SGN,Airline,214,0.583122155917055,93
departure,HAN,Airline,165,0.578906743386429,117
arrival,SGN,Terminal,200,0.5449739774925747,4
arrival,SGN,Origin,175,0.47685223030600293,131
arrival,SGN,IATA,175,0.47685223030600293,139
departure,SGN,Airline,173,0.4709405199401116,96
arrival,HAN,Actual_Tail,111,0.44580103618619227,2110
departure,HAN,Flight_No,115,0.40348045751175354,1305
arrival,HAN,Terminal,96,0.3855576529177879,3
arrival,HAN,Origin,91,0.3654765251616531,149
arrival,HAN,IATA,91,0.3654765251616531,156
arrival,SGN,Actual_Tail,123,0.3351589961579335,2187
arrival,SGN,Flight_No,114,0.31063516717076756,1140
arrival,SGN,Aircraft_Type,107,0.2915610779585275,61
arrival,HAN,Aircraft_Type,68,0.2731033374834331,51
departure,SGN,Flight_No,73,0.19872056621750375,1015
departure,HAN,Scheduled_Tail,30,0.10525577152480528,2308
departure,HAN,Aircraft_Type,28,0.09823872008981825,60
departure,SGN,Scheduled_Tail,36,0.09799918334013884,2191
departure,SGN,Aircraft_Type,35,0.09527698380291276,62
departure,DAD,Category,5,0.03993291270665282,3
departure,SGN,Category,5,0.013610997686130393,7
departure,SGN,Actual_Time,3,0.008166598611678236,36702
departure,DAD,Airline,1,0.007986582541330564,37
arrival,SGN,Crawl_Date,0,0.0,91
arrival,SGN,Actual_Time,0,0.0,36395
arrival,SGN,Arrival_Runway,0,0.0,4
arrival,SGN,Status,0,0.0,1
arrival,SGN,Category,0,0.0,8
arrival,SGN,Is_Return_Emergency,0,0.0,2
arrival,SGN,Is_Same_Origin_Unmatched,0,0.0,2
arrival,SGN,Has_Matched_Departure,0,0.0,2
arrival,SGN,Has_Matched_Arrival,0,0.0,1
arrival,SGN,Match_Status,0,0.0,2
arrival,SGN,Data_Completeness,0,0.0,2
arrival,SGN,Exclude_From_Propagation_Training,0,0.0,2
arrival,HAN,Crawl_Date,0,0.0,93
