origin_airport,dest_iata,departure_rows
SGN,HAN,6676
SGN,DAD,3195
SGN,PQC,1966
SGN,VII,1337
SGN,VCS,1296
SGN,HPH,1231
SGN,HUI,1198
SGN,THD,1100
SGN,SIN,1070
SGN,BKK,956
SGN,ICN,910
SGN,TPE,899
SGN,KUL,833
SGN,UIH,766
SGN,CXR,743
HAN,SGN,6765
HAN,DAD,2427
HAN,ICN,1126
HAN,PQC,1038
HAN,TPE,844
HAN,CXR,828
HAN,PVG,796
HAN,HKG,771
HAN,BKK,754
HAN,CAN,714
HAN,SZX,570
HAN,DLI,561
HAN,KUL,555
HAN,N/A,525
HAN,VCA,512
DAD,SGN,3333
DAD,HAN,2432
DAD,ICN,1426
DAD,PUS,564
DAD,KUL,534
DAD,HKG,457
DAD,MFM,427
DAD,SIN,408
DAD,BKK,400
DAD,TPE,393
DAD,DMK,273
DAD,MNL,263
DAD,PQC,218
DAD,HPH,211
DAD,CXR,165
