mode,airport,runway,rows,rate_pct
arrival,SGN,25R,36111,98.39777650617182
arrival,SGN,25L,416,1.1335458731845554
arrival,SGN,07L,168,0.4577781410937628
arrival,SGN,07R,4,0.010899479549851494
arrival,HAN,11L,23850,95.78697939676292
arrival,HAN,29R,624,2.5061247439656213
arrival,HAN,11R,411,1.6506687015542791
arrival,HAN,29L,14,0.056227157717177394
arrival,DAD,35L,12018,95.58577905034598
arrival,DAD,35R,519,4.127893104271057
arrival,DAD,17L,22,0.17497812773403326
arrival,DAD,17R,14,0.11134971764893026
departure,SGN,25L,36105,98.28501429154757
departure,SGN,25R,460,1.2522117871239962
departure,SGN,07R,164,0.4464407241050769
departure,SGN,07L,6,0.016333197223356473
departure,HAN,11R,27805,97.55455757490702
departure,HAN,11L,562,1.9717914532313523
departure,HAN,29L,122,0.4280401375342081
departure,HAN,29R,13,0.04561083432741562
departure,DAD,35R,12409,99.10550275537098
departure,DAD,17L,77,0.6149668556824535
departure,DAD,35L,32,0.25557064132257806
departure,DAD,17R,3,0.023959747623991695
