airport,mode,hour,flights
DAD,arrival,0.0,704
DAD,arrival,1.0,359
DAD,arrival,2.0,88
DAD,arrival,3.0,61
DAD,arrival,4.0,77
DAD,arrival,5.0,47
DAD,arrival,6.0,77
DAD,arrival,7.0,494
DAD,arrival,8.0,283
DAD,arrival,9.0,677
DAD,arrival,10.0,575
DAD,arrival,11.0,835
DAD,arrival,12.0,932
DAD,arrival,13.0,911
DAD,arrival,14.0,445
DAD,arrival,15.0,687
DAD,arrival,16.0,661
DAD,arrival,17.0,698
DAD,arrival,18.0,588
DAD,arrival,19.0,554
DAD,arrival,20.0,660
DAD,arrival,21.0,751
DAD,arrival,22.0,819
DAD,arrival,23.0,590
DAD,departure,0.0,587
DAD,departure,1.0,579
DAD,departure,2.0,203
DAD,departure,3.0,136
DAD,departure,4.0,34
DAD,departure,5.0,221
DAD,departure,6.0,380
DAD,departure,7.0,304
DAD,departure,8.0,451
DAD,departure,9.0,487
DAD,departure,10.0,488
DAD,departure,11.0,668
DAD,departure,12.0,972
DAD,departure,13.0,927
DAD,departure,14.0,651
DAD,departure,15.0,929
DAD,departure,16.0,412
DAD,departure,17.0,665
DAD,departure,18.0,949
DAD,departure,19.0,292
DAD,departure,20.0,690
DAD,departure,21.0,290
DAD,departure,22.0,454
DAD,departure,23.0,752
HAN,arrival,0.0,822
HAN,arrival,1.0,733
HAN,arrival,2.0,374
HAN,arrival,3.0,227
HAN,arrival,4.0,395
HAN,arrival,5.0,521
HAN,arrival,6.0,592
HAN,arrival,7.0,776
HAN,arrival,8.0,903
HAN,arrival,9.0,1201
HAN,arrival,10.0,1074
HAN,arrival,11.0,1406
HAN,arrival,12.0,1353
HAN,arrival,13.0,1181
HAN,arrival,14.0,1404
HAN,arrival,15.0,1350
HAN,arrival,16.0,1273
HAN,arrival,17.0,1471
HAN,arrival,18.0,1299
HAN,arrival,19.0,1284
HAN,arrival,20.0,1380
HAN,arrival,21.0,1439
HAN,arrival,22.0,1340
HAN,arrival,23.0,1101
HAN,departure,0.0,893
HAN,departure,1.0,755
HAN,departure,2.0,722
HAN,departure,3.0,75
HAN,departure,4.0,71
HAN,departure,5.0,735
HAN,departure,6.0,1019
HAN,departure,7.0,1490
HAN,departure,8.0,1499
HAN,departure,9.0,1273
HAN,departure,10.0,1600
HAN,departure,11.0,1169
HAN,departure,12.0,1454
HAN,departure,13.0,1231
HAN,departure,14.0,1159
HAN,departure,15.0,1642
HAN,departure,16.0,1509
HAN,departure,17.0,1300
HAN,departure,18.0,1530
HAN,departure,19.0,1407
HAN,departure,20.0,1347
HAN,departure,21.0,706
HAN,departure,22.0,787
HAN,departure,23.0,1137
HAN,departure,,1992
SGN,arrival,0.0,1560
SGN,arrival,1.0,1256
SGN,arrival,2.0,683
SGN,arrival,3.0,405
SGN,arrival,4.0,542
SGN,arrival,5.0,920
SGN,arrival,6.0,967
SGN,arrival,7.0,1130
SGN,arrival,8.0,1419
SGN,arrival,9.0,1598
SGN,arrival,10.0,1965
SGN,arrival,11.0,1935
SGN,arrival,12.0,1741
SGN,arrival,13.0,1853
SGN,arrival,14.0,1775
SGN,arrival,15.0,1831
SGN,arrival,16.0,1983
SGN,arrival,17.0,1947
SGN,arrival,18.0,1942
SGN,arrival,19.0,1763
SGN,arrival,20.0,1908
SGN,arrival,21.0,1934
SGN,arrival,22.0,1919
SGN,arrival,23.0,1723
SGN,departure,0.0,1076
SGN,departure,1.0,688
SGN,departure,2.0,837
SGN,departure,3.0,217
SGN,departure,4.0,386
SGN,departure,5.0,1365
SGN,departure,6.0,1887
SGN,departure,7.0,1959
SGN,departure,8.0,1873
SGN,departure,9.0,2175
SGN,departure,10.0,1749
SGN,departure,11.0,2270
SGN,departure,12.0,1890
SGN,departure,13.0,1772
SGN,departure,14.0,1345
SGN,departure,15.0,1903
SGN,departure,16.0,1900
SGN,departure,17.0,1726
SGN,departure,18.0,1826
SGN,departure,19.0,1900
SGN,departure,20.0,1516
SGN,departure,21.0,1402
SGN,departure,22.0,894
SGN,departure,23.0,1416
SGN,departure,,763
