airport,mode,Category,rows
DAD,arrival,general aviation,1075
DAD,arrival,passenger,11498
DAD,departure,business jet,1
DAD,departure,general aviation,776
DAD,departure,passenger,11739
DAD,departure,,5
HAN,arrival,business jet,94
HAN,arrival,cargo,1360
HAN,arrival,general aviation,812
HAN,arrival,helicopter,1
HAN,arrival,military or government,4
HAN,arrival,non-categorized,2
HAN,arrival,passenger,22626
HAN,departure,business jet,145
HAN,departure,cargo,1652
HAN,departure,general aviation,814
HAN,departure,ground vehicle,1
HAN,departure,helicopter,1
HAN,departure,military or government,26
HAN,departure,passenger,25863
SGN,arrival,business jet,117
SGN,arrival,cargo,459
SGN,arrival,general aviation,686
SGN,arrival,ground vehicle,5
SGN,arrival,helicopter,12
SGN,arrival,military or government,32
SGN,arrival,non-categorized,39
SGN,arrival,passenger,35349
SGN,departure,business jet,111
SGN,departure,cargo,461
SGN,departure,general aviation,610
SGN,departure,helicopter,17
SGN,departure,military or government,26
SGN,departure,non-categorized,39
SGN,departure,passenger,35466
SGN,departure,,5
