Crawl_Date,Scheduled_Time,Actual_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Belt,Status,Tail_Number,Aircraft_Type,Category
2025-12-16,00:20,00:06,Ho Chi Minh City,SGN,VietJet Air,VJ636,1,35L,1.0,Arrived,VN-A656,A320,passenger
2025-12-16,00:20,23:55,Seoul,ICN,Eastar Jet,ZE593,2,35L,1.0,Bags Delivered,HL8543,B38M,passenger
2025-12-16,00:45,01:05,Cheongju,CJJ,Aero-K Airlines,RF531,2,35L,2.0,Bags Delivered,HL8562,A320,passenger
2025-12-16,01:00,00:35,Busan,PUS,Air Busan,BX7315,0,35L,4.0,Bags Delivered,HL8365,A321,general aviation
2025-12-16,01:10,00:50,Busan,PUS,Korean Air,KE2093,2,35L,3.0,Bags Delivered,HL7585,A333,passenger
2025-12-16,01:45,01:40,Seoul,ICN,VietJet Air,VJ875,2,35L,1.0,Arrived,VN-A687,A321,passenger
2025-12-16,04:00,04:00,Manila,MNL,VietJet Air,VJ8021,2,35L,3.0,Arrived,VN-A629,A321,passenger
2025-12-16,07:25,07:19,Ho Chi Minh City,SGN,Vietnam Airlines,VN106,1,35L,4.0,Arrived,VN-A338,A321,passenger
2025-12-16,07:40,07:26,Ho Chi Minh City,SGN,Bamboo Airways,QH150,1,35L,5.0,Arrived,JU-1410,A320,passenger
2025-12-16,07:45,07:56,Hanoi,HAN,Vietravel Airlines,VU635,1,35L,3.0,Arrived,VN-A129,A321,passenger
2025-12-16,07:50,07:48,Ho Chi Minh City,SGN,VietJet Air,VJ620,1,35L,1.0,Arrived,VN-A676,A320,passenger
2025-12-16,08:00,07:38,Manila,MNL,Cebu Pacific,5J5758,2,35L,1.0,Bags Delivered,RP-C4110,A20N,passenger
2025-12-16,08:20,08:12,Ho Chi Minh City,SGN,Vietnam Airlines,VN110,1,35L,4.0,Arrived,VN-A332,A321,passenger
2025-12-16,08:55,08:37,Da Lat,DLI,Vietnam Airlines,VN1954,1,35L,1.0,Arrived,VN-A395,A321,passenger
2025-12-16,08:55,08:46,Hanoi,HAN,VietJet Air,VJ503,1,35L,2.0,Arrived,VN-A637,A321,passenger
2025-12-16,09:05,08:57,Bangkok,DMK,Thai Air Asia,FD634,2,35L,4.0,Bags Delivered,HS-EAC,A21N,passenger
2025-12-16,09:10,09:03,Hong Kong,HKG,Hong Kong Express Airways,UO552,2,35L,1.0,Bags Delivered,B-HSN,A320,passenger
2025-12-16,09:10,09:00,Hanoi,HAN,Vietnam Airlines,VN163,1,35L,5.0,Arrived,VN-A329,A321,passenger
2025-12-16,09:25,09:20,Ho Chi Minh City,SGN,Vietnam Airlines,VN112,1,35L,1.0,Arrived,VN-A326,A321,passenger
2025-12-16,09:40,09:38,Ho Chi Minh City,SGN,VietJet Air,VJ624,1,35L,2.0,Arrived,VN-A635,A321,passenger
2025-12-16,09:40,09:32,Hanoi,HAN,Vietnam Airlines,VN6081,1,35L,4.0,Arrived,VN-A363,A321,passenger
2025-12-16,10:05,09:50,Seoul,ICN,VietJet Air,VJ879,2,35L,3.0,Bags Delivered,VN-A667,A321,passenger
2025-12-16,10:20,10:15,Ho Chi Minh City,SGN,Vietravel Airlines,VU672,1,35L,3.0,Arrived,VN-A136,A320,passenger
2025-12-16,10:25,10:19,Ho Chi Minh City,SGN,Vietnam Airlines,VN118,1,35L,5.0,Arrived,VN-A505,A21N,passenger
2025-12-16,10:35,10:35,Kuala Lumpur,KUL,Malaysia Airlines,MH746,2,35L,2.0,Bags Delivered,9M-MXH,B738,passenger
2025-12-16,10:40,11:11,Kuala Lumpur,KUL,Air Asia,AK642,2,35R,4.0,Bags Delivered,9M-RAO,A320,passenger
2025-12-16,10:45,10:55,Ho Chi Minh City,SGN,VietJet Air,VJ626,1,35L,1.0,Arrived,VN-A549,A21N,passenger
2025-12-16,10:55,10:54,Seoul,ICN,T'Way Air,TW7,2,35R,3.0,Bags Delivered,HL8513,B38M,passenger
2025-12-16,11:00,10:48,Singapore,SIN,Singapore Airlines,SQ172,2,35L,1.0,Bags Delivered,9V-MBG,B38M,passenger
2025-12-16,11:05,11:18,Ho Chi Minh City,SGN,VietJet Air,VJ628,1,35R,3.0,Arrived,VN-A630,A321,passenger
2025-12-16,11:15,11:22,Hanoi,HAN,VietJet Air,VJ505,1,35R,4.0,Arrived,VN-A687,A321,passenger
2025-12-16,11:30,11:33,Ho Chi Minh City,SGN,Bamboo Airways,QH154,1,35R,1.0,Arrived,VN-A585,A321,passenger
2025-12-16,11:35,11:43,Hanoi,HAN,Vietnam Airlines,VN165,1,35R,3.0,Arrived,VN-A605,A321,passenger
2025-12-16,11:35,11:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN122,1,35R,5.0,Arrived,VN-A338,A321,passenger
2025-12-16,11:40,11:33,Hong Kong,HKG,Hong Kong Express Airways,UO502,2,35R,1.0,Bags Delivered,B-LCH,A320,passenger
