Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-18,23:56,02:48,Taipei,TPE,Emirates,EK9869,0,11L,Landed,A6-EFX,B77L,cargo
2025-12-18,23:54,01:44,Ho Chi Minh City,SGN,Vietnam Airlines,VN224,1,11L,Landed,VN-A602,A321,passenger
2025-12-18,23:50,05:55,Tokyo,NRT,All Nippon Airways,NH8447,0,11L,Landed,JA605F,B763,cargo
2025-12-18,23:47,01:40,Ho Chi Minh City,SGN,VietJet Air,VJ174,1,11L,Landed,VN-A673,A321,passenger
2025-12-18,23:34,01:41,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ882,1,11L,Landed,VN-A281,A21N,passenger
2025-12-18,23:31,00:59,Da Nang,DAD,VietJet Air,VJ518,1,11L,Landed,VN-A642,A321,passenger
2025-12-18,23:26,06:13,Tokyo,NRT,All Nippon Airways,NH897,2,11L,Landed,JA928A,B789,passenger
2025-12-18,23:20,01:46,Ho Chi Minh City,SGN,Vietravel Airlines,VU794,1,11L,Landed,VN-A136,A320,passenger
2025-12-18,23:15,01:36,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,11L,Landed,VN-A873,B78X,passenger
2025-12-18,23:13,01:09,Da Nang,DAD,VietJet Air,VJ520,1,11L,Landed,VN-A544,A321,passenger
2025-12-18,23:09,01:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN7240,1,11L,Landed,VN-A336,A321,passenger
2025-12-18,23:07,01:39,Guangzhou,CAN,China Southern Airlines,CZ371,2,11L,Landed,B-2408,A320,passenger
2025-12-18,22:59,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ190,1,11L,Landed,VN-A549,A21N,passenger
2025-12-18,22:55,01:34,Nha Trang,CXR,VietJet Air,VJ778,1,11L,Landed,VN-A635,A321,passenger
2025-12-18,22:52,02:44,Zhengzhou,CGO,Air Central,GI4201,0,11L,Landed,B-220N,B738,cargo
2025-12-18,22:49,02:43,Kuala Lumpur,KUL,Vietnam Airlines,VN680,2,11L,Landed,VN-A326,A321,passenger
2025-12-18,22:46,05:41,Tokyo,NRT,Japan Airlines,JL751,2,11L,Landed,JA606J,B763,passenger
2025-12-18,22:43,01:34,Ho Chi Minh City,SGN,Vietnam Airlines,VN220,1,11L,Landed,VN-A871,B789,passenger
2025-12-18,22:39,01:46,Can Tho,VCA,VietJet Air,VJ464,1,11L,Landed,VN-A651,A321,passenger
2025-12-18,22:34,04:33,Seoul,ICN,Asiana Airlines,OZ733,2,11L,Landed,HL8308,A359,passenger
2025-12-18,22:30,01:36,Ho Chi Minh City,SGN,Vietnam Airlines,VN256,1,11L,Landed,VN-A889,A359,passenger
2025-12-18,22:27,01:19,Siem Reap,SAI,Vietnam Airlines,VN842,2,11L,Landed,VN-A396,A321,passenger
2025-12-18,22:22,00:56,Hue,HUI,VietJet Air,VJ568,1,11L,Landed,VN-A661,A321,passenger
2025-12-18,22:19,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ160,1,11L,Landed,VN-A630,A321,passenger
2025-12-18,22:14,01:20,Bangkok,BKK,Vietnam Airlines,VN618,2,11L,Landed,VN-A608,A321,passenger
2025-12-18,22:13,01:32,Macau,MFM,Air Macau,NX982,2,11L,Landed,B-MBP,A20N,passenger
2025-12-18,22:09,04:35,Seoul,ICN,Korean Air,KE447,2,11L,Landed,HL8390,B789,passenger
2025-12-18,22:06,09:17,Sydney,SYD,China Southern Airlines,CZ416,0,11L,Landed,B-20EM,B77L,cargo
2025-12-18,22:04,04:46,Seoul,ICN,VietJet Air,VJ963,2,11L,Landed,VN-A633,A321,passenger
2025-12-18,22:00,01:41,Ho Chi Minh City,SGN,BBN Airlines Indonesia,QH268,1,11L,Landed,PK-BBK,B739,passenger
2025-12-18,21:54,01:03,Da Nang,DAD,N/A,VN6070,1,11L,Landed,VN-A363,A321,passenger
2025-12-18,21:51,01:36,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,11L,Landed,VN-A869,B789,passenger
2025-12-18,21:48,01:42,Chengdu,TFU,Sichuan Airlines,3U3905,2,11L,Landed,B-9935,A320,passenger
2025-12-18,21:42,04:38,Denpasar,DPS,VietJet Air,VJ998,2,11L,Landed,VN-A693,A21N,passenger
2025-12-18,21:38,01:48,Can Tho,VCA,Vietnam Airlines,VN1206,1,11L,Landed,VN-A512,A21N,passenger
2025-12-18,21:30,01:41,Ho Chi Minh City,SGN,VietJet Air,VJ196,1,11L,Landed,VN-A685,A321,passenger
2025-12-18,21:27,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN258,1,11L,Landed,VN-A886,A359,passenger
2025-12-18,21:24,01:41,Bangkok,DMK,AirAsia,FD644,2,11L,Landed,HS-EAE,A21N,passenger
2025-12-18,21:21,01:44,Shenzhen,SZX,China Southern Airlines,CZ8083,2,11L,Landed,B-9915,A320,passenger
2025-12-18,21:19,01:49,Ho Chi Minh City,SGN,VietJet Air,VJ166,1,29R,Landed,VN-A636,A321,passenger
2025-12-18,21:16,02:59,Taipei,TPE,VietJet Air,VJ943,2,11L,Landed,VN-A538,A21N,passenger
2025-12-18,21:13,01:48,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ878,1,11L,Landed,VN-A282,A21N,passenger
2025-12-18,21:09,04:42,Seoul,ICN,Vietnam Airlines,VN415,2,11L,Landed,VN-A888,A359,passenger
2025-12-18,21:07,01:29,Bangkok,BKK,FedEx,FX6002,0,11L,Landed,N109FE,B763,cargo
2025-12-18,21:03,01:55,Phu Quoc,PQC,VietJet Air,VJ1440,1,11L,Landed,VN-A534,A21N,passenger
2025-12-18,21:00,01:45,Da Lat,DLI,VietJet Air,VJ410,1,11L,Landed,VN-A689,A320,passenger
2025-12-18,20:58,06:11,Tokyo,NRT,VietJet Air,VJ935,2,11L,Landed,VN-A578,A21N,passenger
2025-12-18,20:54,00:56,Vientiane,VTE,Vietnam Airlines,VN920,2,11L,Landed,VN-A392,A321,passenger
2025-12-18,20:53,02:43,Taichung,RMQ,VietJet Air,VJ949,2,11L,Landed,VN-A525,A21N,passenger
2025-12-18,20:50,01:07,Da Nang,DAD,Vietnam Airlines,VN188,1,11L,Landed,VN-A513,A20N,passenger
2025-12-18,20:46,01:41,Nha Trang,CXR,Vietnam Airlines,VN1562,1,29R,Landed,VN-A335,A321,passenger
2025-12-18,20:43,01:01,Hue,HUI,Vietnam Airlines,VN1544,1,11L,Landed,VN-A603,A321,passenger
2025-12-18,20:40,00:50,Vientiane,VTE,VietJet Air,VJ20,2,11L,Landed,VN-A528,A21N,passenger
2025-12-18,20:38,03:34,Delhi,DEL,Atlas Air,5Y8132,0,11L,Landed,N439GT,B744,cargo
2025-12-18,20:35,01:00,Da Nang,DAD,Vietravel Airlines,VU658,1,11L,Landed,VN-A129,A321,passenger
2025-12-18,20:31,01:18,Siem Reap,SAI,VietJet Air,VJ914,2,11L,Landed,VN-A697,A21N,passenger
2025-12-18,20:26,01:06,Da Nang,DAD,VietJet Air,VJ516,1,11L,Landed,VN-A656,A320,passenger
2025-12-18,20:23,01:22,Bangkok,BKK,VietJet Air,VJ904,2,11L,Landed,VN-A536,A21N,passenger
2025-12-18,20:20,05:31,Tokyo,HND,Vietnam Airlines,VN385,2,11L,Landed,VN-A867,B789,passenger
2025-12-18,20:17,01:32,Phnom Penh,KTI,Air Cambodia,K6850,2,11L,Landed,XU-356,A320,passenger
2025-12-18,20:14,01:45,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ868,1,11L,Landed,VN-A280,A321,passenger
2025-12-18,20:12,01:08,Da Nang,DAD,Vietnam Airlines,VN7196,1,N/A,Landed,VN-A503,A21N,passenger
2025-12-18,20:09,01:52,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,11L,Landed,VN-A289,A321,passenger
2025-12-18,20:06,00:44,Luang Prabang,LPQ,Vietnam Airlines,VN930,2,11L,Landed,VN-A395,A321,passenger
2025-12-18,20:02,01:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,11L,Landed,VN-A878,B78X,passenger
2025-12-18,19:59,01:37,Nha Trang,CXR,VietJet Air,VJ784,1,11L,Landed,VN-A677,A321,passenger
2025-12-18,19:58,01:18,Pleiku,PXU,VietJet Air,VJ424,1,11L,Landed,VN-A672,A320,passenger
2025-12-18,19:54,00:59,Da Nang,DAD,Vietnam Airlines,VN180,1,11L,Landed,VN-A514,A20N,passenger
2025-12-18,19:50,02:42,Singapore,SIN,China Cargo Airlines,CK288,0,11L,Landed,B-227M,B77L,cargo
2025-12-18,19:48,01:00,Da Nang,DAD,Bamboo Airways,QH148,1,11L,Landed,VN-A585,A321,passenger
2025-12-18,19:44,06:00,Doha,DOH,Qatar Airways,QR984,2,11L,Landed,A7-BCD,B788,passenger
2025-12-18,19:42,06:25,Bahrain,BAH,DHL Air,QY574,0,11L,Landed,D-ALMA,A332,cargo
2025-12-18,19:38,01:44,Ho Chi Minh City,SGN,Bamboo Airways,QH262,1,11L,Landed,ER-00005,A320,passenger
2025-12-18,19:35,01:23,Siem Reap,SAI,Vietnam Airlines,VN836,2,11L,Landed,VN-A614,A321,passenger
2025-12-18,19:34,01:23,Bangkok,BKK,Thai Airways,TG564,2,11L,Landed,HS-TXQ,A320,passenger
2025-12-18,19:30,01:41,Ho Chi Minh City,SGN,VietJet Air,VJ152,1,11L,Landed,VN-A820,A333,passenger
2025-12-18,19:23,01:38,Chongqing,CKG,West Air,PN6423,2,11L,Landed,B-302F,A20N,passenger
2025-12-18,19:19,01:26,Buon Ma Thuot,BMV,VietJet Air,VJ1492,1,11L,Landed,VN-A642,A321,passenger
2025-12-18,19:15,01:47,Ho Chi Minh City,SGN,Vietnam Airlines,VN232,1,11L,Landed,VN-A332,A321,passenger
2025-12-18,19:15,05:17,Osaka,KIX,VietJet Air,VJ931,2,11L,Landed,VN-A539,A21N,passenger
2025-12-18,19:06,01:47,Hong Kong,HKG,Hong Kong Air Cargo,RH317,0,11L,Landed,B-LNW,A332,cargo
2025-12-18,19:00,01:55,Changsha,CSX,China Southern Airlines,CZ8359,2,11L,Landed,B-322V,A20N,passenger
2025-12-18,18:56,01:42,Shenzhen,SZX,Shenzhen Airlines,ZH105,2,11L,Landed,B-5607,B738,passenger
2025-12-18,18:54,01:35,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,11L,Landed,VN-A877,B78X,passenger
2025-12-18,18:51,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ194,1,11L,Landed,VN-A650,A320,passenger
2025-12-18,18:44,01:37,Ho Chi Minh City,SGN,Vietnam Airlines,VN252,1,11L,Landed,VN-A861,B789,passenger
2025-12-18,18:38,01:55,Hong Kong,HKG,Cathay Pacific,CX743,2,11L,Landed,B-HLU,A333,passenger
2025-12-18,18:34,01:57,Guangzhou,CAN,China Southern Airlines,CZ8177,2,11L,Landed,B-6775,A320,passenger
2025-12-18,18:30,04:00,Jakarta,CGK,VietJet Air,VJ928,2,11L,Landed,VN-A671,A320,passenger
2025-12-18,18:27,01:08,Da Nang,DAD,Vietnam Airlines,VN174,1,11L,Landed,VN-A625,A21N,passenger
2025-12-18,18:24,03:42,Chennai,MAA,N/A,N/A,0,N/A,Landed,VT-AFN,B738,cargo
2025-12-18,18:22,02:55,Taipei,TPE,China Airlines,CI6887,0,11L,Landed,B-18722,B744,cargo
2025-12-18,18:18,01:39,Phu Quoc,PQC,VietJet Air,VJ446,1,11L,Landed,VN-A647,A321,passenger
2025-12-18,18:15,01:41,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,11L,Landed,VN-A879,B78X,passenger
2025-12-18,18:13,03:20,Shanghai,PVG,Vietnam Airlines,VN533,2,11L,Landed,VN-A508,A21N,passenger
2025-12-18,18:09,01:39,Phu Quoc,PQC,Sun PhuQuoc Airways,SPQ1216,1,11L,Landed,VN-A279,A321,passenger
2025-12-18,18:06,01:29,Nha Trang,CXR,Vietnam Airlines,VN1558,1,11L,Landed,VN-A507,A21N,passenger
2025-12-18,18:03,00:55,Luang Prabang,LPQ,Lao Airlines,QV313,2,11L,Landed,RDPL-34225,AT76,passenger
2025-12-18,17:59,05:27,Abu Dhabi,AUH,Etihad Airways,EY430,2,11L,Landed,A6-BLJ,B789,passenger
2025-12-18,17:55,00:32,Dien Bien Phu,DIN,Vietnam Airlines,VN1805,1,11L,Landed,VN-A396,A321,passenger
2025-12-18,17:52,01:18,Bangkok,BKK,Vietnam Airlines,VN614,2,11L,Landed,VN-A619,A21N,passenger
2025-12-18,17:49,02:35,Kaohsiung,KHH,VietJet Air,VJ947,2,11L,Landed,VN-A673,A321,passenger
2025-12-18,17:40,01:02,Da Nang,DAD,VietJet Air,VJ514,1,11L,Landed,VN-A635,A321,passenger
2025-12-18,17:37,03:34,Shanghai,PVG,China Eastern Airlines,MU6013,2,11L,Landed,B-32HY,A21N,passenger
2025-12-18,17:34,02:50,Singapore,SIN,VietJet Air,VJ916,2,11L,Landed,VN-A544,A321,passenger
2025-12-18,17:32,01:45,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ854,1,11L,Landed,VN-A281,A21N,passenger
2025-12-18,17:29,01:45,Ho Chi Minh City,SGN,VietJet Air,VJ134,1,N/A,Landed,VN-A552,A21N,passenger
2025-12-18,17:26,01:44,Guangzhou,CAN,Vietnam Airlines,VN507,2,11L,Landed,VN-A324,A321,passenger
2025-12-18,17:22,01:40,Phu Quoc,PQC,N/A,VN6400,1,11L,Landed,VN-A363,A321,passenger
2025-12-18,17:20,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,11L,Landed,VN-A873,B78X,passenger
2025-12-18,17:17,01:44,Hong Kong,HKG,Cathay Pacific,CX3247,0,29R,Landed,B-LJM,B748,cargo
2025-12-18,17:14,03:01,Singapore,SIN,Singapore Airlines,SQ194,2,11L,Landed,9V-MBA,B38M,passenger
2025-12-18,17:10,02:57,Taipei,TPE,STARLUX,JX717,2,11L,Landed,B-58204,A21N,passenger
2025-12-18,17:02,01:19,Bangkok,BKK,VietJet Air,VJ902,2,11L,Landed,VN-A651,A321,passenger
2025-12-18,16:58,00:39,Luang Prabang,LPQ,AirAsia,FD1038,2,11L,Landed,HS-BBB,A320,passenger
2025-12-18,16:53,04:36,Denpasar,DPS,VietJet Air,VJ900,2,11L,Landed,VN-A674,A21N,passenger
2025-12-18,16:52,02:58,Taipei,TPE,EVA Air,BR385,2,11L,Landed,B-16218,A321,passenger
2025-12-18,16:47,01:42,Ho Chi Minh City,SGN,VietJet Air,VJ144,1,N/A,Landed,VN-A549,A21N,passenger
2025-12-18,16:44,06:30,Ashgabat,ASB,Turkmenistan Airlines,T5697,0,11L,Landed,EZ-F429,A332,cargo
2025-12-18,16:41,03:23,Shanghai,PVG,Air China,CA755,2,11L,Landed,B-6885,A321,passenger
2025-12-18,16:38,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN214,1,11L,Landed,VN-A871,B789,passenger
2025-12-18,16:36,04:52,Hiroshima,HIJ,VietJet Air,VJ953,2,11L,Landed,VN-A658,A320,passenger
2025-12-18,16:33,03:48,Beijing,PEK,N/A,N/A,2,11L,Landed,VH-ULJ,LJ60,business jet
2025-12-18,16:27,02:58,Taipei,TPE,China Airlines,CI793,2,11L,Landed,B-18108,A21N,passenger
2025-12-18,16:17,01:47,Can Tho,VCA,Vietnam Airlines,VN1202,1,11L,Landed,VN-A397,A321,passenger
2025-12-18,16:13,01:32,Da Lat,DLI,Vietnam Airlines,VN1574,1,11L,Landed,VN-A513,A20N,passenger
2025-12-18,16:09,01:40,Ho Chi Minh City,SGN,Vietravel Airlines,VU770,1,11L,Landed,VN-A129,A321,passenger
2025-12-18,16:06,00:58,Da Nang,DAD,Vietnam Airlines,VN170,1,11L,Landed,VN-A603,A321,passenger
2025-12-18,16:02,00:44,Vientiane,VTE,Lao Airlines,QV311,2,11L,Landed,RDPL-34199,A320,passenger
2025-12-18,15:58,01:58,Con Dao,VCS,VietJet Air,VJ104,1,11L,Landed,B-656E,AJ27,passenger
2025-12-18,15:54,01:52,Can Tho,VCA,VietJet Air,VJ462,1,11L,Landed,VN-A656,A320,passenger
2025-12-18,15:50,01:25,Tuy Hoa,TBB,Vietnam Airlines,VN1650,1,11L,Landed,VN-A606,A321,passenger
2025-12-18,15:47,01:00,Da Nang,DAD,Vietnam Airlines,VN168,1,11L,Landed,VN-A608,A321,passenger
2025-12-18,15:39,01:30,Phnom Penh,KTI,Air Cambodia,K6854,2,11L,Landed,XU-350,A321,passenger
2025-12-18,15:35,,Da Lat,DLI,VietJet Air,VJ408,1,11L,Landed,VN-A689,A320,passenger
2025-12-18,15:32,01:47,Ho Chi Minh City,SGN,Avion Express,VU778,1,11L,Landed,9H-MLW,A320,passenger
2025-12-18,15:29,01:36,Da Lat,DLI,Bamboo Airways,QH1422,1,11L,Landed,VN-A227,A321,passenger
2025-12-18,15:26,02:46,Singapore,SIN,Vietnam Airlines,VN660,2,11L,Landed,VN-A512,A21N,passenger
2025-12-18,15:23,08:30,Istanbul,IST,Turkish Airlines,TK164,2,11L,Landed,TC-LLS,B789,passenger
2025-12-18,15:21,01:40,Ho Chi Minh City,SGN,BBN Airlines Indonesia,QH242,1,11L,Landed,PK-BBK,B739,passenger
2025-12-18,15:16,01:31,Nha Trang,CXR,Vietnam Airlines,VN7550,1,11L,Landed,VN-A357,A321,passenger
2025-12-18,15:09,01:18,Qui Nhon,UIH,Vietnam Airlines,VN1622,1,11L,Landed,VN-A514,A20N,passenger
2025-12-18,15:06,01:36,Ho Chi Minh City,SGN,Vietnam Airlines,VN248,1,11L,Landed,VN-A886,A359,passenger
2025-12-18,15:03,01:41,Nha Trang,CXR,VietJet Air,VJ770,1,11L,Landed,VN-A661,A321,passenger
2025-12-18,15:00,01:49,Shenzhen,SZX,China Southern Airlines,CZ8469,2,11L,Landed,B-1846,A321,passenger
2025-12-18,14:58,01:44,Nha Trang,CXR,Vietnam Airlines,VN1552,1,11L,Landed,VN-A335,A321,passenger
2025-12-18,14:55,03:05,Wuhu,WHA,N/A,JG2723,0,11L,Landed,B-226S,B738,cargo
2025-12-18,14:52,02:51,Kuala Lumpur,KUL,AirAsia,AK512,2,11L,Landed,9M-RAO,A320,passenger
2025-12-18,14:49,01:37,Da Lat,DLI,VietJet Air,VJ404,1,11L,Landed,VN-A643,A321,passenger
2025-12-18,14:46,01:35,Nha Trang,CXR,VietJet Air,VJ780,1,11L,Landed,VN-A677,A321,passenger
