Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-22,23:52,00:56,Hue,HUI,Vietnam Airlines,VN1548,1,11L,Landed,VN-A601,A321,passenger
2025-12-22,23:48,04:26,Ulaanbaatar,UBN,Aero Mongolia,M0535,2,11L,Landed,JU-1188,A319,passenger
2025-12-22,23:43,04:08,Seoul,ICN,Jeju Air,7C2201,2,11L,Landed,HL8523,B38M,passenger
2025-12-22,23:36,01:45,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ882,1,11L,Landed,VN-A279,A321,passenger
2025-12-22,23:25,05:41,Tokyo,NRT,All Nippon Airways,NH8447,0,11L,Landed,JA602F,B763,cargo
2025-12-22,23:22,01:39,Ho Chi Minh City,SGN,VietJet Air,VJ164,1,11L,Landed,VN-A815,A333,passenger
2025-12-22,23:15,01:03,Da Nang,DAD,VietJet Air,VJ518,1,11L,Landed,VN-A677,A321,passenger
2025-12-22,23:11,01:24,Siem Reap,SAI,VietJet Air,VJ914,2,11L,Landed,VN-A544,A321,passenger
2025-12-22,23:08,01:32,Nha Trang,CXR,VietJet Air,VJ778,1,11L,Landed,VN-A525,A21N,passenger
2025-12-22,23:00,01:42,Ho Chi Minh City,SGN,Vietravel Airlines,VU794,1,11L,Landed,VN-A136,A320,passenger
2025-12-22,22:52,01:44,Ho Chi Minh City,SGN,Bamboo Airways,QH286,1,11L,Landed,VN-A585,A321,passenger
2025-12-22,22:50,01:32,Guangzhou,CAN,China Southern Airlines,CZ371,2,11L,Landed,B-32JL,A20N,passenger
2025-12-22,22:46,01:45,Ho Chi Minh City,SGN,VietJet Air,VJ180,1,11L,Landed,VN-A534,A21N,passenger
2025-12-22,22:42,02:36,Zhengzhou,CGO,Air Central,GI4201,0,11L,Landed,B-221E,B738,cargo
2025-12-22,22:39,05:41,Tokyo,NRT,All Nippon Airways,NH897,2,11L,Landed,JA928A,B789,passenger
2025-12-22,22:37,12:50,Anchorage,ANC,UPS,5X72,0,11L,Landed,N633UP,B748,cargo
2025-12-22,22:32,05:23,Tokyo,NRT,Japan Airlines,JL751,2,11L,Landed,JA618J,B763,passenger
2025-12-22,22:28,01:49,Ho Chi Minh City,SGN,VietJet Air,VJ196,1,N/A,Landed,VN-A817,A333,passenger
2025-12-22,22:25,01:54,Can Tho,VCA,VietJet Air,VJ464,1,11L,Landed,VN-A552,A21N,passenger
2025-12-22,22:23,04:10,Seoul,ICN,Asiana Airlines,OZ733,2,11L,Landed,HL8382,A359,passenger
2025-12-22,22:20,02:45,Kuala Lumpur,KUL,Vietnam Airlines,VN680,2,11L,Landed,VN-A329,A321,passenger
