Crawl_Date,Scheduled_Time,Actual_Time,Destination,IATA,Airline,Flight_No,Checkin_Time,Terminal,Checkin_Counter,Gate,Status,Tail_Number,Aircraft_Type,Category,Is_Fixed_Flight,Departure_Runway
2025-12-16,00:30,00:30,Tokyo,NRT,Vietnam Airlines,VN318,21:30,2,21-23,3.0,Departed,VN-A336,A321,passenger,0,35R
2025-12-16,00:30,00:30,Macau,MFM,Air Macau,NX977,21:30,0,18-20,4.0,Departed,B-MBA,A321,general aviation,1,35R
2025-12-16,00:40,01:15,Seoul,ICN,Air Seoul,RS512,21:40,2,14-17,5.0,Departed,HL7790,A321,passenger,1,35R
2025-12-16,00:45,01:35,Busan,PUS,Air Busan,BX774,21:45,0,35-38,7.0,Departed,HL8365,A321,general aviation,1,35R
2025-12-16,01:00,01:00,Daegu,TAE,T'Way Air,TW30,20:35,2,31-32,8.0,Departed,HL8067,B738,passenger,0,35R
2025-12-16,01:05,01:05,Busan,PUS,Jin Air,LJ112,21:55,2,50-53,2.0,Departed,HL7561,B738,passenger,1,35R
2025-12-16,01:20,01:20,Seoul,ICN,Eastar Jet,ZE594,22:20,2,9-12,9.0,Departed,HL8543,B38M,passenger,1,35R
2025-12-16,01:30,01:30,Seoul,ICN,T'Way Air,TW14,21:20,2,33-34,10.0,Departed,HL8000,B738,passenger,1,35R
2025-12-16,02:00,02:00,Busan,PUS,Air Busan,BX7325,22:10,0,39-40,4.0,Departed,HL8257,A321,general aviation,1,35R
2025-12-16,02:00,02:00,Cheongju,CJJ,Aero-K Airlines,RF532,23:00,2,4-7,5.0,Departed,HL8562,A320,passenger,1,35R
2025-12-16,03:00,03:00,Busan,PUS,Korean Air,KE2094,00:00,2,16-22,6.0,Departed,HL7709,A333,passenger,1,35R
2025-12-16,05:45,05:45,Hanoi,HAN,VietJet Air,VJ502,03:45,1,27-34,4.0,Departed,VN-A651,A321,passenger,0,35R
2025-12-16,05:45,05:45,Da Lat,DLI,Vietnam Airlines,VN1955,07:50,1,3-16,7.0,Departed,VN-A395,A321,passenger,0,35R
2025-12-16,06:00,06:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN101,04:00,1,3-16,6.0,Departed,VN-A503,A21N,passenger,0,35R
2025-12-16,06:25,06:25,Ho Chi Minh City,SGN,VietJet Air,VJ621,04:25,1,27-34,5.0,Departed,VN-A640,A321,passenger,0,35R
2025-12-16,06:35,06:35,Hanoi,HAN,Vietnam Airlines,VN156,04:35,1,3-16,9.0,Departed,VN-A602,A321,passenger,0,35R
2025-12-16,07:50,07:50,Ho Chi Minh City,SGN,VietJet Air,VJ629,05:50,1,27-34,3.0,Departed,VN-A630,A321,passenger,0,35R
2025-12-16,07:50,07:50,Hanoi,HAN,VietJet Air,VJ506,05:50,1,27-34,2.0,Departed,VN-A687,A321,passenger,1,35R
2025-12-16,08:05,08:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN107,06:05,1,3-16,7.0,Departed,VN-A338,A321,passenger,0,35R
2025-12-16,08:10,08:10,Ho Chi Minh City,SGN,Bamboo Airways,QH151,06:10,1,43-45,4.0,Departed,JU-1410,A320,passenger,0,35R
