Crawl_Date,Scheduled_Time,Actual_Time,Destination,IATA,Airline,Flight_No,Terminal,Departure_Runway,Status,Scheduled_Tail,Aircraft_Type,Is_Fixed_Flight,Category
2025-12-16,23:30,23:58,Shanghai,PVG,Spring Airlines,9C7558,2,25L,Departed,B-32HK,A20N,0,passenger
2025-12-16,23:20,23:56,Hanoi,HAN,VietJet Air,VJ182,1,25L,Departed,VN-A644,A321,0,passenger
2025-12-16,23:25,23:46,Paris,CDG,Vietnam Airlines,VN11,2,25L,Departed,VN-A896,A359,0,passenger
2025-12-16,23:00,23:32,Da Nang,DAD,VietJet Air,VJ636,1,25L,Departed,VN-A656,A320,0,passenger
2025-12-16,23:25,23:29,Hanoi,HAN,Bamboo Airways,QH282,3,25L,Departed,VN-A227,A321,0,passenger
2025-12-16,22:45,23:26,Hanoi,HAN,VietJet Air,VJ178,1,25L,Departed,VN-A637,A321,1,passenger
2025-12-16,23:05,23:24,Tokyo,HND,All Nippon Airways,NH892,2,25L,Departed,JA900A,B78X,1,passenger
2025-12-16,22:15,22:44,Seoul,ICN,VietJet Air,VJ864,2,25L,Departed,VN-A671,A320,0,passenger
2025-12-16,22:40,22:40,Sydney,SYD,Jetstar,JQ62,2,25L,Departed,VH-VKF,B788,0,passenger
2025-12-16,00:29,22:32,Hanoi,HAN,Vietnam Airlines,VN7206,3,25L,Departed,VN-A505,A21N,0,passenger
2025-12-16,20:55,22:29,Da Nang,DAD,Vietnam Airlines,VN148,3,25L,Departed,VN-A326,A321,0,passenger
2025-12-16,,22:26,Hong Kong,HKG,DHL Air,LD562,0,25L,Departed,B-LDR,A333,0,cargo
2025-12-16,22:00,22:18,Hanoi,HAN,VietJet Air,VJ160,1,25L,Departed,VN-A635,A321,0,passenger
2025-12-16,22:00,22:13,Hanoi,HAN,Vietnam Airlines,VN224,3,25L,Departed,VN-A503,A21N,0,passenger
2025-12-16,22:15,22:11,Istanbul,IST,Turkish Airlines,TK163,2,25L,Departed,TC-LLO,B789,1,passenger
2025-12-16,21:45,22:05,Guangzhou,CAN,VietJet Air,VJ3908,2,25L,Departed,VN-A674,A21N,0,passenger
2025-12-16,,21:58,Guangzhou,CAN,FedEx,FX6067,0,25L,Departed,N121FE,B763,0,general aviation
2025-12-16,20:00,21:56,Hanoi,HAN,Vietnam Airlines,VN220,3,25L,Departed,VN-A872,B78X,0,passenger
2025-12-16,21:35,21:53,Bangkok,DMK,AirAsia,FD659,2,25L,Departed,HS-CBJ,A20N,1,passenger
2025-12-16,20:30,21:50,Hanoi,HAN,Vietnam Airlines,VN256,3,25L,Departed,VN-A508,A21N,0,passenger
2025-12-16,23:23,21:39,Hanoi,HAN,Sun PhuQuoc Airways,9G882,3,25L,Departed,VN-A279,A321,0,passenger
2025-12-16,20:30,21:37,Haiphong,HPH,Vietnam Airlines,VN1188,3,25L,Departed,VN-A338,A321,0,passenger
2025-12-16,21:25,21:35,Da Nang,DAD,VietJet Air,VJ640,1,25L,Departed,VN-A663,A320,0,passenger
2025-12-16,20:15,21:33,Kuala Lumpur,KUL,AirAsia,AK525,2,25L,Departed,9M-DAG,A320,1,passenger
2025-12-16,21:10,21:30,Melbourne,MEL,Vietnam Airlines,VN781,2,25L,Departed,VN-A899,A359,1,passenger
2025-12-16,21:00,21:28,Hanoi,HAN,Vietnam Airlines,VN260,3,25L,Departed,VN-A603,A321,0,passenger
2025-12-16,22:09,21:26,Nha Trang,CXR,Vietnam Airlines,VN7350,3,25L,Departed,VN-A357,A321,0,passenger
2025-12-16,21:05,21:22,Hue,HUI,VietJet Air,VJ314,1,25L,Departed,VN-A685,A321,0,passenger
2025-12-16,21:05,21:20,Hanoi,HAN,Vietravel Airlines,VU794,3,25L,Departed,VN-A136,A320,0,passenger
2025-12-16,21:15,21:17,Sydney,SYD,Vietnam Airlines,VN773,2,25L,Departed,VN-A893,A359,1,passenger
2025-12-16,20:55,21:15,Delhi,DEL,Air India,AI2389,2,25L,Departed,VT-EXH,A20N,1,passenger
2025-12-16,20:40,21:08,Da Nang,DAD,VietJet Air,VJ646,1,25L,Departed,VN-A546,A21N,0,passenger
2025-12-16,20:50,21:01,Hanoi,HAN,Bamboo Airways,QH286,3,25L,Departed,VN-A585,A321,0,passenger
2025-12-16,20:10,20:55,Bangkok,BKK,Thai Airways,TG557,2,25L,Departed,HS-TXQ,A320,1,passenger
2025-12-16,20:15,20:53,Hanoi,HAN,VietJet Air,VJ180,1,25L,Departed,VN-A661,A321,0,passenger
2025-12-16,20:30,20:50,Phu Quoc,PQC,Vietnam Airlines,VN1835,3,25L,Departed,VN-A325,A321,0,passenger
2025-12-16,17:50,20:47,Hanoi,HAN,Vietnam Airlines,VN7260,3,25L,Departed,VN-A324,A321,0,passenger
2025-12-16,20:30,20:37,Yangon,RGN,Myanmar Airways International,8M453,2,25L,Departed,XY-AGV,A319,0,passenger
2025-12-16,20:00,20:34,Haiphong,HPH,VietJet Air,VJ282,1,25L,Departed,VN-A677,A321,0,passenger
2025-12-16,19:50,20:30,Thanh Hoa,THD,Vietnam Airlines,VN1278,3,25L,Departed,VN-A515,A20N,0,passenger
2025-12-16,19:50,20:27,Phu Quoc,PQC,Vietnam Airlines,VN7827,3,25L,Departed,VN-A331,A321,0,passenger
2025-12-16,01:29,20:23,Shanghai,PVG,VietJet Air,VJ3900,2,25L,Departed,VN-A630,A321,0,passenger
2025-12-16,19:50,20:20,Singapore,SIN,Singapore Airlines,SQ185,2,25L,Departed,9V-SCC,B78X,1,passenger
2025-12-16,19:30,20:17,Siem Reap,SAI,Vietnam Airlines,VN815,2,25L,Departed,VN-A396,A321,0,passenger
2025-12-16,19:40,20:14,Hyderabad,HYD,VietJet Air,VJ1803,2,25L,Departed,VN-A550,A21N,0,passenger
2025-12-16,19:35,20:10,Hong Kong,HKG,Cathay Pacific,CX764,0,25L,Departed,B-HLT,A333,1,general aviation
2025-12-16,19:25,20:08,Mumbai,BOM,VietJet Air,VJ883,2,25L,Departed,VN-A547,A21N,0,passenger
2025-12-16,19:30,20:06,Phu Quoc,PQC,VietJet Air,VJ1321,1,25L,Departed,VN-A516,A21N,0,passenger
