feature,missing_rate,mean,std,min,p50,p95,max
Terminal,0.002363333984204041,1.7306503428540576,0.8104629580731817,0.0,2.0,3.0,3.0
Arrival_Flight_Duration_Minutes,0.5999434415798652,138.98651878281945,110.15213750679672,8.0,103.0,356.0,998.0
Source_Row_Index,0.0,14653.95548044358,9849.958749610592,0.0,12743.0,32956.0,36734.0
Belt,0.9188386671065655,2.803965488634478,1.295979475826098,1.0,3.0,5.0,5.0
Arrival_Delay_This_Leg,0.5031208128252951,2.5074529784812185,17.456723332950066,-685.0,0.0,19.0,625.0
Is_Imputed_Link,0.0,0.01025458022205913,0.1007446879221597,0.0,0.0,0.0,1.0
Median_Turnaround_Time,0.5031208128252951,63.62289283972031,11.395855646425828,35.0,60.0,90.0,90.0
Tail_Sequence_Day,0.0,2.1691029430577906,1.4343852031567565,1.0,2.0,5.0,10.0
Is_First_Flight,0.0,0.4683710501686653,0.49900028666764784,0.0,0.0,1.0,1.0
Arrival_Delay,0.0,2.0222799776459577,15.721087198006073,-685.0,0.0,15.0,625.0
Accumulated_Delay,0.0,3.610420215595311,21.289701971192116,0.0,0.0,18.0,1260.0
Standard_Turnaround,0.0,63.68016886728297,11.444575587689695,35.0,60.0,90.0,90.0
Departure_Delay,0.4968791871747049,33.277130200875234,49.360692060213886,-705.0,23.0,113.0,1466.0
Departure_Delay_Reg_Target,0.4968791871747049,34.061814969955705,45.83873882650155,-60.0,23.0,113.0,720.0
Turnaround_Buffer,0.4968791871747049,296.3468276166642,685.2780208365016,0.0,79.0,1166.8999999999942,4320.0
Turnaround_Buffer_Model,0.5080427420060732,230.051652638062,449.11375241883115,1.0,78.0,894.0,4320.0
Is_Long_Ground_Turnaround,0.0,0.008315434388866071,0.09080937982179424,0.0,0.0,0.0,1.0
Tail_Stagnation_Duration,0.0,122.47769645634565,503.5540089821093,0.0,0.0,561.0,4320.0
Tail_Stagnation_Duration_Model,0.505194621563571,174.92740311343348,445.5818776683124,0.0,14.0,832.6499999999942,4320.0
Scheduled_Turnaround_Deficit,0.0,4.644920851877537,12.111058014981078,0.0,0.0,35.0,89.0
Scheduled_Turnaround_Slack,0.0,256.90702199718555,2517.868998461337,0.0,0.0,561.0,120985.0
Prev_Departure_Delay_Tail_1,0.5260067735441256,31.7158827790957,44.395513859227144,-705.0,23.0,105.0,1466.0
Prev_Departure_Delay_Tail_2,0.533770090022152,33.60169834209462,48.5195977227167,-705.0,23.0,114.0,1466.0
Prev_Turnaround_Buffer_Tail_1,0.5257172482981975,227.2453009653606,436.9599741411919,1.0,77.0,883.0,4320.0
Prev_Turnaround_Buffer_Tail_2,0.540099246561046,225.73737994846567,429.53170916129324,1.0,77.0,873.8499999999985,4320.0
Rolling_Departure_Delay_Tail_3,0.5172738841495027,33.04701462697948,36.60466021061767,-664.0,25.666666666666668,94.0,1466.0
Rolling_Turnaround_Buffer_Tail_3,0.5198190130555687,225.323384654215,298.91723782488936,1.0,137.0,735.8333333333333,4320.0
Prev_Departure_Delay_Airport_1,0.9032379695527172,-5.814209171247652,39.50419402739609,-705.0,0.0,13.0,67.0
Rolling_Departure_Delay_Airport_3,0.7808563214134219,-3.2955827982097685,38.06453506982329,-687.0,2.0,18.0,71.5
Is_Diverted_Prev,0.0,0.0003972555699944115,0.019927378948105732,0.0,0.0,0.0,1.0
Airport_Load_Factor,0.0,0.38963470558418006,0.1301372842397212,0.0,0.4090909090909091,0.5675675675675675,0.7916666666666666
Number_of_Flights_in_Last_Hour,0.0,14.602306775564069,6.319668598212035,0.0,15.0,24.0,28.0
Flight_Density_Disruption,0.0,0.019924975010168107,0.07409980714796827,0.0,0.0,0.16666666666666666,1.0
Is_Parallel_Usage,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Previous_Station_Disruption,0.0,0.00477182377322506,0.03943402569530195,0.0,0.0,0.0,1.0
Runway_Swap_Event,0.0,0.007507456958368963,0.08632001632315801,0.0,0.0,0.0,1.0
Is_Wide_Body,0.0,0.14388058093577252,0.35096978324745737,0.0,0.0,1.0,1.0
