id,text,admin_label,hunf_label,huong_label,Ground_Truth,Flight_No,Departure_Delay,LLM_Delay_Code
1102,"Chuyến bay: CX766 | Thời gian trễ: 117.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 6.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 0.0.
- Tải lượng sân bay đi (Airport Load Factor): 1.2045454545454546.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 0.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 5.0.
",CODE_89,CODE_89,CODE_89,CODE_89,CX766,117.0,CODE_89
1103,"Chuyến bay: VJ513 | Thời gian trễ: 29.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 32.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 0.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.7297297297297297.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 1.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 4.0.",CODE_89,CODE_99,CODE_99,CODE_99,VJ513,29.0,CODE_71
1104,"Chuyến bay: VN7165 | Thời gian trễ: 317.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 758.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 1.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.7027027027027027.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 1.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 2.0.
",CODE_99,CODE_99,CODE_99,CODE_99,VN7165,317.0,MISSING
1105,"Chuyến bay: OD572 | Thời gian trễ: 22.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 45.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 2.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.7567567567567568.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 0.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 3.0.
",CODE_99,CODE_99,CODE_99,CODE_99,OD572,22.0,CODE_89
1106,"Chuyến bay: VJ282 | Thời gian trễ: 24.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 127.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 0.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.7272727272727273.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 0.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 3.0.
",CODE_99,CODE_99,CODE_99,CODE_99,VJ282,24.0,CODE_93
1107,"Chuyến bay: AK1503 | Thời gian trễ: 22.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 50.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 0.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.8409090909090909.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 0.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 5.0.
",CODE_99,CODE_89,CODE_99,CODE_99,AK1503,22.0,CODE_71
1108,"Chuyến bay: VN7010 | Thời gian trễ: 34.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 51.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 0.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.7954545454545454.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 0.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 2.0.
",CODE_99,CODE_99,CODE_99,CODE_99,VN7010,34.0,CODE_89
1109,"Chuyến bay: VN119 | Thời gian trễ: 165.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 28.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 0.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.6666666666666666.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 1.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 2.0.
",CODE_99,CODE_99,CODE_89,CODE_99,VN119,165.0,CODE_81
1110,"Chuyến bay: VN170 | Thời gian trễ: 25.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 8.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 0.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.5416666666666666.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 0.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 1.0.
",CODE_93#CODE_99,CODE_99,CODE_99,CODE_99,VN170,25.0,CODE_93
1111,"Chuyến bay: CZ8466 | Thời gian trễ: 15.0 phút.
----------------------------------------
- Quỹ thời gian quay đầu (Turnaround Buffer): 77.0 phút.
- Thời gian trễ tích lũy từ chặng trước (Accumulated Delay): 0.0 phút.
- Chỉ số rủi ro thời tiết tại sân bay đi (Weather Risk Score): 1.0.
- Tải lượng sân bay đi (Airport Load Factor): 0.6590909090909091.
- Nguy cơ tắc nghẽn tại điểm đến (Destination Congestion Risk): 0.0.
- Áp dụng bãi đỗ xa (Is Remote Stand): Không (0).
- Nguy cơ tắc nghẽn do không lưu (Taxi_Out_Congestion): 2.0.
",CODE_99,CODE_99,CODE_99,CODE_99,CZ8466,15.0,CODE_71
