time,Airport,temperature,precipitation,cloudcover,wind_speed,wind_direction,pressure,humidity,visibility,dew_point_2m,weather_code,cape,lifted_index,cloud_cover_low,Visibility_SM,Visibility_Deficit_5KM_M,Visibility_Deficit_3SM_M,Visibility_Severity_Score,Dew_Point_Spread_C,Wind_Sector,Wind_Runway_Relative_Angle_Deg,Crosswind_Kmh,Headwind_Kmh,Tailwind_Default_Runway_Kmh,Wind_Kt,Crosswind_Kt,Headwind_Kt,Tailwind_Default_Runway_Kt,Temp_Change_1H_C,Temp_Change_3H_C,Pressure_Change_3H_Hpa,Precip_Cumsum_1H_Mm,Precip_Cumsum_3H_Mm,Precip_Cumsum_6H_Mm,Wind_Gust_Estimate_Kmh,Crosswind_Max_3H_Kmh,Wind_Gust_Estimate_Kt,Crosswind_Max_3H_Kt,Gust_Variation_Kmh,Gust_Variation_Kt,Is_Rain,Is_Heavy_Rain,Is_Low_Visibility,Is_Fog,Is_Dewpoint_Spread_Le_1_5C,Is_Radiation_Fog_Risk,Is_WMO_Rain_Code,Is_Below_3SM_Visibility,Is_Below_1SM_Visibility,Is_Crosswind_10kt,Is_Tailwind_Default_Runway_5kt,Is_Low_Ceiling_Risk,Is_Severe_Convection_Risk,Is_Thunderstorm_Risk,Convective_Severity_Score,Runway_Wet_Risk,Forced_Runway_Swap_Risk,Weather_Delay_Risk_Score,Aviation_Operational_Risk_Score
2025-12-15 00:00:00,DAD,22.9,0.2,33,15.8,38,1016.5,83,7100.0,19.9,51,50.0,1.8,22,4.41,0.0,0.0,0,3.0,NE,48.0,11.74,10.57,0.0,8.53,6.34,5.71,0.0,,,,0.2,0.2,0.2,15.8,11.74,8.53,6.34,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2025-12-15 01:00:00,DAD,22.2,0.3,100,12.6,31,1016.4,87,6380.0,20.0,51,50.0,1.6,34,3.96,0.0,0.0,0,2.2,NE,41.0,8.27,9.51,0.0,6.8,4.46,5.13,0.0,-0.7,,,0.3,0.5,0.5,15.8,11.74,8.53,6.34,3.2,1.73,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2
2025-12-15 02:00:00,DAD,22.0,0.3,100,14.2,33,1016.2,88,8600.0,19.9,51,30.0,1.2,41,5.34,0.0,0.0,0,2.1,NE,43.0,9.68,10.39,0.0,7.67,5.23,5.61,0.0,-0.2,,,0.3,0.8,0.8,15.8,11.74,8.53,6.34,1.6,0.86,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2
2025-12-15 03:00:00,DAD,22.0,0.2,98,11.8,6,1015.7,88,10280.0,20.0,51,60.0,1.1,70,6.39,0.0,0.0,0,2.0,N,16.0,3.25,11.34,0.0,6.37,1.76,6.12,0.0,0.0,-0.9,-0.8,0.2,0.8,1.0,14.2,9.68,7.67,5.23,2.4,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2
2025-12-15 04:00:00,DAD,22.0,0.1,100,9.4,1,1015.6,90,7320.0,20.4,51,60.0,1.2,100,4.55,0.0,0.0,0,1.6,N,11.0,1.79,9.23,0.0,5.08,0.97,4.98,0.0,0.0,-0.2,-0.8,0.1,0.6,1.1,14.2,9.68,7.67,5.23,4.8,2.59,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,3
2025-12-15 05:00:00,DAD,22.2,0.1,98,9.3,24,1015.6,91,8740.0,20.6,51,100.0,1.4,93,5.43,0.0,0.0,0,1.6,NE,34.0,5.2,7.71,0.0,5.02,2.81,4.16,0.0,0.2,0.2,-0.6,0.1,0.4,1.2,11.8,5.2,6.37,2.81,2.5,1.35,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,3
2025-12-15 06:00:00,DAD,22.0,0.2,100,10.4,37,1016.0,89,5840.0,20.0,51,30.0,1.5,94,3.63,0.0,0.0,0,2.0,NE,47.0,7.61,7.09,0.0,5.62,4.11,3.83,0.0,-0.2,0.0,0.3,0.2,0.4,1.2,10.4,7.61,5.62,4.11,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,3
2025-12-15 07:00:00,DAD,21.6,1.2,100,10.4,32,1016.5,93,6560.0,20.5,55,50.0,1.8,95,4.08,0.0,0.0,0,1.1,NE,42.0,6.96,7.73,0.0,5.62,3.76,4.17,0.0,-0.4,-0.4,0.9,1.2,1.5,2.1,10.4,7.61,5.62,4.11,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,2,3
2025-12-15 08:00:00,DAD,22.8,0.2,95,10.7,37,1017.5,90,10060.0,21.0,51,140.0,1.7,79,6.25,0.0,0.0,0,1.8,NE,47.0,7.83,7.3,0.0,5.78,4.23,3.94,0.0,1.2,0.6,1.9,0.2,1.6,2.0,10.7,7.83,5.78,4.23,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2
2025-12-15 09:00:00,DAD,23.0,0.3,100,10.8,37,1017.8,85,5080.0,20.4,51,50.0,1.6,93,3.16,0.0,0.0,0,2.6,NE,47.0,7.9,7.37,0.0,5.83,4.26,3.98,0.0,0.2,1.0,1.8,0.3,1.7,2.1,10.8,7.9,5.83,4.26,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,3
