,corr_with_risk
Aviation_Operational_Risk_Score,0.763452739098282
Is_Fog,0.7400711601550276
Is_Radiation_Fog_Risk,0.7376580335926529
Is_Dewpoint_Spread_Le_1_5C,0.6878936416708193
Visibility_SM,-0.6127150482563052
visibility,-0.612712918305319
Is_Low_Visibility,0.6024678920707153
Is_Below_3SM_Visibility,0.5835380324307866
cloud_cover_low,0.5834913132534562
Visibility_Severity_Score,0.5600928939870952
Is_Low_Ceiling_Risk,0.5587251515632216
Is_Thunderstorm_Risk,0.529242112108687
humidity,0.5188485898072213
Visibility_Deficit_5KM_M,0.49516067015777726
Visibility_Deficit_3SM_M,0.4839949619419182
Dew_Point_Spread_C,-0.46750767017173434
_hour,-0.4120281632252036
weather_code,0.40309791622565744
Runway_Wet_Risk,0.38927380073296486
Is_Rain,0.3871355638402995
Is_WMO_Rain_Code,0.3871355638402995
cloudcover,0.37712496272784074
temperature,-0.3569488171537571
Is_Below_1SM_Visibility,0.35506111875081203
Visibility_Capped_Flag,-0.3065210969966461
precipitation,0.25418190300875093
Precip_Cumsum_1H_Mm,0.25418190300875093
Precip_Cumsum_3H_Mm,0.25109607688320834
Precip_Cumsum_6H_Mm,0.22283974159655803
Wind_Runway_Relative_Angle_Deg,-0.20817679137465886
Headwind_Kt,0.18897109700281542
Headwind_Kmh,0.18895498724711235
Tailwind_Default_Runway_Kmh,-0.17606523557410592
Tailwind_Default_Runway_Kt,-0.17606346756031802
Crosswind_Max_3H_Kt,-0.14309966265541696
Crosswind_Max_3H_Kmh,-0.14308244595340683
pressure,0.10602721049405223
Crosswind_Kmh,-0.1011227700420741
Crosswind_Kt,-0.10111755708176699
Gust_Variation_Kt,-0.08874926621756184
Gust_Variation_Kmh,-0.08870609004498477
wind_direction,0.08823272523749119
lifted_index,0.07987282051413806
Is_Heavy_Rain,0.06764561332384708
dew_point_2m,0.06726316241175392
Wind_Gust_Estimate_Kt,-0.05981012044098757
Wind_Gust_Estimate_Kmh,-0.05979788219191499
Is_Crosswind_10kt,0.05310192235871484
Is_Tailwind_Default_Runway_5kt,-0.05049555799059782
Forced_Runway_Swap_Risk,-0.04435033605573012
Is_Severe_Convection_Risk,0.043155865069623656
Convective_Severity_Score,0.041601761769662515
cape,0.03945853823005869
Temp_Change_3H_C,-0.035333068309976505
Is_Extreme_Heat,-0.03111954884486676
wind_speed,-0.02837034458137402
Wind_Kt,-0.02835624657002582
Pressure_Change_3H_Hpa,0.02625781866360937
Temp_Change_1H_C,0.002922050850353745
Is_Strong_Wind,
Is_Gale_Wind,
Is_WMO_Fog_Code,
Is_WMO_Thunderstorm_Code,
Is_Crosswind_15kt,
Is_Crosswind_20kt,
Is_Freezing,
Runway_Ice_Risk,
