,airport,feature,p50,p75,p90,p95,p99,max
0,DAD,precipitation,0.0,0.1,0.4,0.6,1.6,6.0
1,DAD,Crosswind_Kmh,4.37,8.7925,12.7,14.386500000000002,17.96,20.78
2,DAD,Headwind_Kmh,1.23,5.6225000000000005,9.9,12.475500000000006,17.23719999999999,24.44
3,DAD,wind_speed,7.9,11.8,15.2,17.06500000000001,21.092999999999986,25.4
4,HAN,precipitation,0.0,0.0,0.2,0.3,1.0929999999999838,6.6
5,HAN,Crosswind_Kmh,5.3,9.15,14.13,17.096000000000004,21.89229999999998,26.68
6,HAN,Headwind_Kmh,5.27,8.73,11.3,12.8565,15.387199999999995,19.17
7,HAN,wind_speed,9.2,12.9,16.3,18.16500000000001,22.892999999999983,27.5
8,SGN,precipitation,0.0,0.0,0.1,0.2,1.6,13.9
9,SGN,Crosswind_Kmh,4.4,7.2075000000000005,9.95,11.683000000000002,14.056499999999993,18.8
10,SGN,Headwind_Kmh,-1.27,0.8325,2.8529999999999998,4.02,5.988599999999997,8.95
11,SGN,wind_speed,5.7,8.3,10.7,12.2,14.492999999999984,19.0
